chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁大屯路东291米,押2付3,7100,中楼层/26层,57.55,浩运园,精装
整租,距离地铁关庄752米,押1付3,8600,低楼层/19层,72,保利香槟花园,精装
整租,距离地铁大屯路东765米,押2付3,17200,中楼层/15层,220,欧陆经典,中装
整租,距离地铁惠新西街北口184米,押2付3,8500,中楼层/22层,88,新都市计划,精装
整租,距离地铁惠新西街北口834米,押1付3,8000,中楼层/25层,71,欧陆大厦,精装
整租,距离地铁关庄692米,押1付3,7500,高楼层/24层,74,世纪村东区一区,精装
整租,距离地铁大屯路东476米,押1付3,8000,底层/6层,75,嘉铭园,精装
整租,距离地铁关庄917米,押2付3,14000,高楼层/18层,175.49,亚运花园,中装
整租,距离地铁惠新西街北口687米,押2付3,9000,低楼层/25层,105,盛和家园,精装
整租,距离地铁关庄967米,押2付3,13000,中楼层/21层,89,远洋万和城,精装
整租,距离地铁关庄402米,押2付3,7500,高楼层/10层,61.69,紫薇天悦,精装
整租,距离地铁惠新西街北口474米,押2付3,5500,低楼层/6层,55,北苑路178号院3号,中装
整租,距离地铁惠新西街北口914米,押2付3,7000,中楼层/6层,54.83,育慧里二区,中装
合租,距离地铁惠新西街北口914米,押2付3,2500,中楼层/6层,15,育慧里二区,毛坯
整租,距离地铁大屯路东840米,押2付3,7500,低楼层/16层,84.65,育慧西里,精装
整租,距离地铁关庄503米,押2付3,7800,底层/12层,70,宝石花苑,中装
整租,距离地铁大屯路东1333米,押2付3,17000,中楼层/9层,154,康斯丹郡,精装
整租,距离地铁关庄402米,押2付3,7500,低楼层/24层,66,紫薇天悦,精装
整租,距离地铁关庄888米,押2付3,15000,底层/19层,170,阳明广场,精装
整租,距离地铁惠新西街北口452米,押2付3,7500,低楼层/15层,60,三空间,精装
整租,距离地铁大屯路东840米,押2付3,5000,高楼层/7层,50,育慧西里,精装
整租,距离地铁大屯路东785米,押2付3,6000,低楼层/22层,65,欧陆经典风格派,精装
整租,距离地铁大屯路东1333米,押2付3,17000,中楼层/9层,182,康斯丹郡,中装
合租,距离地铁大屯路东765米,押2付3,2800,低楼层/22层,15,欧陆经典,精装
整租,距离地铁大屯路东785米,押2付3,6300,高楼层/22层,53,欧陆经典风格派,精装
整租,距离地铁关庄967米,押2付3,13000,中楼层/21层,90,远洋万和城,豪装
整租,距离地铁关庄967米,押2付3,13500,低楼层/18层,90,远洋万和城,精装
整租,距离地铁关庄198米,押1付3,17000,低楼层/15层,148,嘉铭桐城B区,中装
整租,距离地铁关庄697米,押2付3,8500,中楼层/24层,84.71,锦绣馨园,中装
整租,距离地铁大屯路东291米,押2付3,7000,高楼层/26层,64.56,浩运园,精装
