chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁国家图书馆449米,押2付3,5000,高楼层/6层,45,国家气象局,简装
白石桥,距离地铁魏公村1006米,押1付3,6700,顶层/6层,27.43,大柳树路3号院,其他
距离地铁魏公村864米,距离地铁魏公村864米,押1付3,4500,底层/5层,15,大慧寺20号院,合租
距离地铁魏公村748米,距离地铁魏公村748米,押1付3,2600,底层/6层,12,国家海洋局宿舍,合租
白石桥,距离地铁魏公村671米,押1付3,7000,顶层/6层,54.6,大慧寺7号院,其他
白石桥,距离地铁国家图书馆1093米,押1付3,5500,低楼层/4层,36,高梁桥斜街13号院,其他
白石桥,距离地铁国家图书馆449米,押1付3,6500,底层/12层,57.5,国家气象局,其他
白石桥,距离地铁魏公村671米,押1付3,5200,底层/5层,45,大慧寺7号院,其他
白石桥,距离地铁国家图书馆1093米,押1付3,7200,顶层/6层,50.5,高梁桥斜街13号院,其他
白石桥,距离地铁动物园803米,押1付3,7000,顶层/6层,58,西外太平庄,其他
整租,距离地铁魏公村911米,押2付3,6500,低楼层/6层,50,中关村南大街27号,精装
整租,距离地铁动物园803米,押2付3,5800,顶层/6层,48,西外太平庄,中装
整租,距离地铁魏公村992米,押2付3,6700,中楼层/6层,61,大柳树路13号院,中装
合租,距离地铁魏公村992米,押2付3,3000,中楼层/7层,15,大柳树路13号院,中装
整租,距离地铁魏公村911米,押2付3,6500,底层/6层,50,中关村南大街27号,精装
整租,距离地铁国家图书馆1093米,押2付3,7500,高楼层/6层,55,高梁桥斜街13号院,中装
整租,距离地铁动物园803米,押1付3,6500,顶层/6层,64,西外太平庄,中装
整租,距离地铁国家图书馆684米,押1付3,23000,中楼层/24层,151.53,中关村南大街34号,精装
整租,距离地铁魏公村911米,押2付3,6900,中楼层/6层,56,中关村南大街27号,精装
整租,距离地铁魏公村1003米,押2付3,7000,中楼层/5层,56,大柳树甲17号院,中装
整租,距离地铁国家图书馆1093米,押2付3,14000,低楼层/22层,120,高梁桥斜街13号院,精装
整租,距离地铁国家图书馆428米,押2付3,9000,高楼层/22层,70,中关村南大街40号,中装
整租,距离地铁国家图书馆411米,押2付3,12000,低楼层/16层,84.26,中关村南大街33号院,精装
整租,距离地铁动物园803米,押2付3,5400,低楼层/6层,48,西外太平庄,中装
整租,距离地铁国家图书馆1093米,押2付3,5500,中楼层/18层,45,高梁桥斜街13号院,豪装
整租,距离地铁魏公村1003米,押1付3,6800,顶层/5层,60,大柳树甲17号院,精装
合租,距离地铁国家图书馆449米,押2付3,3000,低楼层/5层,13,国家气象局,精装
整租,距离地铁国家图书馆449米,押1付3,9000,中楼层/5层,81,国家气象局,精装
整租,距离地铁国家图书馆449米,押2付3,6500,顶层/5层,49.06,国家气象局,中装
整租,距离地铁魏公村1006米,押2付3,7000,底层/6层,58,大柳树路3号院,中装
整租,距离地铁动物园803米,押2付3,5500,底层/6层,48,西外太平庄,精装
整租,距离地铁国家图书馆1093米,押2付3,15000,高楼层/17层,120,高梁桥斜街13号院,精装
整租,距离地铁动物园803米,押2付3,6500,顶层/6层,64,西外太平庄,中装
整租,距离地铁魏公村911米,押2付3,6200,底层/6层,45,中关村南大街27号,精装
合租,距离地铁魏公村1012米,押1付3,2700,底层/5层,171.76,总政白石桥第二干休所,精装
整租,距离地铁国家图书馆428米,押2付3,5600,中楼层/22层,45,中关村南大街40号,简装
合租,距离地铁魏公村1006米,押2付3,2700,顶层/6层,12,大柳树路3号院,中装
整租,距离地铁国家图书馆1093米,押2付3,6000,中楼层/6层,50,高梁桥斜街13号院,中装
整租,距离地铁国家图书馆428米,押1付6,12000,中楼层/22层,80,中关村南大街40号,精装
整租,距离地铁国家图书馆1093米,押1付3,7000,顶层/6层,54.3,高梁桥斜街13号院,精装
整租,距离地铁动物园803米,押2付3,5800,高楼层/6层,48,西外太平庄,中装
整租,距离地铁魏公村1003米,押2付3,7500,低楼层/5层,58,大柳树甲17号院,简装
白石桥,距离地铁魏公村852米,押1付12,6000,底层/6层,44.4,计生委宿舍,其他
白石桥,距离地铁魏公村911米,押1付3,6500,中楼层/6层,33.36,中关村南大街27号,其他
白石桥,距离地铁国家图书馆1093米,押1付3,7200,中楼层/6层,50.5,高梁桥斜街13号院,其他
白石桥,距离地铁魏公村748米,押1付3,6800,底层/18层,44.8,国家海洋局宿舍,其他
白石桥,距离地铁魏公村715米,押1付3,16000,底层/6层,130,中关村南大街24号,其他
距离地铁国家图书馆449米,距离地铁国家图书馆449米,押1付3,3700,底层/6层,15,国家气象局,合租
距离地铁国家图书馆449米,距离地铁国家图书馆449米,押1付3,3500,底层/6层,18,国家气象局,合租
整租,距离地铁国家图书馆1093米,押2付3,7200,中楼层/6层,60,高梁桥斜街13号院,简装
白石桥,距离地铁国家图书馆1093米,押1付3,7700,高楼层/6层,58,高梁桥斜街13号院,其他
白石桥,距离地铁魏公村864米,押1付12,5600,底层/6层,41.28,大慧寺20号院,其他
白石桥,距离地铁魏公村671米,押1付3,7500,底层/6层,50.3,大慧寺7号院,其他
