chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
电话预约,距离地铁西土城497米,,12000,低楼层/17层,83,北影小区,豪装
整租,距离地铁西土城237米,押2付3,7500,底层/18层,66.06,黄亭子小区,简装
合租,距离地铁西土城497米,押2付3,2800,低楼层/3层,25,北影小区,简装
北太平庄,距离地铁西土城237米,押1付3,3100,低楼层/6层,20,黄亭子小区,其他
北太平庄,距离地铁西土城237米,押1付3,7000,低楼层/18层,68,黄亭子小区,其他
北太平庄,距离地铁西土城497米,押1付3,2900,中楼层/5层,20,北影小区,其他
距离地铁西土城497米,距离地铁西土城497米,押1付3,3700,中楼层/5层,15,北影小区,合租
北太平庄,距离地铁西土城237米,押1付3,7800,中楼层/6层,57.4,黄亭子小区,其他
北太平庄,距离地铁西土城497米,押1付3,3800,中楼层/5层,35,北影小区,其他
距离地铁西土城237米,距离地铁西土城237米,押1付3,3800,低楼层/6层,20,黄亭子小区,合租
北太平庄,距离地铁西土城497米,押1付3,7700,中楼层/5层,51.3,北影小区,其他
北太平庄,距离地铁牡丹园609米,押1付3,6500,中楼层/16层,47.74,庚坊国际,其他
合租,距离地铁西土城237米,押2付3,3500,顶层/18层,25,黄亭子小区,简装
北太平庄,距离地铁西土城497米,押1付3,8300,顶层/12层,59.9,北影小区,其他
整租,距离地铁健德门1028米,押2付3,9300,低楼层/6层,70,北三环中路甲18号楼,精装
合租,距离地铁西土城497米,押2付3,2600,低楼层/3层,70,北影小区,中装
合租,距离地铁西土城497米,押2付3,2800,高楼层/17层,102.6,北影小区,精装
整租,距离地铁西土城497米,押2付3,7000,低楼层/12层,75,北影小区,中装
合租,距离地铁西土城497米,押2付3,2800,低楼层/4层,20,北影小区,中装
整租,距离地铁西土城497米,押2付3,6800,中楼层/5层,65,北影小区,中装
整租,距离地铁西土城497米,押1付3,7500,低楼层/12层,75,北影小区,精装
整租,距离地铁牡丹园740米,押2付3,7500,高楼层/14层,65,北太平庄路35号楼,精装
整租,距离地铁西土城497米,押2付3,7000,中楼层/14层,66,北影小区,精装
整租,距离地铁牡丹园609米,押1付6,6300,低楼层/16层,53.12,庚坊国际,中装
合租,距离地铁西土城497米,押2付3,3400,高楼层/17层,15,北影小区,简装
