chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁长春桥668米,押1付3,7500,高楼层/6层,73.8,厂洼西街10号院,精装
合租,距离地铁长春桥668米,押1付3,2800,顶层/6层,18,厂洼西街10号院,简装
整租,距离地铁长春桥920米,押1付3,7300,高楼层/6层,70,厂洼小区,中装
厂洼,距离地铁长春桥1128米,押1付3,9500,顶层/6层,75.8,西三环北路19号院,其他
厂洼,距离地铁长春桥668米,押1付3,9500,底层/6层,94.3,厂洼西街10号院,其他
厂洼,距离地铁长春桥920米,押1付3,5700,中楼层/13层,50,厂洼小区,其他
厂洼,距离地铁长春桥920米,押1付3,7000,中楼层/6层,65,厂洼小区,其他
整租,距离地铁长春桥779米,押1付3,15000,高楼层/16层,105,厂洼西街6号院,中装
厂洼,距离地铁长春桥920米,押1付3,7800,中楼层/6层,65.39,厂洼小区,其他
距离地铁车道沟904米,距离地铁车道沟904米,押1付3,2200,顶层/6层,12,厂洼街7号院,合租
厂洼,距离地铁车道沟1092米,押1付3,7800,高楼层/6层,70,厂洼街2号院,其他
整租,距离地铁长春桥920米,押2付3,7000,高楼层/12层,68,厂洼小区,精装
整租,距离地铁长春桥668米,押1付3,8500,中楼层/6层,95,厂洼西街10号院,中装
整租,距离地铁长春桥931米,押1付3,5600,中楼层/6层,48,厂洼街甲5号院,中装
整租,距离地铁长春桥1128米,押1付3,7000,中楼层/5层,54,西三环北路19号院,中装
整租,距离地铁长春桥920米,押1付3,7500,中楼层/6层,65,厂洼小区,精装
整租,距离地铁长春桥920米,押1付3,7000,中楼层/20层,65,厂洼小区,中装
整租,距离地铁长春桥931米,押1付3,7000,顶层/6层,70,厂洼街甲5号院,精装
合租,距离地铁车道沟753米,押1付3,1800,高楼层/6层,20,厂洼街23号院,精装
整租,距离地铁长春桥668米,押1付3,8600,中楼层/6层,86,厂洼西街10号院,中装
厂洼,距离地铁长春桥920米,押1付3,5300,顶层/6层,44,厂洼小区,其他
