chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁慈寿寺655米,押1付3,6000,低楼层/6层,56.1,恩济里,精装
整租,距离地铁慈寿寺409米,押2付3,5000,顶层/6层,50,西八里庄北里,精装
整租,距离地铁慈寿寺655米,押2付3,5500,中楼层/16层,53,恩济里,精装
合租,距离地铁西钓鱼台846米,押1付3,3500,底层/6层,23,阜成路26号院,豪装
整租,距离地铁西钓鱼台779米,押1付3,11000,中楼层/5层,90,马神庙1号院,中装
整租,距离地铁慈寿寺409米,押2付3,7000,顶层/6层,57.1,西八里庄北里,精装
整租,距离地铁海淀五路居693米,押2付3,20000,高楼层/15层,200,北京印象,中装
整租,距离地铁海淀五路居461米,押2付3,10000,中楼层/12层,88.5,八里庄路62号院,精装
整租,距离地铁海淀五路居258米,押1付3,6700,高楼层/6层,91,八里庄61号院,中装
整租,距离地铁海淀五路居258米,押2付3,6000,中楼层/6层,70,八里庄61号院,中装
整租,距离地铁海淀五路居1178米,押2付3,6500,中楼层/16层,72,定慧寺西里,精装
整租,距离地铁慈寿寺655米,押2付3,5500,顶层/6层,60,恩济里,简装
整租,距离地铁海淀五路居461米,押1付3,10500,低楼层/16层,98,八里庄路62号院,豪装
整租,距离地铁慈寿寺409米,押2付3,6000,底层/6层,64,西八里庄北里,中装
整租,距离地铁海淀五路居693米,押1付3,16000,低楼层/12层,155.9,北京印象,精装
整租,距离地铁海淀五路居461米,押2付3,9600,中楼层/13层,92,八里庄路62号院,精装
整租,距离地铁慈寿寺409米,押1付3,6500,低楼层/6层,68,西八里庄北里,精装
整租,距离地铁慈寿寺409米,押1付3,5800,高楼层/6层,43.2,西八里庄北里,精装
整租,距离地铁慈寿寺409米,押2付3,5800,中楼层/6层,65,西八里庄北里,简装
合租,距离地铁海淀五路居346米,押1付3,3000,底层/18层,67,八里庄路63号院,中装
整租,距离地铁西钓鱼台245米,押2付3,7000,中楼层/5层,54,北洼路83号院,精装
合租,距离地铁海淀五路居692米,押1付3,3800,顶层/15层,20,汇秀轩,精装
整租,距离地铁慈寿寺409米,押2付3,6500,顶层/6层,60,西八里庄北里,中装
合租,距离地铁西钓鱼台576米,押2付3,2900,高楼层/7层,50,阜成路95号院,精装
整租,距离地铁海淀五路居1334米,押1付3,6000,底层/6层,67,永金里,中装
整租,距离地铁西钓鱼台351米,押2付3,23000,中楼层/25层,214,西钓鱼台嘉园,精装
整租,距离地铁慈寿寺409米,押2付3,6000,中楼层/6层,43,西八里庄北里,精装
整租,距离地铁慈寿寺409米,押2付3,5000,高楼层/6层,45,西八里庄北里,精装
整租,距离地铁慈寿寺655米,押1付12,6500,底层/6层,46,恩济里,精装
整租,距离地铁海淀五路居900米,押2付3,8200,高楼层/6层,75,定慧寺北里,精装
整租,距离地铁海淀五路居1334米,押1付3,8000,高楼层/16层,108,永金里,精装
整租,距离地铁西钓鱼台446米,押2付3,5500,高楼层/6层,42,阜成路53号院,中装
整租,距离地铁西钓鱼台961米,押1付3,11000,中楼层/16层,114.96,定慧寺东里,精装
整租,距离地铁海淀五路居461米,押2付3,8800,高楼层/17层,77,八里庄路62号院,精装
整租,距离地铁西钓鱼台568米,押2付3,7000,中楼层/6层,60,海淀区北洼路62号,精装
合租,距离地铁慈寿寺655米,押2付3,3200,顶层/7层,20,恩济里,中装
合租,距离地铁海淀五路居1178米,押2付3,2400,低楼层/16层,20,定慧寺西里,精装
整租,距离地铁海淀五路居692米,押2付3,8000,中楼层/16层,86,汇秀轩,精装
合租,距离地铁海淀五路居900米,押2付3,3000,中楼层/6层,15,定慧寺北里,精装
整租,距离地铁海淀五路居1334米,押2付3,13000,高楼层/10层,135,永金里,精装
合租,距离地铁西钓鱼台1021米,押2付3,2800,低楼层/16层,20,西三环中路3号院,中装
合租,距离地铁海淀五路居1178米,押2付3,2600,低楼层/6层,15,定慧寺西里,中装
整租,距离地铁海淀五路居900米,押1付3,8600,高楼层/6层,105.98,定慧寺北里,精装
合租,距离地铁慈寿寺655米,押2付3,2800,高楼层/6层,20,恩济里,中装
整租,距离地铁海淀五路居346米,押1付3,9500,高楼层/18层,103,八里庄路63号院,精装
整租,距离地铁海淀五路居690米,押2付3,20000,高楼层/11层,137,亮丽园,精装
整租,距离地铁海淀五路居693米,押2付3,18500,低楼层/12层,179,北京印象,精装
整租,距离地铁西钓鱼台701米,押2付3,6300,顶层/6层,65,岭南路30号院,中装
整租,距离地铁海淀五路居258米,押2付3,4800,顶层/6层,50,八里庄61号院,中装
整租,距离地铁慈寿寺409米,押1付3,4800,中楼层/6层,45,西八里庄北里,精装
整租,距离地铁海淀五路居1178米,押2付3,7800,高楼层/16层,77,定慧寺西里,中装
整租,距离地铁海淀五路居1334米,押2付3,12000,底层/6层,151.5,永金里,精装
整租,距离地铁慈寿寺698米,押2付3,7000,中楼层/6层,58.3,北洼路44号院,精装
定慧寺,距离地铁海淀五路居264米,押1付3,6300,高楼层/16层,55.7,安装宿舍,其他
定慧寺,距离地铁海淀五路居461米,押1付3,5500,高楼层/19层,50,八里庄路62号院,其他
定慧寺,距离地铁海淀五路居1334米,押1付3,900,中楼层/7层,13,永金里,其他
定慧寺,距离地铁慈寿寺409米,押1付3,5600,低楼层/15层,51.35,西八里庄北里,其他
定慧寺,距离地铁西钓鱼台961米,押1付3,5800,中楼层/16层,50,定慧寺东里,其他
定慧寺,距离地铁海淀五路居900米,押1付3,8500,顶层/6层,100,定慧寺北里,其他
定慧寺,距离地铁花园桥706米,押1付3,4200,底层/6层,35,首师大宿舍,其他
定慧寺,距离地铁海淀五路居1178米,押1付3,7000,低楼层/16层,59,定慧寺西里,其他
定慧寺,距离地铁海淀五路居1323米,押1付3,6500,高楼层/6层,85,田村幸福时光,其他
定慧寺,距离地铁海淀五路居1178米,押1付3,7000,中楼层/16层,61.3,定慧寺西里,其他
定慧寺,距离地铁海淀五路居1334米,押1付3,5300,中楼层/7层,60.81,永金里,其他
定慧寺,距离地铁海淀五路居421米,押1付3,5400,中楼层/17层,40,诺亚新洲,其他
定慧寺,距离地铁海淀五路居1178米,押1付3,5500,中楼层/16层,51.3,定慧寺西里,其他
定慧寺,距离地铁西钓鱼台779米,押1付3,6300,顶层/18层,49,马神庙1号院,其他
定慧寺,距离地铁海淀五路居346米,押1付3,5900,低楼层/18层,58,八里庄路63号院,其他
距离地铁西钓鱼台571米,距离地铁西钓鱼台571米,押1付3,3500,顶层/6层,20,八宝庄小区,合租
定慧寺,距离地铁慈寿寺923米,押1付12,2500,顶层/6层,20,恩济庄96号院,其他
定慧寺,距离地铁海淀五路居346米,押1付3,6500,中楼层/17层,75,八里庄路63号院,其他
定慧寺,距离地铁西钓鱼台779米,押1付3,6000,中楼层/6层,50,马神庙1号院,其他
距离地铁西钓鱼台961米,距离地铁西钓鱼台961米,押1付3,5600,顶层/5层,61,定慧寺东里,整租
定慧寺,距离地铁西钓鱼台779米,押1付3,5900,中楼层/6层,46.1,马神庙1号院,其他
定慧寺,距离地铁慈寿寺698米,押1付3,6000,低楼层/6层,41.17,北洼路44号院,其他
整租,距离地铁海淀五路居693米,押2付3,18000,低楼层/12层,183.6,北京印象,精装
定慧寺,距离地铁西钓鱼台779米,押1付3,15500,高楼层/18层,105.71,马神庙1号院,其他
定慧寺,距离地铁西钓鱼台779米,押1付3,6500,高楼层/15层,56.5,马神庙1号院,其他
定慧寺,距离地铁西钓鱼台779米,押1付3,5700,高楼层/6层,45,马神庙1号院,其他
定慧寺,距离地铁海淀五路居1178米,押1付3,8100,中楼层/16层,61.6,定慧寺西里,其他
定慧寺,距离地铁西钓鱼台961米,押1付3,5800,低楼层/16层,55,定慧寺东里,其他
整租,距离地铁西钓鱼台446米,押2付3,6000,中楼层/6层,44,阜成路53号院,中装
整租,距离地铁海淀五路居1178米,押2付3,3200,中楼层/16层,12,定慧寺西里,精装
整租,距离地铁海淀五路居346米,押2付3,85000,底层/18层,145,八里庄路63号院,中装
合租,距离地铁海淀五路居900米,押2付3,2100,高楼层/6层,16,定慧寺北里,精装
整租,距离地铁西钓鱼台446米,押2付3,7500,顶层/6层,60.5,阜成路53号院,简装
整租,距离地铁西钓鱼台576米,押1付3,6800,高楼层/17层,60,岭南路38号,中装
整租,距离地铁西钓鱼台779米,押2付3,6000,顶层/6层,50,马神庙1号院,精装
整租,距离地铁白堆子210米,押1付3,6500,低楼层/18层,64,阜成路甲3号院,精装
整租,距离地铁海淀五路居693米,押1付3,12500,中楼层/15层,147,北京印象,中装
整租,距离地铁海淀五路居900米,押2付3,6500,中楼层/6层,60,定慧寺北里,中装
整租,距离地铁慈寿寺655米,押2付3,3000,中楼层/6层,15,恩济里,中装
整租,距离地铁海淀五路居900米,押1付3,6500,低楼层/6层,70,定慧寺北里,精装
合租,距离地铁西钓鱼台245米,押2付3,2800,中楼层/5层,15,北洼路83号院,精装
整租,距离地铁海淀五路居258米,押2付3,5000,低楼层/6层,56,八里庄61号院,中装
合租,距离地铁海淀五路居900米,押2付3,2000,中楼层/6层,15,定慧寺北里,中装
整租,距离地铁慈寿寺431米,押2付3,6500,顶层/7层,78,又一村,中装
定慧寺,距离地铁海淀五路居1334米,押1付3,8600,高楼层/10层,103,永金里,其他
定慧寺,距离地铁海淀五路居346米,押1付3,5600,低楼层/17层,56.57,八里庄路63号院,其他
定慧寺,距离地铁慈寿寺409米,押1付3,5100,中楼层/6层,50,西八里庄北里,其他
定慧寺,距离地铁慈寿寺655米,押1付3,6200,顶层/6层,47.7,恩济里,其他
距离地铁慈寿寺409米,距离地铁慈寿寺409米,押1付3,2600,底层/6层,9,西八里庄北里,合租
定慧寺,距离地铁西钓鱼台576米,押1付3,7000,底层/17层,68,岭南路38号,其他
整租,距离地铁慈寿寺872米,押1付3,12000,中楼层/11层,120,恩济庄18号院,简装
