chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁北沙滩1340米,押2付3,6300,顶层/6层,63,太极小区,中装
二里庄,距离地铁北沙滩1339米,押1付3,6400,顶层/6层,42.4,志新村小区,其他
二里庄,距离地铁北沙滩442米,押1付3,7500,顶层/6层,62,二里庄北里,其他
二里庄,距离地铁北沙滩1005米,押1付3,7200,中楼层/6层,60,志新北里,其他
距离地铁北沙滩730米,距离地铁北沙滩730米,押1付3,6800,中楼层/6层,60,二里庄第七干休所,整租
二里庄,距离地铁北沙滩477米,押1付3,2900,顶层/6层,20,二里庄小区,其他
距离地铁北沙滩477米,距离地铁北沙滩477米,押1付3,5300,低楼层/18层,50,二里庄小区,整租
二里庄,距离地铁北沙滩791米,押1付3,9000,低楼层/16层,98,石油大院,其他
距离地铁北沙滩730米,距离地铁北沙滩730米,押1付3,9600,低楼层/6层,71.4,二里庄第七干休所,整租
距离地铁北沙滩477米,距离地铁北沙滩477米,押1付3,7800,底层/6层,60,二里庄小区,整租
二里庄,距离地铁北沙滩477米,押1付3,7900,高楼层/6层,55.7,二里庄小区,其他
二里庄,距离地铁北沙滩477米,押1付3,9000,低楼层/18层,86.7,二里庄小区,其他
整租,距离地铁北沙滩730米,押2付3,8500,高楼层/6层,73.6,二里庄第七干休所,中装
二里庄,距离地铁北沙滩477米,押1付3,6900,高楼层/18层,42.2,二里庄小区,其他
整租,距离地铁北沙滩1340米,押1付3,7000,顶层/4层,65,太极小区,中装
二里庄,距离地铁北沙滩791米,押1付3,7400,底层/6层,62.27,石油大院,其他
二里庄,距离地铁北沙滩477米,押1付3,7500,中楼层/6层,55.3,二里庄小区,其他
整租,距离地铁北沙滩791米,押2付3,16000,高楼层/14层,118,石油大院,精装
合租,距离地铁北沙滩477米,押1付3,2700,低楼层/6层,48,二里庄小区,中装
合租,距离地铁北沙滩442米,押2付3,3200,中楼层/6层,42,二里庄北里,精装
合租,距离地铁北沙滩477米,押2付3,3000,高楼层/6层,70.4,二里庄小区,中装
整租,距离地铁北沙滩791米,押2付3,13800,低楼层/16层,95,石油大院,精装
合租,距离地铁北沙滩477米,押2付3,3000,高楼层/6层,20,二里庄小区,中装
整租,距离地铁北沙滩477米,押2付3,7000,高楼层/18层,60,二里庄小区,中装
合租,距离地铁北沙滩477米,押2付3,4500,高楼层/6层,15,二里庄小区,简装
整租,距离地铁北沙滩477米,押1付6,7000,中楼层/6层,55.7,二里庄小区,中装
整租,距离地铁北沙滩477米,押2付3,5800,中楼层/18层,47.1,二里庄小区,简装
整租,距离地铁北沙滩477米,押2付3,8800,高楼层/18层,85,二里庄小区,精装
二里庄,距离地铁北沙滩442米,押1付3,5600,高楼层/6层,55,二里庄北里,其他
二里庄,距离地铁北沙滩791米,押1付3,7200,高楼层/16层,65,石油大院,其他
二里庄,距离地铁北沙滩791米,押1付3,7500,底层/6层,55.2,石油大院,其他
整租,距离地铁北沙滩477米,押1付3,7000,中楼层/6层,60,二里庄小区,精装
二里庄,距离地铁北沙滩442米,押1付3,7000,顶层/6层,65,二里庄北里,其他
二里庄,距离地铁北沙滩791米,押1付3,7500,底层/6层,59.4,石油大院,其他
二里庄,距离地铁北沙滩477米,押1付3,7500,中楼层/6层,68,二里庄小区,其他
二里庄,距离地铁北沙滩442米,押1付3,7800,中楼层/6层,70,二里庄北里,其他
合租,距离地铁北沙滩730米,押1付3,3500,中楼层/6层,15,二里庄第七干休所,中装
整租,距离地铁北沙滩477米,押2付3,8000,顶层/6层,70.4,二里庄小区,精装
整租,距离地铁北沙滩442米,押2付3,6300,顶层/6层,65,二里庄北里,中装
整租,距离地铁北沙滩477米,押2付3,7500,高楼层/6层,83,二里庄小区,中装
整租,距离地铁北沙滩477米,押2付3,5500,顶层/6层,42,二里庄小区,中装
整租,距离地铁北沙滩477米,押2付3,6700,高楼层/18层,42.4,二里庄小区,精装
二里庄,距离地铁北沙滩477米,押1付3,7000,底层/6层,61.8,二里庄小区,其他
距离地铁北沙滩1005米,距离地铁北沙滩1005米,押1付3,3550,低楼层/5层,16,志新北里,合租
二里庄,距离地铁北沙滩442米,押1付3,7000,低楼层/6层,70.06,二里庄北里,其他
二里庄,距离地铁北沙滩1339米,押1付3,6200,底层/6层,51,志新村小区,其他
二里庄,距离地铁北沙滩1005米,押1付3,3300,高楼层/12层,28,志新北里,其他
二里庄,距离地铁北沙滩791米,押1付3,3000,底层/4层,33,石油大院,其他
二里庄,距离地铁北沙滩791米,押1付3,7200,中楼层/6层,60,石油大院,其他
距离地铁北沙滩477米,距离地铁北沙滩477米,押1付3,8000,高楼层/18层,71.6,二里庄小区,整租
