chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁花园桥509米,押2付3,6000,中楼层/6层,40,西三环北路82号院,精装
合租,距离地铁花园桥1072米,押1付3,3500,顶层/6层,18,阜成路14号院,精装
整租,距离地铁白石桥南508米,押1付6,13000,中楼层/22层,97,中海馥园,精装
整租,距离地铁花园桥520米,押2付3,7500,高楼层/6层,65,花园村小区,精装
整租,距离地铁花园桥1072米,押1付3,12000,中楼层/18层,63.5,阜成路14号院,精装
整租,距离地铁白石桥南228米,押2付3,19000,中楼层/24层,160,国兴家园,精装
整租,距离地铁花园桥459米,押2付3,6500,高楼层/6层,65,西三环北路56号院,中装
合租,距离地铁花园桥415米,押2付3,10000,低楼层/17层,93,西三环北路74号,精装
整租,距离地铁白堆子546米,押1付3,11000,高楼层/14层,95,增光路40号院,精装
整租,距离地铁花园桥178米,押1付3,6000,中楼层/5层,56.5,车公庄西路38号院,精装
整租,距离地铁花园桥1072米,押1付3,8500,中楼层/18层,69,阜成路14号院,中装
整租,距离地铁白石桥南341米,押2付3,13000,中楼层/16层,113,机械科学研究院东区,精装
整租,距离地铁白堆子642米,押2付3,7500,中楼层/6层,51,阜成路8号院,简装
整租,距离地铁花园桥520米,押1付3,5500,低楼层/6层,40,花园村小区,中装
整租,距离地铁白石桥南446米,押1付6,18000,中楼层/20层,148,建设部大院,精装
整租,距离地铁花园桥509米,押1付3,5500,中楼层/6层,45,西三环北路82号院,精装
合租,距离地铁白堆子642米,押2付3,2500,中楼层/6层,13,阜成路8号院,简装
整租,距离地铁花园桥522米,押1付12,13500,底层/18层,111,增光路甲51号院,精装
整租,距离地铁白堆子117米,押2付3,9400,顶层/5层,83,阜南小区,精装
整租,距离地铁白堆子360米,押2付3,14500,底层/18层,100,白碓子小区,精装
整租,距离地铁白石桥南446米,押2付3,12000,底层/24层,100,建设部大院,精装
整租,距离地铁白石桥南508米,押1付3,12000,高楼层/23层,94,中海馥园,中装
整租,距离地铁白石桥南228米,押2付3,19000,中楼层/24层,150,国兴家园,精装
整租,距离地铁白石桥南398米,押2付3,8600,高楼层/11层,82,增光佳苑,中装
整租,距离地铁白堆子642米,押2付3,8000,高楼层/7层,60,阜成路8号院,精装
整租,距离地铁白石桥南446米,押1付3,18000,高楼层/20层,150,建设部大院,精装
整租,距离地铁花园桥483米,押1付3,6600,顶层/6层,63.1,增光路45号院,中装
整租,距离地铁白石桥南541米,押1付3,16000,高楼层/13层,124,赏竹阁,精装
