chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁西钓鱼台811米,押2付3,8500,底层/6层,65,翠微北里,精装
整租,距离地铁公主坟800米,押2付3,5300,低楼层/7层,48,普惠北里,精装
整租,距离地铁军事博物馆274米,押2付3,6800,低楼层/18层,65,新华社宿舍,中装
整租,距离地铁西钓鱼台811米,押2付3,8400,中楼层/24层,90,翠微北里,中装
整租,距离地铁公主坟933米,押1付3,12000,低楼层/27层,117,颐源居,精装
整租,距离地铁万寿路765米,押1付3,6500,高楼层/20层,56,翠微中里,中装
整租,距离地铁军事博物馆573米,押2付3,5000,底层/6层,50,羊坊店西路,中装
整租,距离地铁万寿路566米,押2付3,11500,中楼层/22层,110,静源居,精装
整租,距离地铁莲花桥432米,押2付3,4800,中楼层/6层,45,什坊院,精装
整租,距离地铁万寿路973米,押2付3,8500,中楼层/6层,66,翠微东里,中装
整租,距离地铁万寿路620米,押2付3,6000,高楼层/6层,60,翠微南里,中装
整租,距离地铁万寿路973米,押2付3,10000,底层/6层,78,翠微东里,简装
整租,距离地铁莲花桥398米,押2付3,5300,中楼层/16层,50,莲花池东路甲5、乙3、丙3号,精装
整租,距离地铁万寿路429米,押2付3,6500,中楼层/6层,61,翠微2号院,中装
合租,距离地铁万寿路620米,押2付3,7000,顶层/6层,68,翠微南里,简装
整租,距离地铁万寿路620米,押2付3,6500,低楼层/18层,65,翠微南里,中装
整租,距离地铁军事博物馆274米,押2付3,7500,顶层/5层,75,新华社宿舍,精装
整租,距离地铁西钓鱼台875米,押2付3,6600,低楼层/23层,60,翠微嘉园,精装
合租,距离地铁西钓鱼台811米,押1付3,3000,高楼层/6层,22,翠微北里,精装
整租,距离地铁北京西站413米,押2付3,5000,中楼层/6层,45,西木楼,中装
合租,距离地铁万寿路620米,押1付3,2800,高楼层/6层,12,翠微南里,中装
整租,距离地铁万寿路765米,押2付3,7000,低楼层/20层,57,翠微中里,精装
整租,距离地铁西钓鱼台811米,押2付3,5600,低楼层/24层,50,翠微北里,精装
公主坟,距离地铁万寿路620米,押1付3,5200,高楼层/6层,36.42,翠微南里,其他
公主坟,距离地铁公主坟914米,押1付3,12500,低楼层/6层,45.61,翠微路甲10号院,其他
公主坟,距离地铁西钓鱼台811米,押1付3,6500,低楼层/24层,50.5,翠微北里,其他
