chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
,,押1付3,2200,中楼层/18层,13,唐家岭新城,合租
整租,距离地铁屯佃1106米,押2付3,17000,底层/3层,300,颐丰庄园,精装
整租,,押1付3,6500,顶层/9层,92,保利西山林语,中装
整租,,押2付3,20000,底层/3层,650,白家疃秀山小区,精装
整租,,押2付3,7000,低楼层/9层,95,保利西山林语,精装
整租,距离地铁屯佃1106米,押2付3,7800,中楼层/6层,120,颐丰庄园,精装
整租,,押2付3,4000,高楼层/15层,67,水岸温泉,精装
整租,距离地铁屯佃1106米,押1付3,8500,高楼层/6层,181,颐丰庄园,精装
整租,,押1付6,8000,中楼层/7层,74.71,北辰香麓,精装
整租,,押1付3,5200,中楼层/9层,90,保利西山林语,简装
,,押1付3,2100,底层/9层,15,保利西山林语,合租
整租,,押2付3,5800,高楼层/9层,98,保利西山林语,中装
,,押1付3,2300,底层/9层,15,保利西山林语,合租
,,押1付3,2200,底层/9层,15,保利西山林语,合租
