chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁西直门915米,押1付3,6500,中楼层/6层,60,交大东路52号院,精装
整租,距离地铁大钟寺1297米,押2付3,7500,中楼层/6层,60,交大静园,中装
整租,距离地铁西直门1107米,押2付3,6000,中楼层/14层,70,交大东路21号院,中装
整租,距离地铁大钟寺1297米,押2付3,6200,低楼层/6层,50,交大静园,中装
整租,距离地铁西直门1131米,押2付3,9000,底层/6层,60,交大东路38号院,中装
整租,距离地铁大钟寺1297米,押1付3,6500,顶层/6层,45,交大静园,中装
整租,距离地铁西直门582米,押2付3,17000,中楼层/19层,160,舒至嘉园,豪装
整租,距离地铁西直门915米,押2付3,8000,高楼层/16层,62.01,交大东路52号院,精装
整租,距离地铁大钟寺1297米,押2付3,6300,顶层/6层,50,交大静园,中装
整租,距离地铁大钟寺1323米,押1付3,6900,高楼层/14层,50,交大东路4号院,精装
整租,距离地铁西直门582米,押2付3,17000,中楼层/19层,160,舒至嘉园,豪装
整租,距离地铁西直门582米,押1付3,12000,高楼层/20层,93.95,舒至嘉园,精装
整租,距离地铁西直门582米,押1付3,12000,低楼层/20层,103,舒至嘉园,简装
整租,距离地铁西直门1322米,押2付3,13000,低楼层/18层,66.39,交大畅园,中装
整租,距离地铁西直门941米,押2付3,10000,高楼层/13层,100,高梁桥斜街乙40号院,精装
整租,距离地铁西直门1259米,押1付12,15000,中楼层/16层,185,交大东路15号院,精装
交通大学,距离地铁西直门941米,押1付3,7000,低楼层/6层,63,高梁桥斜街乙40号院,其他
交通大学,距离地铁西直门1194米,押1付3,9500,高楼层/13层,76.84,交大东路30号院,其他
整租,距离地铁大钟寺1297米,押2付3,5500,高楼层/6层,52,交大静园,中装
整租,距离地铁西直门941米,押1付3,8500,高楼层/6层,65,高梁桥斜街乙40号院,精装
整租,距离地铁西直门915米,押2付3,6000,高楼层/16层,48,交大东路52号院,精装
交通大学,距离地铁西直门582米,押1付3,8800,低楼层/21层,70,舒至嘉园,其他
交通大学,距离地铁西直门1064米,押1付3,7800,中楼层/6层,53.8,交大东路48号院,其他
交通大学,距离地铁动物园1135米,押1付3,4900,底层/6层,53,上园村,其他
整租,距离地铁西直门1175米,押2付3,8000,高楼层/11层,73,交大东路36号,精装
整租,距离地铁大钟寺1323米,押2付3,5800,低楼层/14层,52,交大东路4号院,中装
整租,距离地铁大钟寺1297米,押2付3,7500,高楼层/6层,68,交大静园,精装
整租,距离地铁西直门1322米,押2付3,6800,中楼层/18层,55,交大畅园,中装
整租,距离地铁西直门860米,押2付3,7000,顶层/6层,62,交大东路56号院,精装
交通大学,距离地铁西直门582米,押1付3,10500,高楼层/21层,108,舒至嘉园,其他
交通大学,距离地铁西直门860米,押1付3,7000,高楼层/6层,58.22,交大东路56号院,其他
整租,距离地铁西直门582米,押2付3,13000,中楼层/21层,130,舒至嘉园,精装
整租,距离地铁大钟寺1297米,押2付3,6000,顶层/6层,45,交大静园,简装
整租,距离地铁大钟寺1297米,押1付3,6000,中楼层/6层,50,交大静园,中装
交通大学,距离地铁大钟寺1460米,押1付3,6100,顶层/6层,50,交大宜园,其他
整租,距离地铁大钟寺1297米,押2付3,6000,顶层/6层,50,交大静园,精装
整租,距离地铁大钟寺1297米,押2付3,6000,高楼层/6层,50,交大静园,中装
交通大学,距离地铁西直门727米,押1付3,7800,高楼层/14层,70.8,高梁桥斜街44号院,其他
交通大学,距离地铁西直门931米,押1付3,6222,中楼层/6层,36.8,交大东路31号院,其他
交通大学,距离地铁西直门915米,押1付3,7200,低楼层/16层,54.55,交大东路52号院,其他
交通大学,距离地铁西直门1175米,押1付3,8700,中楼层/11层,70,交大东路36号,其他
交通大学,距离地铁大钟寺1323米,押1付3,5800,低楼层/14层,48,交大东路4号院,其他
交通大学,距离地铁西直门860米,押1付3,5500,底层/17层,53,交大东路56号院,其他
交通大学,距离地铁西直门727米,押1付3,7500,顶层/5层,52.5,高梁桥斜街44号院,其他
交通大学,距离地铁西直门582米,押1付3,2800,高楼层/21层,30,舒至嘉园,其他
交通大学,距离地铁动物园1135米,押1付3,7800,底层/6层,70,上园村,其他
