chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁军事博物馆697米,押1付3,5000,低楼层/7层,45,会城门小区,精装
整租,距离地铁军事博物馆652米,押2付3,5000,底层/6层,41.1,乔建里小区,精装
整租,距离地铁北京西站469米,押2付3,5000,中楼层/6层,45,铁西宿舍,中装
整租,距离地铁北京西站762米,押2付3,7500,中楼层/22层,85,北蜂窝中路甲8号院,中装
整租,距离地铁北京西站604米,押2付3,15000,中楼层/15层,150,信悦华庭,中装
整租,距离地铁北京西站469米,押2付3,6000,中楼层/6层,65,铁西宿舍,中装
整租,距离地铁木樨地640米,押2付3,19000,中楼层/21层,130,中联部宿舍,精装
整租,距离地铁军事博物馆474米,押2付3,5700,顶层/5层,53,有色金属院东区,中装
整租,距离地铁军事博物馆652米,押2付3,5000,高楼层/6层,50,乔建里小区,中装
整租,距离地铁军事博物馆652米,押2付3,7900,高楼层/20层,65,乔建里小区,精装
整租,距离地铁军事博物馆544米,押2付3,6600,中楼层/16层,58.6,复兴路乙6号院,中装
整租,距离地铁军事博物馆544米,押1付3,6600,高楼层/16层,61,复兴路乙6号院,中装
整租,距离地铁军事博物馆485米,押2付3,13500,中楼层/9层,88,玉渊潭南路9号院,精装
整租,距离地铁北京西站469米,押2付3,4800,高楼层/6层,47,铁西宿舍,精装
整租,距离地铁木樨地509米,押1付3,7500,低楼层/18层,68,茂林居,中装
整租,距离地铁北京西站604米,押2付3,12000,高楼层/16层,135,信悦华庭,中装
整租,距离地铁北京西站633米,押1付3,4200,顶层/6层,40,电信小区,中装
整租,距离地铁军事博物馆508米,押1付3,9500,低楼层/16层,95,铁道部五号院新,精装
整租,距离地铁木樨地509米,押2付3,7500,中楼层/5层,65,水科院小区,中装
整租,距离地铁木樨地509米,押2付3,6000,中楼层/16层,60,茂林居,精装
整租,距离地铁军事博物馆558米,押2付3,8000,顶层/6层,63.07,羊坊店居民楼,豪装
整租,距离地铁军事博物馆829米,押1付3,5000,高楼层/6层,45,铁东小区,简装
整租,距离地铁军事博物馆829米,押1付3,4600,顶层/11层,36.7,铁东小区,中装
整租,距离地铁军事博物馆829米,押2付3,5500,顶层/6层,50.8,铁东小区,中装
整租,距离地铁军事博物馆123米,押2付3,6500,低楼层/16层,55,有色金属院北区,中装
整租,距离地铁木樨地509米,押2付3,7000,中楼层/5层,59,水科院小区,中装
整租,距离地铁军事博物馆544米,押2付3,7500,低楼层/16层,75,复兴路乙6号院,精装
整租,距离地铁木樨地509米,押2付3,8000,中楼层/16层,75,茂林居,精装
合租,距离地铁北京西站832米,押2付3,6500,顶层/5层,75,北蜂窝路30号,精装
整租,距离地铁北京西站469米,押1付3,4000,顶层/5层,40,铁西宿舍,简装
整租,距离地铁军事博物馆829米,押2付3,5500,低楼层/16层,45,铁东小区,中装
整租,距离地铁木樨地640米,押1付3,19000,中楼层/5层,130,中联部宿舍,精装
整租,距离地铁木樨地509米,押2付3,8800,低楼层/18层,85,茂林居,精装
整租,距离地铁木樨地640米,押2付3,13500,低楼层/21层,106,中联部宿舍,精装
整租,距离地铁军事博物馆697米,押1付3,5000,中楼层/15层,50,会城门小区,精装
整租,距离地铁北京西站633米,押1付3,6500,中楼层/6层,60,电信小区,精装
整租,距离地铁军事博物馆485米,押0付3,14000,中楼层/6层,90,玉渊潭南路9号院,中装
整租,距离地铁北京西站689米,押2付3,4500,低楼层/4层,48,勘测院宿舍,毛坯
整租,距离地铁北京西站832米,押2付3,8000,低楼层/18层,78.12,北蜂窝路30号,精装
整租,距离地铁北京西站669米,押2付3,7800,顶层/6层,74,北蜂窝100号院,简装
整租,距离地铁北京西站689米,押2付3,5000,中楼层/4层,50,勘测院宿舍,中装
整租,距离地铁北京西站689米,押2付3,5500,底层/4层,55,勘测院宿舍,中装
整租,距离地铁北京西站633米,押2付3,4500,中楼层/6层,44.8,电信小区,简装
整租,距离地铁北京西站469米,押1付3,5000,底层/6层,50,铁西宿舍,中装
整租,距离地铁北京西站762米,押2付3,7800,高楼层/22层,75,北蜂窝中路甲8号院,精装
整租,距离地铁北京西站633米,押1付3,5300,低楼层/6层,55,电信小区,精装
合租,距离地铁北京西站633米,押2付3,2300,低楼层/6层,15,电信小区,中装
整租,距离地铁军事博物馆697米,押2付3,5800,顶层/6层,61.4,会城门小区,简装
整租,距离地铁北京西站633米,押1付3,6300,中楼层/6层,68,电信小区,精装
合租,距离地铁湾子268米,押2付3,2700,高楼层/14层,20,小马厂北里,精装
整租,距离地铁军事博物馆305米,押2付3,23000,中楼层/19层,198.8,博望园,精装
整租,距离地铁木樨地509米,押2付3,8500,高楼层/16层,80,水科院小区,精装
整租,距离地铁北京西站469米,押2付3,11000,底层/6层,39.6,铁西宿舍,简装
整租,距离地铁军事博物馆544米,押2付3,6200,低楼层/16层,45,复兴路乙6号院,精装
整租,距离地铁军事博物馆544米,押2付3,9000,中楼层/16层,75,复兴路乙6号院,精装
整租,距离地铁军事博物馆544米,押1付3,6500,低楼层/16层,65,复兴路乙6号院,中装
整租,距离地铁北京西站762米,押2付3,5800,低楼层/22层,55,北蜂窝中路甲8号院,精装
整租,距离地铁军事博物馆784米,押2付3,5500,高楼层/19层,55,北蜂窝路15号院,中装
整租,距离地铁湾子268米,押2付3,5800,低楼层/14层,60,小马厂北里,精装
整租,距离地铁达官营847米,押1付3,23000,中楼层/26层,163,华天大厦,中装
整租,距离地铁军事博物馆485米,押1付12,15000,高楼层/9层,90,玉渊潭南路9号院,精装
整租,距离地铁湾子268米,押2付3,8800,顶层/14层,97,小马厂北里,精装
整租,距离地铁军事博物馆697米,押2付3,7000,中楼层/6层,75,会城门小区,精装
整租,距离地铁北京西站633米,押1付3,6500,中楼层/6层,70,电信小区,中装
整租,距离地铁北京西站633米,押2付3,6000,高楼层/6层,60,电信小区,中装
整租,距离地铁军事博物馆829米,押1付3,4500,中楼层/11层,45,铁东小区,简装
整租,距离地铁军事博物馆544米,押1付3,6800,高楼层/16层,60,复兴路乙6号院,精装
整租,距离地铁军事博物馆829米,押1付3,5500,高楼层/16层,46,铁东小区,中装
整租,距离地铁军事博物馆544米,押2付3,5000,高楼层/18层,45,复兴路乙6号院,精装
整租,距离地铁北京西站712米,押2付3,8000,中楼层/6层,85,北蜂窝63号院,中装
整租,距离地铁军事博物馆508米,押2付3,9500,中楼层/18层,78,铁道部五号院新,精装
整租,距离地铁军事博物馆652米,押2付3,5000,低楼层/20层,50,乔建里小区,精装
整租,距离地铁军事博物馆508米,押2付3,12000,高楼层/18层,130,铁道部五号院新,精装
整租,距离地铁木樨地640米,押2付3,8000,底层/6层,65,中联部宿舍,精装
军博,距离地铁北京西站832米,押1付3,4800,低楼层/6层,35.31,北蜂窝路30号,其他
军博,距离地铁军事博物馆508米,押1付3,8700,底层/12层,75.43,铁道部五号院新,其他
军博,距离地铁木樨地509米,押1付3,5200,中楼层/5层,45,水科院小区,其他
军博,距离地铁北京西站469米,押1付3,5000,高楼层/6层,35,铁西宿舍,其他
军博,距离地铁北京西站832米,押1付3,7800,高楼层/6层,73.3,北蜂窝路30号,其他
军博,距离地铁军事博物馆544米,押1付3,7000,中楼层/16层,64.8,复兴路乙6号院,其他
距离地铁北京西站636米,距离地铁北京西站636米,押1付3,2700,中楼层/6层,14,铁医路,合租
军博,距离地铁军事博物馆697米,押1付3,4000,高楼层/7层,45,会城门小区,其他
军博,距离地铁湾子268米,押1付3,6400,低楼层/9层,76.91,小马厂北里,其他
军博,距离地铁北京西站633米,押1付3,5900,低楼层/6层,51.02,电信小区,其他
军博,距离地铁北京西站604米,押1付3,6500,高楼层/15层,70,信悦华庭,其他
军博,距离地铁军事博物馆544米,押1付3,7500,中楼层/16层,55.4,复兴路乙6号院,其他
军博,距离地铁木樨地509米,押1付3,5400,高楼层/16层,45,茂林居,其他
军博,距离地铁军事博物馆652米,押1付3,5500,低楼层/20层,50.5,乔建里小区,其他
军博,距离地铁北京西站469米,押1付3,5600,中楼层/6层,68,铁西宿舍,其他
