chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁健德门568米,押2付3,9500,低楼层/23层,72,冠城南园,精装
整租,距离地铁安华桥889米,押2付3,8300,中楼层/6层,75,北三环中路16号楼,精装
整租,距离地铁安华桥707米,押1付3,8000,高楼层/12层,65,北三环中路12号院,豪装
整租,距离地铁牡丹园219米,押1付3,10000,中楼层/19层,102,月华轩,精装
整租,距离地铁健德门465米,押2付3,16000,高楼层/19层,150.34,冠城北园,精装
整租,距离地铁健德门465米,押1付3,22000,高楼层/17层,225.11,冠城北园,精装
合租,距离地铁安华桥329米,押2付3,3500,顶层/6层,20,黄寺后身36号院,精装
整租,距离地铁健德门568米,押2付3,16000,低楼层/24层,150,冠城南园,简装
合租,距离地铁牡丹园769米,押1付3,1700,高楼层/15层,12,有研宿舍,中装
整租,距离地铁健德门568米,押2付3,16000,中楼层/23层,127.05,冠城南园,精装
整租,距离地铁北土城607米,押1付3,5700,低楼层/6层,40.9,裕民路3号院,精装
整租,距离地铁牡丹园595米,押2付3,7000,低楼层/21层,60.5,马甸月季园,精装
整租,距离地铁北土城607米,押1付3,7000,顶层/6层,75,裕民路3号院,精装
整租,距离地铁牡丹园595米,押1付3,8500,高楼层/20层,65.1,马甸月季园,精装
整租,,押2付3,6500,高楼层/6层,54.11,裕民路1号院,简装
整租,距离地铁牡丹园769米,押2付3,5500,高楼层/14层,50,有研宿舍,精装
整租,距离地铁北土城238米,押2付3,5500,中楼层/13层,50,鼓楼外大街1、3号楼,简装
马甸,距离地铁牡丹园595米,押1付3,5450,底层/9层,45.8,马甸月季园,其他
距离地铁牡丹园595米,距离地铁牡丹园595米,押1付3,3400,中楼层/21层,15,马甸月季园,合租
马甸,距离地铁牡丹园595米,押1付3,5400,高楼层/9层,45.8,马甸月季园,其他
整租,距离地铁健德门469米,押2付3,22000,低楼层/20层,259.8,凯德品元,中装
整租,距离地铁北土城607米,押1付3,6000,顶层/6层,60,裕民路3号院,简装
整租,距离地铁健德门333米,押2付3,18000,低楼层/13层,155,京友公寓,精装
整租,距离地铁健德门460米,押1付2,33000,顶层/15层,280,华展国际公寓,中装
整租,距离地铁健德门333米,押2付3,18000,底层/13层,155.4,京友公寓,中装
整租,距离地铁牡丹园595米,押2付3,7000,中楼层/7层,58.36,马甸月季园,精装
整租,距离地铁健德门460米,押2付3,25000,顶层/15层,258,华展国际公寓,中装
随时看房,距离地铁健德门465米,押2付3,12000,底层/21层,85.12,冠城北园,集中供暖
马甸,距离地铁健德门922米,押1付3,6500,底层/6层,33,马甸电信宿舍,其他
整租,距离地铁健德门465米,押2付3,22500,高楼层/21层,188.68,冠城北园,精装
整租,距离地铁健德门465米,押2付3,22500,高楼层/21层,148.89,冠城北园,中装
马甸,距离地铁牡丹园557米,押1付3,2650,低楼层/18层,15,科技部宿舍,其他
整租,距离地铁牡丹园219米,押2付3,11000,低楼层/19层,98,月华轩,精装
整租,距离地铁健德门465米,押1付3,43000,高楼层/21层,480,冠城北园,豪装
马甸,距离地铁健德门568米,押1付3,15000,中楼层/24层,150,冠城南园,其他
距离地铁健德门922米,距离地铁健德门922米,押1付3,3200,中楼层/6层,12,马甸电信宿舍,合租
马甸,距离地铁牡丹园595米,押1付3,7600,高楼层/7层,56.7,马甸月季园,其他
马甸,距离地铁牡丹园595米,押1付3,5600,底层/9层,45.8,马甸月季园,其他
马甸,距离地铁牡丹园595米,押1付3,8300,中楼层/20层,65.1,马甸月季园,其他
距离地铁牡丹园595米,距离地铁牡丹园595米,押1付3,3400,中楼层/20层,95,马甸月季园,合租
马甸,距离地铁牡丹园595米,押1付3,6600,低楼层/7层,54,马甸月季园,其他
马甸,距离地铁牡丹园595米,押1付3,6300,底层/9层,46.2,马甸月季园,其他
马甸,距离地铁牡丹园595米,押1付3,8800,中楼层/21层,80,马甸月季园,其他
马甸,距离地铁牡丹园769米,押1付3,5700,中楼层/5层,57.8,有研宿舍,其他
马甸,距离地铁牡丹园595米,押1付3,5950,高楼层/9层,45.8,马甸月季园,其他
距离地铁健德门460米,距离地铁健德门460米,押1付3,3000,中楼层/15层,20,华展国际公寓,合租
距离地铁牡丹园572米,距离地铁牡丹园572米,押1付3,3000,中楼层/5层,12,钟表宿舍北院,合租
距离地铁牡丹园572米,距离地铁牡丹园572米,押1付3,4000,中楼层/5层,20,钟表宿舍北院,合租
马甸,距离地铁北土城238米,押1付3,5600,高楼层/13层,48.52,鼓楼外大街1、3号楼,其他
马甸,距离地铁北土城607米,押1付3,3700,底层/6层,20,裕民路3号院,其他
马甸,距离地铁牡丹园1364米,押1付3,6500,低楼层/7层,48.5,新街口外大街6号院,其他
马甸,距离地铁安华桥329米,押1付3,7000,顶层/6层,74.7,黄寺后身36号院,其他
马甸,距离地铁牡丹园595米,押1付3,8800,中楼层/21层,54.31,马甸月季园,其他
距离地铁牡丹园572米,距离地铁牡丹园572米,押1付3,2600,中楼层/5层,10,钟表宿舍北院,合租
距离地铁北土城607米,距离地铁北土城607米,押1付3,2800,底层/6层,10,裕民路3号院,合租
距离地铁健德门922米,距离地铁健德门922米,押1付3,2900,高楼层/6层,71,马甸电信宿舍,合租
距离地铁北土城607米,距离地铁北土城607米,押1付3,3000,底层/6层,10,裕民路3号院,合租
