chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁永泰庄408米,押2付3,5800,顶层/6层,62,永泰东里,精装
整租,距离地铁永泰庄509米,押1付3,6000,低楼层/6层,65,永泰西里,精装
整租,距离地铁永泰庄1141米,押1付3,5700,高楼层/14层,65,强佑清河新城,中装
整租,距离地铁西小口536米,押1付3,6800,中楼层/19层,90,莱镇香格里,中装
合租,距离地铁上地1495米,押2付3,3200,底层/14层,20,清河毛纺厂北小区,中装
整租,距离地铁林萃桥1395米,押2付3,7500,高楼层/6层,91,观景园,精装
整租,距离地铁永泰庄478米,押1付3,8500,顶层/6层,110,小营东路7号院,豪装
整租,距离地铁永泰庄408米,押2付3,6500,底层/6层,70,永泰东里,简装
整租,距离地铁永泰庄652米,押1付3,7500,低楼层/30层,109,永泰园新地标,精装
整租,距离地铁永泰庄871米,押1付3,5000,高楼层/15层,55.7,高巢小区,精装
整租,距离地铁永泰庄985米,押1付3,4000,低楼层/10层,80,清缘里小区,简装
整租,距离地铁永泰庄652米,押2付3,7500,中楼层/28层,94,永泰园新地标,精装
整租,距离地铁永泰庄881米,押1付3,7500,中楼层/27层,99.6,清景园,精装
整租,距离地铁上地1495米,押1付3,5800,中楼层/6层,60,清河毛纺厂北小区,中装
清河,距离地铁永泰庄985米,押2付3,6500,底层/9层,73.82,清缘里小区,精装
合租,距离地铁永泰庄1145米,押1付3,3500,高楼层/6层,20,宝盛里小区,精装
整租,距离地铁永泰庄1141米,押1付3,5700,低楼层/22层,60,强佑清河新城,中装
整租,距离地铁上地255米,押2付3,6500,低楼层/9层,66,美和园,精装
合租,距离地铁永泰庄509米,押2付3,2300,中楼层/6层,20,永泰西里,中装
合租,距离地铁上地255米,押2付3,2500,高楼层/9层,30,美和园,精装
整租,距离地铁永泰庄409米,押2付3,3500,中楼层/18层,40,永泰庄北路40号院,精装
整租,距离地铁永泰庄652米,押1付3,7000,中楼层/28层,86.6,永泰园新地标,精装
整租,距离地铁永泰庄1046米,押2付3,4800,中楼层/13层,33.47,清缘东里,中装
整租,距离地铁永泰庄1145米,押2付3,7000,底层/9层,75,宝盛里小区,精装
整租,距离地铁林萃桥1313米,押1付12,5300,低楼层/9层,45,观澳园,豪装
整租,距离地铁上地1495米,押2付3,5500,中楼层/6层,56.5,清河毛纺厂北小区,精装
整租,距离地铁永泰庄715米,押1付3,7800,中楼层/6层,100,永泰中路23号院,精装
整租,,押2付3,5200,底层/6层,70,清河毛纺厂南小区,中装
整租,距离地铁永泰庄1141米,押2付3,6200,低楼层/14层,70,强佑清河新城,中装
整租,距离地铁上地255米,押2付3,7200,中楼层/9层,84,美和园,中装
合租,距离地铁上地255米,押2付3,2700,底层/6层,20,美和园,精装
整租,距离地铁永泰庄509米,押1付3,8200,中楼层/6层,90,永泰西里,精装
整租,距离地铁上地324米,押1付3,6000,中楼层/6层,62.22,财大家属院,精装
整租,距离地铁上地255米,押2付3,5800,中楼层/6层,65,美和园,精装
整租,距离地铁永泰庄652米,押2付3,6200,顶层/6层,60,永泰园,精装
整租,距离地铁永泰庄871米,押1付3,4300,低楼层/15层,42,高巢小区,精装
合租,距离地铁永泰庄652米,押2付3,3000,底层/6层,25,永泰园,中装
整租,距离地铁永泰庄408米,押1付3,5100,底层/6层,55,永泰东里,精装
整租,距离地铁永泰庄881米,押2付3,7500,低楼层/27层,100,清景园,精装
合租,距离地铁永泰庄1454米,押1付3,2700,低楼层/6层,20,观林园,精装
整租,距离地铁永泰庄509米,押2付3,4500,顶层/6层,46,永泰西里,中装
整租,距离地铁永泰庄1141米,押2付3,6500,高楼层/28层,65,强佑清河新城,精装
整租,距离地铁上地1495米,押1付3,6500,低楼层/6层,60,清河毛纺厂北小区,精装
整租,距离地铁永泰庄730米,押2付3,4500,顶层/5层,45,公交党校宿舍,毛坯
整租,距离地铁永泰庄509米,押1付3,6000,中楼层/6层,60,永泰西里,精装
整租,距离地铁永泰庄652米,押2付3,10000,顶层/6层,139,永泰园,精装
整租,距离地铁西小口536米,押1付3,9000,高楼层/15层,120,莱镇香格里,精装
整租,距离地铁永泰庄408米,押2付3,5500,高楼层/6层,65,永泰东里,中装
整租,距离地铁永泰庄408米,押1付3,5800,高楼层/6层,60,永泰东里,精装
整租,距离地铁永泰庄1141米,押1付3,6500,顶层/9层,70,强佑清河新城,精装
整租,距离地铁永泰庄509米,押2付3,5500,高楼层/6层,58,永泰西里,中装
整租,距离地铁永泰庄1210米,押1付3,6300,顶层/18层,89,海清园,中装
整租,,押1付3,6000,中楼层/6层,60,清河毛纺厂南小区,中装
