chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁车道沟835米,押2付3,9000,低楼层/19层,90,远大园四区,精装
整租,距离地铁车道沟835米,押1付3,12500,底层/19层,123,远大园四区,精装
整租,距离地铁长春桥977米,押2付3,9000,中楼层/20层,98,世纪城晨月园,中装
整租,距离地铁火器营725米,押1付3,19000,低楼层/13层,179.92,春荫园,精装
整租,距离地铁长春桥977米,押2付3,6600,高楼层/20层,64.8,世纪城晨月园,中装
整租,距离地铁火器营974米,押1付3,6500,中楼层/12层,55,烟树园,精装
整租,距离地铁火器营443米,押2付3,10000,底层/7层,89.29,怡丽南园,精装
整租,距离地铁长春桥977米,押2付3,8500,低楼层/20层,82,世纪城晨月园,精装
整租,距离地铁长春桥977米,押2付3,6200,高楼层/20层,64,世纪城晨月园,中装
世纪城,距离地铁火器营974米,押1付3,6300,顶层/12层,64.87,烟树园,其他
合租,距离地铁火器营1074米,押2付3,3200,底层/20层,93,金夕园,中装
世纪城,距离地铁车道沟835米,押1付3,12500,中楼层/19层,119.01,远大园四区,其他
整租,距离地铁火器营678米,押2付3,20000,中楼层/13层,210.93,观山园,中装
整租,距离地铁火器营1074米,押1付12,8500,高楼层/20层,90,金夕园,精装
整租,距离地铁长春桥1054米,押1付3,13300,中楼层/18层,110,武警22号院东院,精装
整租,距离地铁火器营725米,押1付3,24000,中楼层/13层,179.69,春荫园,精装
世纪城,距离地铁巴沟736米,押1付3,11000,顶层/6层,141.77,怡丽北园,其他
合租,距离地铁火器营974米,押1付3,2600,中楼层/12层,115,烟树园,简装
整租,距离地铁长春桥977米,押2付3,6000,高楼层/20层,61.7,世纪城晨月园,精装
整租,距离地铁火器营666米,押1付3,18000,中楼层/20层,164.99,垂虹园,精装
整租,距离地铁长春桥413米,押1付3,18000,低楼层/13层,181,鲁园上河村,毛坯
整租,距离地铁火器营974米,押1付3,6500,高楼层/12层,55,烟树园,精装
整租,距离地铁火器营322米,押2付3,15500,底层/10层,125,蓝靛厂晴雪园,精装
整租,距离地铁火器营1074米,押2付3,6500,低楼层/20层,68,金夕园,精装
整租,距离地铁火器营974米,押1付6,4600,低楼层/12层,53,烟树园,简装
合租,距离地铁火器营974米,押1付3,2800,中楼层/12层,124,烟树园,精装
合租,距离地铁长春桥977米,押1付3,3400,中楼层/20层,93,世纪城晨月园,精装
