chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁海淀黄庄449米,押2付3,9800,中楼层/18层,70,知春里,豪装
整租,距离地铁知春里646米,押2付3,14000,高楼层/24层,142,都市网景,精装
整租,距离地铁知春里373米,押2付3,6000,低楼层/6层,45,知春东里,精装
整租,距离地铁人民大学835米,押1付12,13000,低楼层/24层,98.6,满庭芳园,中装
整租,距离地铁人民大学485米,押2付3,6000,高楼层/18层,45,青年公寓,精装
整租,距离地铁人民大学835米,押1付3,14500,低楼层/24层,128,满庭芳园,精装
合租,距离地铁海淀黄庄449米,押1付3,3500,中楼层/6层,15,知春里,精装
整租,距离地铁海淀黄庄449米,押1付12,5800,底层/6层,40,知春里,精装
整租,距离地铁知春里587米,押2付3,6200,中楼层/6层,45,中关村东路,精装
整租,距离地铁人民大学327米,押1付3,8000,中楼层/16层,54.78,双榆树西里,精装
整租,距离地铁知春里388米,押1付6,9500,高楼层/10层,95,榆苑公寓,中装
整租,距离地铁知春里316米,押2付3,6700,顶层/6层,40,青云北区,精装
整租,距离地铁海淀黄庄449米,押1付3,8500,中楼层/6层,68,知春里,中装
整租,距离地铁人民大学485米,押2付3,5800,高楼层/18层,45,青年公寓,精装
整租,距离地铁人民大学835米,押2付3,16000,低楼层/24层,154,满庭芳园,中装
整租,距离地铁海淀黄庄449米,押2付3,7500,中楼层/18层,51.2,知春里,精装
整租,距离地铁海淀黄庄372米,押2付3,15000,低楼层/18层,101,豪景佳苑,简装
整租,距离地铁人民大学327米,押2付3,7300,中楼层/16层,65,双榆树西里,中装
合租,距离地铁人民大学569米,押2付3,1800,中楼层/20层,10,科南中心,中装
整租,距离地铁人民大学485米,押2付3,5800,中楼层/18层,45,青年公寓,中装
整租,距离地铁人民大学485米,押2付3,6000,中楼层/18层,45,青年公寓,中装
整租,距离地铁海淀黄庄449米,押1付3,8000,中楼层/18层,61.6,知春里,精装
整租,距离地铁人民大学327米,押2付3,8000,高楼层/16层,56.9,双榆树西里,中装
整租,距离地铁知春里373米,押2付3,8000,中楼层/20层,74,知春东里,精装
整租,距离地铁海淀黄庄449米,押2付3,7000,中楼层/18层,51.3,知春里,中装
整租,距离地铁人民大学545米,押2付3,5500,中楼层/6层,45,双榆树北里,中装
整租,距离地铁人民大学637米,押2付3,8500,低楼层/6层,55,双榆树东里,精装
整租,距离地铁知春里373米,押1付3,6500,中楼层/20层,51.7,知春东里,精装
整租,距离地铁人民大学637米,押1付3,8500,底层/6层,54.3,双榆树东里,中装
整租,距离地铁知春里316米,押2付3,6500,中楼层/6层,45,青云北区,精装
整租,距离地铁知春里646米,押2付3,13000,中楼层/24层,105,都市网景,精装
整租,距离地铁海淀黄庄449米,押2付3,8800,低楼层/6层,61.5,知春里,精装
整租,距离地铁知春里646米,押2付3,14000,低楼层/24层,142,都市网景,中装
整租,距离地铁人民大学485米,押1付3,6000,底层/18层,45,青年公寓,精装
双榆树,距离地铁人民大学835米,押1付3,3300,高楼层/24层,14,满庭芳园,其他
距离地铁人民大学637米,距离地铁人民大学637米,押1付3,3500,高楼层/16层,18,双榆树东里,合租
双榆树,距离地铁人民大学485米,押1付3,5100,底层/18层,45,青年公寓,其他
