chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
合租,距离地铁车道沟751米,押2付3,2500,底层/17层,76.9,曙光花园望塔园,精装
整租,距离地铁慈寿寺961米,押1付3,7300,中楼层/16层,72,玲珑经典,精装
整租,距离地铁车道沟453米,押2付3,15000,中楼层/17层,154,观澜国际,精装
合租,距离地铁海淀五路居1201米,押2付3,3200,底层/6层,20,金庄小区,精装
整租,距离地铁车道沟740米,押2付3,7000,中楼层/5层,70,农林科学院,中装
合租,距离地铁海淀五路居1059米,押2付3,2300,底层/9层,130,金雅园,精装
整租,距离地铁海淀五路居1059米,押2付3,6500,顶层/7层,68,金雅园,中装
整租,距离地铁慈寿寺778米,押2付3,15000,顶层/11层,137,玫瑰御园,精装
整租,距离地铁慈寿寺296米,押1付12,8000,底层/10层,43,琨御府,豪装
整租,距离地铁车道沟751米,押1付3,6000,低楼层/17层,61.43,曙光花园望塔园,精装
整租,距离地铁海淀五路居1142米,押2付3,95000,低楼层/3层,1000,WE-HOUSE,精装
整租,距离地铁慈寿寺961米,押2付3,7500,底层/15层,86,玲珑经典,精装
整租,距离地铁车道沟1172米,押1付3,10000,低楼层/6层,120,曙光花园望福园,精装
整租,距离地铁慈寿寺961米,押1付3,6000,中楼层/15层,58,玲珑经典,精装
整租,距离地铁车道沟740米,押2付3,5200,顶层/4层,50,农林科学院,精装
整租,距离地铁慈寿寺360米,押2付3,18500,底层/7层,178,绿波漫板,中装
整租,距离地铁海淀五路居1142米,押1付3,55000,底层/4层,350,WE-HOUSE,豪装
整租,距离地铁慈寿寺578米,押2付3,6000,低楼层/9层,43.79,颐慧佳园,中装
整租,距离地铁车道沟740米,押2付3,8000,底层/4层,65,农林科学院,精装
合租,距离地铁海淀五路居1201米,押2付3,2500,中楼层/6层,20,金庄小区,精装
整租,距离地铁车道沟676米,押2付3,9500,中楼层/17层,105,曙光花园望山园,精装
整租,距离地铁慈寿寺961米,押2付3,6300,中楼层/16层,60,玲珑经典,精装
合租,距离地铁海淀五路居1059米,押2付3,2600,低楼层/9层,20,金雅园,精装
整租,距离地铁海淀五路居711米,押2付3,12000,中楼层/6层,110,汤泉逸墅,精装
整租,距离地铁车道沟751米,押1付3,6000,中楼层/17层,61.43,曙光花园望塔园,精装
整租,距离地铁慈寿寺296米,押2付3,6500,底层/10层,50,琨御府,简装
合租,距离地铁车道沟676米,押2付3,2500,高楼层/17层,10,曙光花园望河园,中装
整租,距离地铁车道沟740米,押2付3,6800,顶层/6层,65,农林科学院,中装
整租,距离地铁海淀五路居1142米,押2付3,55000,底层/1层,300,WE-HOUSE,精装
整租,距离地铁车道沟740米,押2付3,5000,低楼层/5层,44,农林科学院,精装
整租,距离地铁海淀五路居1059米,押2付3,7800,顶层/9层,87,金雅园,中装
整租,距离地铁慈寿寺296米,押2付3,7000,中楼层/10层,56,琨御府,中装
合租,距离地铁慈寿寺961米,押2付3,1500,底层/15层,32,玲珑经典,中装
合租,距离地铁慈寿寺961米,押2付3,1500,底层/15层,32,玲珑经典,中装
整租,距离地铁慈寿寺578米,押2付3,15500,高楼层/16层,155,颐慧佳园,精装
合租,距离地铁车道沟751米,押2付3,3000,顶层/13层,86.42,曙光花园望塔园,精装
合租,距离地铁慈寿寺578米,押2付3,4000,中楼层/16层,29,颐慧佳园,中装
合租,距离地铁车道沟751米,押2付3,2500,中楼层/17层,20,曙光花园望塔园,中装
整租,距离地铁车道沟453米,押2付3,19800,中楼层/17层,239.27,观澜国际,精装
整租,距离地铁海淀五路居539米,押2付3,6000,顶层/6层,70,五路居小区,精装
合租,距离地铁海淀五路居405米,押2付3,2200,高楼层/10层,82,美丽西园,精装
合租,距离地铁慈寿寺296米,押2付3,1500,底层/10层,20,琨御府,毛坯
整租,距离地铁海淀五路居405米,押2付3,8500,底层/17层,80,美丽西园,精装
整租,距离地铁海淀五路居776米,押2付3,16000,中楼层/6层,142.95,美丽经典园,精装
整租,距离地铁慈寿寺961米,押2付3,5000,中楼层/16层,45,玲珑经典,中装
整租,距离地铁慈寿寺961米,押2付3,5800,低楼层/15层,57,玲珑经典,精装
整租,距离地铁慈寿寺961米,押1付3,7200,高楼层/16层,75,玲珑经典,精装
合租,距离地铁车道沟751米,押2付3,2800,高楼层/17层,20,曙光花园望塔园,中装
整租,距离地铁慈寿寺961米,押2付3,6400,高楼层/15层,60,玲珑经典,精装
合租,距离地铁慈寿寺961米,押2付3,1100,底层/16层,21,玲珑经典,中装
整租,距离地铁慈寿寺961米,押2付3,7800,中楼层/16层,78,玲珑经典,精装
合租,距离地铁慈寿寺961米,押2付3,5800,低楼层/16层,60,玲珑经典,精装
四季青,距离地铁车道沟702米,押1付3,15300,中楼层/17层,190,曙光花园底商,其他
四季青,距离地铁海淀五路居623米,押1付3,10000,中楼层/17层,95,水云居,其他
四季青,距离地铁海淀五路居785米,押1付3,13500,中楼层/9层,126,美丽星苑,其他
整租,距离地铁车道沟453米,押2付3,13000,高楼层/17层,120,观澜国际,精装
距离地铁海淀五路居1059米,距离地铁海淀五路居1059米,押1付3,7600,低楼层/10层,87.77,金雅园,整租
整租,距离地铁慈寿寺778米,押2付3,23000,高楼层/11层,125.31,玫瑰御园,精装
整租,距离地铁车道沟676米,押1付3,11000,低楼层/17层,120,曙光花园望河园,精装
四季青,距离地铁车道沟702米,押1付3,6200,中楼层/17层,65.57,曙光花园底商,其他
