chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁海淀黄庄621米,押1付12,15000,低楼层/5层,83,人民大学静园,中装
合租,距离地铁苏州街1057米,押1付3,3500,高楼层/22层,171,紫金庄园,中装
整租,距离地铁苏州街670米,押1付3,7500,高楼层/19层,42.43,中湾国际,精装
整租,距离地铁海淀黄庄621米,押2付3,7000,中楼层/6层,55,人民大学静园,精装
整租,距离地铁人民大学825米,押2付3,7000,顶层/6层,60,三义庙,精装
整租,距离地铁苏州街1027米,押2付3,7000,底层/6层,54,小南庄,豪装
整租,距离地铁海淀黄庄245米,押2付3,6500,中楼层/16层,48.08,海淀南路,精装
整租,距离地铁苏州街670米,押2付3,7000,高楼层/19层,38,中湾国际,精装
整租,距离地铁苏州街1057米,押2付3,8200,高楼层/23层,66.91,紫金庄园,中装
整租,距离地铁海淀黄庄469米,押2付3,15000,底层/4层,85,人民大学林园,中装
整租,距离地铁苏州街524米,押1付3,8000,中楼层/18层,65,稻香园西里,中装
整租,距离地铁海淀黄庄621米,押2付3,7500,中楼层/6层,45,人民大学静园,简装
整租,距离地铁长春桥961米,押2付3,7000,高楼层/6层,72,怡秀园,精装
整租,距离地铁长春桥961米,押1付3,8000,中楼层/18层,75,怡秀园,中装
整租,距离地铁苏州街910米,押1付3,12000,底层/6层,86,三义庙二炮干休所,简装
整租,距离地铁海淀黄庄245米,押1付3,8000,中楼层/16层,57.3,海淀南路,精装
整租,距离地铁海淀黄庄245米,押2付3,8500,中楼层/16层,60,海淀南路,中装
整租,距离地铁海淀黄庄245米,押2付3,9000,中楼层/6层,63,海淀南路,精装
整租,距离地铁海淀黄庄621米,押2付3,7000,低楼层/5层,45,人民大学静园,简装
整租,距离地铁长春桥961米,押2付3,8500,中楼层/16层,77.08,怡秀园,精装
整租,距离地铁海淀黄庄621米,押1付3,7000,高楼层/6层,45,人民大学静园,中装
整租,距离地铁苏州街1027米,押2付3,12000,中楼层/18层,168,小南庄,中装
合租,距离地铁苏州街524米,押2付3,3500,低楼层/6层,20,稻香园西里,精装
整租,距离地铁海淀黄庄469米,押2付3,14000,中楼层/6层,85,人民大学林园,中装
整租,距离地铁苏州街1057米,押2付3,17000,低楼层/22层,171.9,紫金庄园,精装
合租,距离地铁苏州街1057米,押2付3,4500,高楼层/22层,196.7,紫金庄园,精装
整租,距离地铁苏州街1027米,押0付3,5000,顶层/6层,50.51,小南庄,毛坯
整租,距离地铁苏州街1027米,押1付3,7500,中楼层/16层,60.25,小南庄,中装
合租,距离地铁人民大学90米,押1付3,4000,低楼层/4层,25,海淀区北三环西路47号,精装
整租,距离地铁海淀黄庄245米,押1付3,12000,中楼层/16层,77.4,海淀南路,中装
整租,距离地铁苏州街630米,押1付3,20000,中楼层/18层,147,大河庄苑,精装
合租,距离地铁人民大学825米,押2付3,4000,高楼层/7层,15,三义庙,中装
整租,距离地铁海淀黄庄621米,押1付3,7200,低楼层/5层,50,人民大学静园,中装
整租,距离地铁苏州街188米,押2付3,12000,底层/6层,60,倒座庙,精装
整租,距离地铁苏州街284米,押2付3,8500,低楼层/25层,76,艾瑟顿国际公寓,豪装
合租,距离地铁苏州街1027米,押2付3,3800,中楼层/18层,25,小南庄,精装
整租,距离地铁北沙滩775米,押2付3,15000,中楼层/4层,130,苏州街干休所,精装
