chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,6800,中楼层/9层,92,碧森里,精装
整租,,押2付3,7600,中楼层/24层,105,田村雪芳园,精装
整租,,押2付3,9000,中楼层/9层,126,田村雪芳园,中装
电话预约,距离地铁海淀五路居670米,押2付3,5600,顶层/8层,80,自由度,精装
整租,,押2付3,9500,高楼层/9层,110,碧森里,中装
整租,距离地铁海淀五路居1197米,押2付3,9500,顶层/10层,106,乐府江南,精装
整租,距离地铁海淀五路居1197米,押2付3,5000,高楼层/10层,40,乐府江南,精装
合租,,押1付3,2000,中楼层/13层,15,兰德华庭,中装
合租,,押2付3,3000,顶层/18层,25,武颐嘉园,精装
整租,距离地铁海淀五路居1348米,押2付3,5200,低楼层/6层,58,永定路1号院,中装
合租,,押2付3,2400,低楼层/5层,20,橡胶院小区,精装
整租,,押2付3,9500,顶层/9层,135,中国房子,精装
整租,,押1付3,7500,低楼层/9层,117,中国房子,精装
整租,,押2付3,5000,中楼层/5层,56,田村小区,中装
合租,距离地铁海淀五路居361米,押2付3,2200,中楼层/6层,10,西木小区,精装
整租,距离地铁海淀五路居1348米,押2付3,5500,顶层/5层,60,永定路1号院,精装
整租,距离地铁海淀五路居1348米,押2付3,2500,高楼层/6层,25,永定路1号院,精装
田村,距离地铁海淀五路居721米,押1付3,4800,中楼层/5层,60,田村路19号院,其他
整租,距离地铁海淀五路居1197米,押2付3,13000,中楼层/10层,142,乐府江南,精装
田村,,押1付3,5600,低楼层/13层,76,兰德华庭,其他
田村,,押1付3,2100,高楼层/6层,16,田村甲59号院,其他
整租,,押2付3,7500,高楼层/8层,106,中昊家园,中装
整租,,押2付3,8000,低楼层/21层,105,田村雪芳园,精装
整租,,押2付3,7800,低楼层/21层,105,田村雪芳园,精装
整租,距离地铁海淀五路居361米,押2付3,5200,高楼层/7层,51,西木小区,精装
整租,,押2付3,5500,中楼层/5层,53,田村小区,中装
田村,,押1付3,7000,低楼层/9层,98,景宜里,其他
整租,,押2付3,4600,低楼层/15层,48.2,永达逸家,精装
整租,,押2付3,18000,高楼层/12层,100,圣华里,毛坯
合租,距离地铁海淀五路居361米,押2付3,2800,中楼层/6层,15,西木小区,精装
整租,距离地铁海淀五路居1197米,押2付3,13000,高楼层/10层,139,乐府江南,精装
整租,,押2付3,1950,高楼层/6层,12,田村小区,精装
田村,,押1付3,5500,低楼层/4层,54.44,碧桐园,其他
田村,,押1付3,8300,中楼层/13层,93.52,兰德华庭,其他
整租,,押2付3,5000,顶层/6层,58.8,田村路48号院,毛坯
整租,,押2付3,8000,中楼层/9层,114,中国房子,精装
田村,,押1付3,6000,高楼层/6层,74.54,海澜中苑,其他
合租,,押2付3,2700,低楼层/5层,17,田村小区,精装
整租,,押1付3,7500,顶层/9层,93,景宜里,精装
整租,,押2付3,7800,高楼层/13层,90,兰德华庭,精装
整租,,押2付3,7000,中楼层/15层,99,圣华里,中装
,,押1付3,2800,中楼层/6层,23,海澜中苑,合租
合租,距离地铁海淀五路居1476米,押2付3,2000,中楼层/6层,15,田村路41号院,精装
,,押1付3,2225,顶层/10层,15,永定路甲19号院,合租
田村,,押1付3,4300,中楼层/4层,36.4,碧桐园,其他
田村,距离地铁海淀五路居1237米,押1付3,5700,高楼层/6层,70.39,永景园,其他
,,押1付3,2600,顶层/10层,15,永定路甲19号院,合租
整租,,押2付3,7600,中楼层/21层,105,田村雪芳园,中装
田村,,押1付3,7800,高楼层/13层,93.52,兰德华庭,其他
,,押1付3,2400,顶层/10层,12,永定路甲19号院,合租
