chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁火器营725米,押2付3,7000,底层/14层,47.99,蜂鸟社区,精装
整租,距离地铁长春桥798米,押2付3,12000,中楼层/18层,92,光大花园,中装
整租,距离地铁火器营583米,押2付3,30000,顶层/15层,164.76,光大水墨风景,精装
整租,距离地铁火器营741米,押2付3,13000,中楼层/16层,97,汇新家园,精装
整租,距离地铁火器营910米,押2付3,36000,顶层/10层,259.38,涧桥泊屋馆,精装
整租,距离地铁火器营741米,押1付3,12000,顶层/16层,90,汇新家园,精装
整租,距离地铁巴沟528米,押2付3,50000,中楼层/6层,270,万泉新新家园,精装
整租,距离地铁火器营741米,押2付3,10000,低楼层/16层,108,汇新家园,精装
整租,距离地铁长春桥988米,押2付3,15500,低楼层/16层,106,阳春光华枫树园,精装
整租,距离地铁火器营741米,押2付3,10000,顶层/16层,86,汇新家园,精装
整租,距离地铁火器营583米,押2付3,12000,底层/16层,62.12,光大水墨风景,精装
整租,距离地铁长春桥757米,押2付3,25000,低楼层/15层,219.31,山水倾城,精装
整租,距离地铁火器营741米,押2付3,10000,中楼层/16层,98,汇新家园,精装
整租,距离地铁长春桥757米,押2付3,23000,中楼层/15层,142,山水倾城,精装
整租,距离地铁长春桥798米,押2付3,17000,高楼层/18层,151,光大花园,精装
整租,距离地铁火器营910米,押2付3,27000,低楼层/10层,192.25,涧桥泊屋馆,精装
整租,距离地铁火器营583米,押2付3,24000,低楼层/16层,149,光大水墨风景,精装
整租,距离地铁火器营583米,押2付3,16000,顶层/15层,105,光大水墨风景,精装
万柳,距离地铁火器营741米,押1付3,7200,低楼层/16层,60.5,汇新家园,其他
整租,距离地铁火器营583米,押1付3,24000,低楼层/16层,219,光大水墨风景,精装
万柳,距离地铁火器营725米,押1付3,6000,顶层/14层,51.68,蜂鸟社区,其他
万柳,距离地铁长春桥757米,押1付3,15000,中楼层/15层,134.9,山水倾城,其他
万柳,距离地铁火器营725米,押1付3,5820,中楼层/14层,47.5,蜂鸟社区,其他
整租,距离地铁火器营741米,押2付3,7500,低楼层/16层,67,汇新家园,中装
整租,距离地铁火器营741米,押2付3,11000,高楼层/16层,138,汇新家园,精装
万柳,距离地铁火器营725米,押1付3,6000,中楼层/14层,47.6,蜂鸟社区,其他
整租,距离地铁长春桥920米,押2付3,37500,底层/23层,240,新起点嘉园,简装
整租,距离地铁火器营741米,押2付3,13000,中楼层/16层,97,汇新家园,精装
整租,距离地铁火器营741米,押1付3,10000,中楼层/16层,89,汇新家园,精装
整租,距离地铁长春桥920米,押2付3,13000,高楼层/21层,116,新起点嘉园,精装
整租,距离地铁长春桥920米,押2付3,25000,高楼层/21层,178,新起点嘉园,精装
整租,距离地铁长春桥920米,押2付3,37500,低楼层/23层,240,新起点嘉园,精装
整租,距离地铁火器营910米,押2付3,6500,底层/15层,50,涧桥泊屋馆,精装
整租,距离地铁长春桥757米,押2付3,18000,底层/11层,175,山水倾城,精装
整租,距离地铁火器营523米,押1付3,22000,中楼层/17层,163,碧水云天,精装
整租,距离地铁火器营741米,押2付3,12500,中楼层/16层,119,汇新家园,中装
万柳,距离地铁火器营725米,押1付3,6000,低楼层/14层,47.5,蜂鸟社区,其他
万柳,距离地铁火器营741米,押1付12,7200,低楼层/16层,65,汇新家园,其他
整租,距离地铁长春桥920米,押2付3,12500,中楼层/21层,105,新起点嘉园,中装
整租,距离地铁火器营741米,押1付3,7000,低楼层/16层,65,汇新家园,精装
整租,距离地铁火器营910米,押2付6,25000,顶层/16层,178.33,涧桥泊屋馆,精装
整租,距离地铁火器营741米,押2付3,11000,中楼层/16层,97,汇新家园,精装
万柳,距离地铁长春桥798米,押1付3,11500,中楼层/18层,103.18,光大花园,其他
整租,距离地铁长春桥988米,押2付3,10000,高楼层/16层,120.34,阳春光华枫树园,精装
整租,距离地铁火器营741米,押2付3,13000,高楼层/16层,91.8,汇新家园,精装
整租,距离地铁火器营583米,押2付3,16000,中楼层/16层,108,光大水墨风景,中装
整租,距离地铁火器营741米,押2付3,7500,高楼层/16层,67,汇新家园,精装
整租,距离地铁火器营741米,押2付3,13000,中楼层/16层,95,汇新家园,精装
