chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁苏州街684米,押2付3,8000,低楼层/6层,60,稻香园南区,简装
整租,距离地铁苏州街1009米,押1付3,7000,底层/8层,60,万泉庄,精装
整租,距离地铁苏州街477米,押2付3,7500,中楼层/6层,70,万泉庄一号院,精装
整租,距离地铁苏州街1009米,押2付3,7000,中楼层/6层,68,万泉庄,中装
整租,距离地铁苏州街1009米,押2付3,5800,中楼层/6层,43,万泉庄,精装
整租,距离地铁苏州街1009米,押2付3,6000,底层/6层,50,万泉庄,精装
整租,距离地铁苏州街1009米,押2付3,7000,中楼层/8层,65,万泉庄,精装
距离地铁苏州街684米,距离地铁苏州街684米,押1付3,3100,高楼层/6层,10,稻香园南区,合租
整租,距离地铁苏州街1009米,押2付3,5800,中楼层/6层,42.4,万泉庄,简装
整租,距离地铁苏州街684米,押1付6,7900,中楼层/5层,66,稻香园南区,中装
整租,距离地铁苏州街684米,押2付3,9500,中楼层/16层,88,稻香园南区,精装
万泉河,距离地铁苏州街684米,押1付3,9000,底层/16层,70,稻香园南区,其他
合租,距离地铁苏州街477米,押2付3,3500,顶层/6层,20,万泉庄一号院,中装
整租,距离地铁苏州街684米,押2付3,8000,中楼层/6层,60,稻香园南区,精装
万泉河,距离地铁苏州街684米,押1付3,6500,中楼层/16层,53,稻香园南区,其他
