chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁万寿路330米,押2付3,6300,中楼层/6层,57,复兴路61号院,精装
整租,距离地铁西钓鱼台1177米,押2付3,8000,低楼层/18层,65,朱各庄12号院,精装
万寿路,距离地铁万寿路330米,押1付3,6500,顶层/12层,51,复兴路61号院,其他
万寿路,距离地铁万寿路435米,押1付3,5800,高楼层/20层,49.7,万寿路西街5号院,其他
万寿路,距离地铁五棵松943米,押1付3,7500,低楼层/20层,67.8,万寿园小区,其他
整租,距离地铁万寿路417米,押1付3,6500,底层/6层,58,大件宿舍,精装
整租,距离地铁花园桥175米,押2付3,6500,底层/19层,57,西三环北路101号院,中装
距离地铁西钓鱼台1346米,距离地铁西钓鱼台1346米,押1付3,3400,高楼层/6层,18,沙沟铁路宿舍,合租
合租,距离地铁万寿路330米,押2付3,2500,高楼层/6层,11,复兴路61号院,简装
整租,距离地铁万寿路613米,押2付3,5200,顶层/6层,38,万寿路西街9号院,中装
整租,距离地铁花园桥175米,押2付3,6600,中楼层/19层,65,西三环北路101号院,精装
整租,距离地铁五棵松1250米,押2付3,8000,低楼层/18层,97,万寿路4号院,简装
整租,距离地铁万寿路768米,押1付3,6200,顶层/6层,71.07,万寿路西街11号院,中装
合租,距离地铁万寿路417米,押2付3,2300,顶层/6层,15,大件宿舍,精装
整租,距离地铁五棵松856米,押2付3,7600,中楼层/18层,63,西翠路12号院,精装
合租,距离地铁万寿路330米,押1付3,2600,底层/6层,12,复兴路61号院,精装
整租,距离地铁万寿路978米,押2付3,13000,底层/12层,100,万寿路乙5号院,中装
整租,距离地铁五棵松969米,押2付3,4500,高楼层/6层,45,太平路甲21号院,中装
万寿路,距离地铁万寿路330米,押1付3,6600,底层/12层,69.5,复兴路61号院,其他
万寿路,距离地铁五棵松969米,押1付3,5600,顶层/6层,66,太平路甲21号院,其他
万寿路,距离地铁万寿路330米,押1付3,4000,底层/6层,40,复兴路61号院,其他
万寿路,距离地铁花园桥175米,押1付3,5500,底层/19层,40.1,西三环北路101号院,其他
距离地铁万寿路417米,距离地铁万寿路417米,押1付3,2200,中楼层/6层,10,大件宿舍,合租
整租,距离地铁万寿路417米,押1付3,4500,顶层/6层,45,大件宿舍,简装
万寿路,距离地铁万寿路330米,押1付3,5300,高楼层/6层,39.9,复兴路61号院,其他
万寿路,距离地铁西钓鱼台819米,押1付3,9200,低楼层/16层,90.7,万寿路甲15号院四区,其他
整租,距离地铁西钓鱼台653米,押2付3,7500,低楼层/18层,85,万寿路甲15号院五区,中装
整租,距离地铁万寿路330米,押2付3,5500,高楼层/6层,41.58,复兴路61号院,中装
整租,距离地铁西钓鱼台653米,押2付3,10000,高楼层/14层,105,万寿路甲15号院五区,中装
整租,距离地铁西钓鱼台1085米,押2付3,6200,低楼层/6层,62,朱各庄,中装
整租,距离地铁万寿路330米,押2付3,7000,低楼层/12层,71.1,复兴路61号院,精装
合租,距离地铁万寿路330米,押2付3,2400,中楼层/6层,18,复兴路61号院,中装
