chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
合租,距离地铁魏公村818米,押1付3,3200,中楼层/5层,68.24,中央民族大学家属楼,精装
整租,距离地铁魏公村1077米,押2付3,7500,底层/16层,65,海淀区法华寺,精装
整租,距离地铁魏公村1077米,押2付3,6000,顶层/16层,55,海淀区法华寺,中装
整租,距离地铁魏公村805米,押1付3,7500,顶层/5层,55,魏公村南区,中装
整租,距离地铁魏公村805米,押2付3,7600,中楼层/5层,60,魏公村南区,中装
整租,距离地铁魏公村805米,押2付3,5300,中楼层/5层,40,魏公村南区,精装
整租,距离地铁国家图书馆966米,押1付3,12000,低楼层/19层,101,鑫德嘉园,中装
合租,距离地铁魏公村1077米,押2付3,3000,高楼层/16层,15,海淀区法华寺,中装
整租,距离地铁魏公村818米,押2付3,8500,中楼层/7层,70,中央民族大学家属楼,精装
整租,距离地铁魏公村805米,押1付3,6000,中楼层/5层,45,魏公村南区,精装
整租,距离地铁国家图书馆1003米,押2付3,20000,低楼层/12层,170,万寿寺甲三号院,精装
整租,距离地铁魏公村975米,押2付3,9000,高楼层/18层,70,民族大学西路60号院,精装
整租,距离地铁魏公村563米,押2付3,17000,中楼层/16层,138,大慧寺甲25号院,精装
整租,距离地铁魏公村1099米,押1付3,6300,中楼层/15层,45,法华寺27号,精装
整租,距离地铁魏公村493米,押2付3,15000,底层/16层,118,韦伯豪家园,精装
整租,距离地铁魏公村1189米,押2付3,7800,中楼层/5层,65,万寿寺甲2号院,中装
整租,距离地铁魏公村805米,押2付3,8000,中楼层/5层,53.8,魏公村南区,中装
整租,距离地铁魏公村493米,押2付3,12000,中楼层/25层,78.68,韦伯豪家园,精装
整租,距离地铁人民大学690米,押2付3,5500,底层/5层,55,理工大学家属院,中装
整租,距离地铁魏公村1099米,押2付3,6600,底层/15层,45,法华寺27号,中装
整租,距离地铁魏公村493米,押2付3,8000,低楼层/22层,65,韦伯豪家园,中装
整租,距离地铁魏公村1099米,押2付3,5800,底层/15层,48,法华寺27号,精装
合租,距离地铁魏公村493米,押2付3,4000,底层/16层,15,韦伯豪家园,中装
整租,距离地铁魏公村818米,押1付3,8000,高楼层/14层,68,中央民族大学家属楼,中装
整租,距离地铁魏公村805米,押2付3,7500,低楼层/5层,51,魏公村南区,精装
整租,距离地铁魏公村805米,押2付3,8000,中楼层/5层,60,魏公村南区,精装
整租,距离地铁魏公村805米,押2付3,8000,中楼层/5层,50,魏公村南区,精装
整租,距离地铁魏公村1099米,押2付3,6500,高楼层/15层,43.54,法华寺27号,中装
整租,距离地铁魏公村805米,押2付3,8000,中楼层/5层,65,魏公村南区,简装
整租,距离地铁魏公村818米,押2付3,8500,低楼层/14层,65,中央民族大学家属楼,精装
整租,距离地铁魏公村1166米,押2付3,8800,底层/6层,73,万寿寺北里,精装
整租,距离地铁魏公村818米,押2付3,7500,顶层/14层,70,中央民族大学家属楼,中装
距离地铁魏公村634米,距离地铁魏公村634米,押1付3,2300,高楼层/16层,9,魏公村路8号院,合租
整租,距离地铁魏公村493米,押2付3,15000,底层/22层,93.46,韦伯豪家园,精装
距离地铁魏公村634米,距离地铁魏公村634米,押1付3,3800,高楼层/16层,13,魏公村路8号院,合租
魏公村,距离地铁魏公村805米,押1付3,7800,底层/5层,50.9,魏公村南区,其他
魏公村,距离地铁魏公村634米,押1付3,9000,底层/16层,74.5,魏公村路8号院,其他
整租,距离地铁魏公村805米,押1付3,7500,底层/5层,55,魏公村南区,中装
整租,距离地铁魏公村1099米,押2付3,6000,高楼层/15层,50,法华寺27号,精装
整租,距离地铁魏公村805米,押2付3,7000,顶层/5层,60,魏公村南区,中装
整租,距离地铁魏公村1099米,押2付3,6000,中楼层/15层,45,法华寺27号,精装
整租,距离地铁魏公村493米,押2付3,12500,中楼层/23层,100,韦伯豪家园,中装
整租,距离地铁魏公村805米,押2付3,6500,中楼层/5层,60,魏公村南区,中装
合租,距离地铁魏公村805米,押2付3,4000,低楼层/5层,20,魏公村南区,精装
整租,距离地铁魏公村634米,押1付3,11000,中楼层/14层,76,魏公村路8号院,豪装
