chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁清华东路西口381米,押2付3,7000,顶层/6层,65,王庄路15号院,精装
合租,距离地铁五道口788米,押2付3,2800,高楼层/6层,12,清华园,简装
整租,距离地铁五道口374米,押2付3,11000,顶层/6层,80.8,西王庄小区,精装
整租,距离地铁五道口679米,押1付3,5800,中楼层/6层,43.8,展春园小区,精装
整租,距离地铁五道口679米,押2付3,9000,高楼层/6层,70,展春园小区,中装
整租,距离地铁清华东路西口209米,押2付3,11500,高楼层/19层,87,红杉国际公寓,精装
整租,距离地铁五道口259米,押1付3,7900,低楼层/20层,55,华清嘉园,豪装
合租,距离地铁清华东路西口408米,押2付3,3300,中楼层/6层,20,西郊宾馆小区,简装
整租,,押2付3,41000,底层/5层,270,褐石,精装
整租,距离地铁五道口259米,押1付3,15000,中楼层/20层,117,华清嘉园,精装
整租,距离地铁五道口259米,押2付3,8500,中楼层/14层,76,华清嘉园,中装
整租,距离地铁五道口259米,押2付3,17000,高楼层/20层,150,华清嘉园,精装
整租,距离地铁五道口259米,押2付3,9500,中楼层/20层,74,华清嘉园,精装
合租,距离地铁五道口848米,押1付3,3600,顶层/12层,20,地质大学,精装
整租,距离地铁五道口392米,押1付3,8000,底层/6层,70,王庄路27号院,精装
整租,距离地铁清华东路西口419米,押2付3,6500,底层/6层,56,东王庄小区,中装
整租,距离地铁清华东路西口209米,押2付3,8800,低楼层/22层,62.23,红杉国际公寓,中装
整租,距离地铁五道口259米,押1付3,15000,高楼层/20层,120,华清嘉园,精装
整租,距离地铁北京大学东门335米,押2付3,6500,中楼层/6层,45,中关园,精装
整租,距离地铁五道口392米,押1付3,6800,中楼层/6层,50,东升园公寓,精装
整租,距离地铁清华东路西口408米,押2付3,7000,顶层/6层,63.4,西郊宾馆小区,精装
整租,距离地铁清华东路西口408米,押2付3,8100,高楼层/6层,59,西郊宾馆小区,精装
整租,距离地铁五道口796米,押2付3,15600,低楼层/18层,132.87,水清木华园,精装
整租,距离地铁中关村446米,押2付3,6800,底层/6层,60,科源小区,中装
整租,距离地铁五道口392米,押2付3,7500,中楼层/6层,64,王庄路27号院,精装
整租,,押2付3,30000,底层/5层,210,褐石,精装
整租,距离地铁清华东路西口209米,押2付3,8700,高楼层/19层,53,红杉国际公寓,精装
合租,距离地铁五道口848米,押2付3,3000,中楼层/6层,25,地质大学,精装
整租,距离地铁五道口679米,押2付3,7300,中楼层/6层,65,展春园小区,精装
整租,距离地铁五道口392米,押1付3,6200,顶层/6层,50,东升园公寓,中装
合租,距离地铁清华东路西口1064米,押2付3,3500,低楼层/5层,12,清华大学西北小区,简装
整租,距离地铁五道口848米,押2付3,6500,低楼层/12层,52,地质大学,精装
整租,距离地铁五道口259米,押2付3,8000,高楼层/20层,60,华清嘉园,精装
整租,距离地铁五道口340米,押2付3,14000,中楼层/28层,128,五道口嘉园,中装
整租,距离地铁五道口796米,押2付3,12000,中楼层/18层,92.62,水清木华园,精装
整租,,押2付3,7000,中楼层/5层,62,圆明园东里,精装
整租,距离地铁五道口848米,押2付3,6000,顶层/6层,55,地质大学,精装
整租,,押2付3,35000,低楼层/5层,251.91,褐石,精装
整租,,押1付3,21000,顶层/5层,105,褐石,精装
整租,距离地铁五道口919米,押1付3,10000,中楼层/19层,90,文津国际公寓,精装
整租,,押2付3,35000,中楼层/5层,198,褐石,精装
整租,距离地铁五道口259米,押2付3,8500,中楼层/20层,80,华清嘉园,简装
合租,距离地铁五道口848米,押2付3,3000,中楼层/21层,20,地质大学,精装
合租,距离地铁中关村446米,押2付3,2200,底层/6层,25,科源小区,中装
整租,距离地铁清华东路西口419米,押2付3,6500,高楼层/16层,50,东王庄小区,精装
整租,距离地铁五道口259米,押2付3,9000,中楼层/20层,70,华清嘉园,精装
整租,距离地铁五道口374米,押2付3,11500,顶层/6层,61.2,西王庄小区,精装
整租,距离地铁五道口848米,押1付3,6800,中楼层/5层,65,地质大学,中装
整租,距离地铁五道口374米,押1付3,7500,高楼层/6层,68,西王庄小区,精装
整租,距离地铁五道口679米,押1付3,7500,中楼层/6层,61,展春园小区,精装
整租,距离地铁五道口848米,押2付3,10000,顶层/5层,85,地质大学,精装
整租,,押1付3,3500,中楼层/24层,76,首创紫悦台知兴西路1号院,中装
整租,距离地铁五道口374米,押1付12,7000,顶层/6层,45,西王庄小区,精装
整租,,押2付3,41000,底层/5层,270,褐石,中装
合租,距离地铁五道口340米,押2付3,3300,低楼层/27层,20,五道口嘉园,精装
整租,距离地铁五道口259米,押1付3,12000,高楼层/20层,107,华清嘉园,精装
整租,距离地铁清华东路西口419米,押2付3,5800,低楼层/16层,55,东王庄小区,精装
整租,距离地铁五道口374米,押2付3,9000,底层/6层,80,西王庄小区,中装
整租,距离地铁清华东路西口381米,押2付3,6500,高楼层/6层,65,王庄路15号院,中装
整租,距离地铁五道口679米,押2付3,5500,顶层/6层,55,展春园小区,简装
整租,距离地铁五道口259米,押1付6,7500,高楼层/18层,55,华清嘉园,精装
整租,距离地铁清华东路西口419米,押2付3,8500,顶层/6层,80,东王庄小区,中装
合租,距离地铁中关村446米,押2付3,2800,底层/3层,25,科源小区,精装
整租,距离地铁五道口259米,押1付3,7000,高楼层/14层,65,华清嘉园,中装
整租,距离地铁五道口848米,押1付3,7500,中楼层/6层,65,地质大学,精装
整租,距离地铁五道口259米,押1付3,8500,高楼层/20层,68,华清嘉园,中装
合租,距离地铁五道口679米,押1付3,3500,顶层/6层,20,展春园小区,中装
整租,距离地铁六道口790米,押1付3,8600,高楼层/6层,67,语言学院,精装
整租,距离地铁五道口392米,押2付3,5500,中楼层/6层,42.5,王庄路27号院,中装
整租,,押2付3,25000,顶层/5层,137,褐石,精装
整租,距离地铁五道口259米,押1付3,7500,中楼层/20层,50,华清嘉园,精装
整租,距离地铁五道口796米,押1付3,9000,低楼层/9层,110,水清木华园,精装
整租,距离地铁清华东路西口1064米,押1付12,15000,中楼层/6层,84.5,清华大学西北小区,精装
整租,距离地铁五道口392米,押1付3,6500,中楼层/6层,55,东升园公寓,中装
