chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁五棵松1280米,押2付3,12000,中楼层/22层,96,金和嘉园,精装
整租,距离地铁五棵松387米,押2付3,2600,底层/4层,20,六建大院,精装
整租,距离地铁五棵松193米,押1付12,6000,高楼层/16层,46,复兴路30号,精装
整租,距离地铁五棵松1105米,押2付3,5800,顶层/6层,63,金沟河路2号,精装
整租,距离地铁五棵松1105米,押2付3,5500,中楼层/5层,55,金沟河路2号,精装
整租,距离地铁玉泉路923米,押2付3,5800,高楼层/6层,54,永定路西里,精装
整租,距离地铁玉泉路1329米,押1付3,7500,中楼层/11层,96,金沟河路10号院,中装
整租,距离地铁玉泉路984米,押1付3,10000,低楼层/15层,120,永定路57号院,精装
整租,距离地铁五棵松1086米,押2付3,190000,底层/15层,380,紫金长安,精装
整租,距离地铁五棵松1086米,押2付3,190000,底层/15层,380,紫金长安,中装
整租,距离地铁五棵松1086米,押2付3,190000,底层/15层,380,紫金长安,精装
整租,距离地铁五棵松884米,押2付3,14000,低楼层/19层,140,百朗园,精装
整租,距离地铁五棵松329米,押1付3,5000,中楼层/18层,40,复兴路79号院,中装
整租,距离地铁五棵松1210米,押1付3,5500,顶层/6层,70,金沟河3号院,精装
五棵松,距离地铁五棵松938米,押2付3,17000,高楼层/9层,173.79,今日家园,整租
整租,距离地铁五棵松884米,押1付3,13000,高楼层/19层,159,百朗园,中装
整租,距离地铁五棵松1105米,押2付3,6200,底层/5层,70,金沟河路2号,精装
合租,距离地铁五棵松1210米,押1付3,2500,中楼层/6层,15,金沟河3号院,豪装
整租,距离地铁五棵松1210米,押2付3,5500,高楼层/6层,59,金沟河3号院,中装
整租,距离地铁五棵松938米,押1付3,6000,高楼层/24层,76,今日家园,精装
整租,距离地铁五棵松1121米,押2付3,5200,中楼层/6层,45,沙窝西郊苗圃宿舍,精装
整租,距离地铁五棵松1105米,押2付3,5100,中楼层/5层,60,金沟河路2号,精装
整租,距离地铁玉泉路923米,押2付3,5000,底层/6层,60,永定路西里,精装
整租,距离地铁五棵松1086米,押1付6,12500,顶层/16层,101,紫金长安,精装
整租,,押1付3,4500,高楼层/6层,45,永定路17号院,中装
整租,,押2付3,5500,中楼层/6层,60,永定路17号院,中装
整租,距离地铁玉泉路923米,押2付3,6500,底层/6层,65,永定路西里,简装
整租,距离地铁五棵松884米,押2付3,16000,顶层/19层,190,百朗园,毛坯
整租,距离地铁五棵松884米,押2付3,9500,低楼层/19层,100,百朗园,精装
整租,距离地铁玉泉路923米,押2付3,5700,高楼层/6层,58,永定路西里,中装
整租,距离地铁五棵松938米,押2付3,7600,低楼层/24层,93,今日家园,中装
整租,距离地铁五棵松1419米,押1付3,5800,中楼层/6层,60,金沟河5号院,精装
整租,距离地铁五棵松1009米,押1付3,6500,低楼层/6层,57,太平路甲8号,中装
整租,距离地铁五棵松938米,押2付3,8000,低楼层/18层,107,今日家园,精装
整租,距离地铁五棵松938米,押2付3,8500,中楼层/18层,107,今日家园,精装
整租,距离地铁五棵松938米,押2付3,7800,中楼层/24层,109.37,今日家园,中装
整租,距离地铁五棵松938米,押2付3,7500,中楼层/24层,110,今日家园,简装
整租,距离地铁五棵松938米,押2付3,6300,低楼层/24层,62,今日家园,精装
整租,距离地铁五棵松938米,押2付3,11000,高楼层/18层,128,今日家园,精装
整租,距离地铁五棵松938米,押1付3,5500,中楼层/24层,55,今日家园,中装
整租,距离地铁五棵松938米,押2付3,9500,低楼层/24层,108.1,今日家园,精装
整租,距离地铁五棵松951米,押1付3,4500,顶层/6层,45,太平路甲12号院,精装
整租,距离地铁五棵松938米,押2付3,8000,高楼层/18层,108,今日家园,精装
整租,距离地铁玉泉路646米,押1付3,11000,低楼层/15层,129.12,嘉德公寓,精装
整租,距离地铁五棵松775米,押2付3,9000,中楼层/18层,55,长银大厦,中装
整租,距离地铁五棵松387米,押2付3,5500,低楼层/14层,45,六建大院,中装
整租,距离地铁玉泉路923米,押2付3,8500,中楼层/12层,72.56,永定路西里,精装
整租,距离地铁五棵松387米,押2付3,2500,顶层/4层,25,六建大院,中装
整租,距离地铁玉泉路923米,押2付3,8500,中楼层/12层,72.56,永定路西里,精装
整租,距离地铁五棵松1105米,押2付3,5500,低楼层/5层,50,金沟河路2号,精装
整租,距离地铁五棵松387米,押2付3,2600,低楼层/4层,65,六建大院,简装
整租,距离地铁五棵松387米,押2付3,4500,顶层/6层,45,六建大院,中装
整租,距离地铁五棵松1237米,押2付3,2800,高楼层/6层,80,太平路44号院,中装
整租,距离地铁五棵松329米,押1付6,6000,中楼层/6层,60,复兴路79号院,简装
五棵松,距离地铁玉泉路646米,押1付3,15000,高楼层/16层,142.47,嘉德公寓,其他
五棵松,距离地铁玉泉路923米,押1付3,6000,高楼层/6层,59.56,永定路西里,其他
五棵松,距离地铁玉泉路923米,押1付3,5800,高楼层/6层,57.69,永定路西里,其他
