chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁积水潭464米,押2付3,9000,中楼层/10层,77.9,新街口外大街31号院,精装
整租,距离地铁积水潭1205米,押2付3,7000,中楼层/25层,55.7,今典花园,精装
整租,距离地铁积水潭820米,押2付3,9500,底层/6层,73.3,志强园小区,精装
整租,距离地铁积水潭1205米,押2付3,6000,高楼层/25层,59.1,今典花园,中装
整租,距离地铁积水潭784米,押2付3,8000,中楼层/7层,75,志强北园小区,精装
整租,距离地铁积水潭1013米,押2付3,6500,中楼层/12层,60,新街口外大街21号院,中装
整租,距离地铁积水潭812米,押1付3,7500,高楼层/6层,70,文慧园,中装
整租,距离地铁积水潭1205米,押1付3,12000,顶层/20层,127,今典花园,中装
整租,距离地铁积水潭799米,押2付3,5800,高楼层/22层,44.63,文慧园公寓,精装
整租,距离地铁积水潭1205米,押2付3,7000,低楼层/21层,60,今典花园,精装
整租,距离地铁积水潭922米,押2付3,6900,顶层/6层,65,红联南村,精装
整租,距离地铁积水潭552米,押2付3,6300,低楼层/6层,70,志强南园,中装
整租,距离地铁积水潭552米,押2付3,6500,低楼层/6层,60,志强南园,中装
整租,距离地铁积水潭1114米,押2付3,5500,顶层/6层,45,新街口外大街5号,中装
整租,距离地铁积水潭511米,押1付3,5200,顶层/12层,30,五月华庭,中装
整租,距离地铁积水潭799米,押2付3,5800,中楼层/13层,40,文慧园公寓,中装
整租,距离地铁积水潭552米,押2付3,7000,底层/6层,60,志强南园,精装
合租,距离地铁西直门1164米,押2付3,1500,中楼层/6层,70,索家坟,精装
合租,距离地铁西直门1164米,押1付3,3500,底层/5层,30,索家坟,精装
整租,距离地铁积水潭799米,押2付3,6800,中楼层/21层,52.85,文慧园公寓,精装
整租,距离地铁积水潭511米,押2付3,5300,中楼层/12层,45,五月华庭,中装
整租,距离地铁积水潭799米,押2付3,7000,高楼层/13层,65,文慧园公寓,精装
整租,距离地铁积水潭799米,押2付3,7200,低楼层/19层,60,文慧园公寓,简装
合租,距离地铁积水潭784米,押2付3,3500,顶层/5层,21,志强北园小区,精装
整租,距离地铁积水潭697米,押1付3,2700,高楼层/7层,81,新街口外大街甲25号院,中装
整租,距离地铁积水潭511米,押2付3,5500,高楼层/12层,45,五月华庭,精装
整租,距离地铁积水潭398米,押1付3,5800,中楼层/5层,51,文慧园路甲2号院,中装
整租,距离地铁积水潭799米,押2付3,6000,低楼层/19层,48.1,文慧园公寓,精装
整租,距离地铁积水潭511米,押2付3,5500,顶层/12层,45,五月华庭,精装
整租,距离地铁积水潭820米,押2付3,5600,高楼层/6层,46,志强园小区,中装
合租,距离地铁积水潭812米,押2付3,3000,低楼层/6层,10,文慧园,精装
整租,距离地铁积水潭799米,押1付3,10000,高楼层/22层,71.49,文慧园公寓,精装
整租,距离地铁积水潭799米,押2付3,13500,顶层/21层,129.97,文慧园公寓,精装
整租,距离地铁积水潭922米,押2付3,6500,高楼层/20层,60,红联南村,精装
整租,距离地铁积水潭799米,押2付3,11000,高楼层/19层,118,文慧园公寓,中装
整租,距离地铁积水潭1205米,押2付3,7200,低楼层/25层,65,今典花园,毛坯
整租,距离地铁积水潭1205米,押2付3,6800,中楼层/28层,55.37,今典花园,精装
整租,距离地铁积水潭511米,押2付3,5300,低楼层/12层,45,五月华庭,精装
合租,距离地铁西土城1101米,押2付3,2700,中楼层/12层,15,北三环中路46号院,中装
整租,距离地铁积水潭1148米,押2付3,7000,低楼层/4层,65,西土城路10号院,简装
整租,距离地铁积水潭398米,押2付3,6500,中楼层/6层,51,文慧园路甲2号院,精装
整租,距离地铁积水潭1148米,押2付3,7000,顶层/4层,65,西土城路10号院,简装
整租,距离地铁积水潭1205米,押2付3,14000,低楼层/21层,115,今典花园,精装
整租,距离地铁积水潭511米,押2付3,5500,高楼层/12层,45,五月华庭,中装
整租,距离地铁积水潭1205米,押1付3,75000,底层/24层,18152.18,今典花园,精装
整租,距离地铁西直门1164米,押2付3,6800,高楼层/16层,65.1,索家坟,中装
整租,距离地铁积水潭1148米,押2付3,8500,顶层/6层,85,西土城路10号院,精装
整租,距离地铁积水潭784米,押2付3,5600,顶层/7层,60,志强北园小区,毛坯
整租,距离地铁西直门1075米,押2付3,2500,顶层/6层,15,红联村,精装
整租,距离地铁积水潭784米,押2付3,8000,顶层/5层,54.9,志强北园小区,豪装
整租,距离地铁积水潭511米,押2付3,5500,中楼层/12层,42,五月华庭,精装
整租,距离地铁积水潭1205米,押2付3,9500,中楼层/21层,78,今典花园,精装
整租,距离地铁积水潭799米,押2付3,6700,高楼层/19层,47,文慧园公寓,中装
整租,距离地铁积水潭799米,押2付3,5500,低楼层/19层,48,文慧园公寓,精装
合租,距离地铁积水潭799米,押2付3,3000,中楼层/20层,15,文慧园公寓,精装
整租,距离地铁积水潭1148米,押2付3,7300,低楼层/5层,50.1,西土城路10号院,精装
合租,距离地铁积水潭812米,押2付3,3200,中楼层/7层,20,文慧园,精装
合租,距离地铁积水潭398米,押1付3,3500,底层/6层,25,文慧园路甲2号院,精装
整租,距离地铁积水潭511米,押1付3,5600,中楼层/15层,40.29,五月华庭,精装
合租,距离地铁积水潭820米,押2付3,3000,低楼层/6层,65,志强园小区,精装
整租,距离地铁积水潭1205米,押2付3,5200,低楼层/25层,33.2,今典花园,精装
整租,距离地铁积水潭799米,押1付3,8000,低楼层/21层,76.46,文慧园公寓,精装
合租,距离地铁积水潭820米,押2付3,3000,底层/6层,25,志强园小区,中装
整租,距离地铁积水潭1148米,押2付3,8000,中楼层/15层,70,西土城路10号院,精装
整租,距离地铁积水潭820米,押2付3,6500,低楼层/6层,60,志强园小区,精装
小西天,,押1付3,8200,中楼层/25层,70.94,枫蓝国际公寓,其他
小西天,距离地铁积水潭799米,押1付3,7000,低楼层/19层,46.94,文慧园公寓,其他
距离地铁西直门1164米,距离地铁西直门1164米,押1付12,3100,顶层/6层,18,索家坟,合租
小西天,距离地铁西直门430米,押1付3,11000,中楼层/10层,99,西直门铁路危改小区,其他
距离地铁积水潭552米,距离地铁积水潭552米,押1付3,6500,顶层/6层,65,志强南园,整租
小西天,距离地铁积水潭883米,押1付3,6500,中楼层/6层,50.3,文慧园路10号院,其他
距离地铁西直门1164米,距离地铁西直门1164米,押1付3,3800,顶层/6层,20,索家坟,合租
小西天,距离地铁大钟寺1071米,押1付3,5500,底层/12层,60,西土城路8号院,其他
小西天,距离地铁积水潭511米,押1付3,5200,顶层/12层,34.29,五月华庭,其他
整租,距离地铁积水潭511米,押2付3,5500,中楼层/12层,50,五月华庭,精装
小西天,距离地铁积水潭812米,押1付3,6500,中楼层/6层,55.4,文慧园,其他
小西天,距离地铁积水潭922米,押1付3,5600,顶层/6层,42.8,红联南村,其他
小西天,距离地铁积水潭799米,押1付3,6200,低楼层/20层,50,文慧园公寓,其他
