chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁西二旗1400米,押1付3,13000,高楼层/8层,120,西山公馆,中装
整租,距离地铁西北旺266米,押2付3,1500,低楼层/3层,18,百旺茉莉园,豪装
随时看房,距离地铁西北旺207米,,2500,中楼层/12层,20,中海枫涟山庄,精装
整租,距离地铁马连洼281米,押2付3,11500,低楼层/6层,126.27,润千秋,精装
整租,距离地铁马连洼1469米,押2付3,5500,高楼层/6层,50,东北旺苗圃南宿舍,精装
整租,距离地铁西北旺266米,押2付3,23000,底层/5层,231,百旺茉莉园,中装
整租,距离地铁西北旺266米,押2付3,13000,中楼层/9层,164,百旺茉莉园,精装
电话预约,距离地铁西北旺207米,,2500,中楼层/12层,125,中海枫涟山庄,精装
整租,距离地铁西北旺266米,押2付3,20000,底层/4层,370,百旺茉莉园,精装
整租,距离地铁马连洼281米,押1付3,11500,中楼层/9层,130,润千秋,精装
整租,距离地铁西二旗1400米,押2付3,20000,高楼层/8层,152,西山公馆,精装
整租,距离地铁西二旗1400米,押2付3,14000,底层/8层,138,西山公馆,精装
整租,距离地铁西二旗1400米,押2付3,8500,高楼层/8层,70,西山公馆,豪装
整租,距离地铁西北旺266米,押2付3,8600,底层/11层,114,百旺茉莉园,精装
整租,距离地铁西二旗1400米,押2付3,13000,底层/8层,115,西山公馆,精装
电话预约,距离地铁西二旗1400米,,12000,高楼层/8层,115,西山公馆,豪装
整租,,押2付3,7200,高楼层/6层,60.2,东馨园,精装
整租,距离地铁西北旺724米,押2付3,6300,中楼层/6层,82,夏霖园,中装
整租,距离地铁西北旺266米,押2付3,12000,中楼层/11层,140,百旺茉莉园,中装
整租,距离地铁西北旺266米,押2付3,8600,底层/11层,114,百旺茉莉园,中装
整租,距离地铁西北旺207米,押2付3,8500,顶层/7层,123,中海枫涟山庄,精装
整租,距离地铁西北旺724米,押2付3,5500,顶层/6层,57,夏霖园,精装
合租,,押2付3,1700,低楼层/6层,15,东馨园,简装
整租,距离地铁西二旗1400米,押2付3,8500,底层/8层,70,西山公馆,精装
整租,距离地铁西北旺207米,押1付3,12000,中楼层/7层,123,中海枫涟山庄,精装
整租,,押2付3,7000,顶层/6层,68.11,东馨园,精装
整租,距离地铁西二旗1400米,押2付3,8500,底层/8层,69,西山公馆,豪装
整租,,押2付3,6000,顶层/6层,68.11,东馨园,中装
整租,距离地铁西二旗1400米,押2付3,11500,低楼层/30层,110,西山公馆,简装
