chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁龙泽1098米,押2付3,5000,中楼层/24层,63.09,金域华府一期,精装
合租,距离地铁西二旗728米,押2付3,2500,底层/6层,18,西二旗铭科苑,精装
整租,距离地铁西二旗728米,押1付3,6500,顶层/6层,65,西二旗铭科苑,中装
合租,距离地铁西二旗476米,押1付3,3000,中楼层/24层,20,西二旗智学苑,精装
合租,距离地铁西二旗728米,押2付3,2500,高楼层/18层,18,西二旗铭科苑,中装
整租,距离地铁西二旗825米,押2付3,7000,低楼层/9层,99.41,燕尚园,精装
整租,距离地铁西二旗748米,押2付3,14000,中楼层/10层,162,领秀硅谷,精装
整租,距离地铁西二旗476米,押2付3,5300,中楼层/24层,68,西二旗智学苑,中装
整租,距离地铁龙泽1098米,押1付3,7500,中楼层/28层,90,金域华府一期,精装
整租,距离地铁西二旗728米,押2付3,8000,低楼层/6层,67,西二旗铭科苑,精装
整租,距离地铁西二旗476米,押2付3,6500,底层/6层,86,西二旗智学苑,中装
整租,距离地铁西二旗728米,押2付3,5000,底层/6层,66,西二旗铭科苑,精装
整租,距离地铁西二旗376米,押1付3,14000,中楼层/5层,146.11,领秀新硅谷2号院,精装
整租,距离地铁西二旗728米,押2付3,5000,低楼层/18层,72.06,西二旗铭科苑,精装
合租,距离地铁西二旗476米,押2付3,3900,顶层/6层,30,西二旗智学苑,精装
整租,距离地铁西二旗728米,押2付3,6500,低楼层/18层,93,西二旗铭科苑,简装
整租,距离地铁西二旗728米,押1付3,5000,顶层/6层,57,西二旗铭科苑,中装
整租,距离地铁西二旗476米,押2付3,8000,高楼层/22层,80,西二旗智学苑,精装
整租,距离地铁西二旗376米,押2付3,13500,中楼层/9层,150,领秀新硅谷2号院,精装
整租,距离地铁龙泽1098米,押1付3,7500,低楼层/28层,90,金域华府一期,精装
整租,距离地铁西二旗728米,押2付3,5300,底层/6层,53.6,西二旗铭科苑,精装
合租,距离地铁西二旗728米,押2付3,2500,底层/6层,96.2,西二旗铭科苑,精装
整租,距离地铁龙泽1098米,押2付3,6600,中楼层/28层,90,金域华府一期,精装
合租,距离地铁西二旗728米,押2付3,2400,底层/6层,15,西二旗铭科苑,精装
整租,距离地铁龙泽1098米,押2付3,7500,低楼层/28层,90,金域华府一期,中装
整租,距离地铁龙泽1098米,押2付3,6000,低楼层/28层,85.67,金域华府一期,精装
