chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁霍营448米,押2付3,3500,高楼层/26层,37,瑞旗家园,精装
整租,距离地铁霍营448米,押2付3,6200,低楼层/21层,96,瑞旗家园,中装
整租,距离地铁育新418米,押2付3,7500,中楼层/22层,80,育新花园,精装
整租,距离地铁霍营1493米,押2付3,6700,中楼层/6层,82.49,硅谷先锋,中装
整租,距离地铁霍营797米,押2付3,11000,顶层/14层,161,知本时代,精装
整租,距离地铁育新838米,押2付3,6200,中楼层/6层,70.12,龙乡小区,简装
整租,距离地铁育新838米,押2付3,6300,中楼层/6层,90,龙乡小区,中装
整租,距离地铁育新838米,押2付3,2600,底层/6层,25,龙乡小区,中装
整租,距离地铁霍营1493米,押2付3,8500,高楼层/6层,135,硅谷先锋,中装
整租,距离地铁育新680米,押2付3,5200,高楼层/31层,67.2,新康园,精装
整租,,押2付3,3000,低楼层/6层,50,北辰机械厂职工宿舍,中装
整租,距离地铁育新1229米,押2付3,6800,低楼层/6层,105,空军大院,豪装
合租,距离地铁育新1229米,押2付3,2200,顶层/4层,20,空军大院,中装
整租,距离地铁育新418米,押2付3,5300,中楼层/6层,77,育新花园,精装
整租,,押2付3,5000,顶层/6层,73,北辰机械厂职工宿舍,精装
整租,距离地铁回龙观722米,押2付3,5500,中楼层/6层,80,南店新村,中装
整租,距离地铁霍营797米,押1付3,5000,中楼层/18层,54,知本时代,精装
整租,,押2付3,6000,中楼层/23层,89,富力桃园,精装
整租,距离地铁育新418米,押2付3,5500,中楼层/18层,63.1,育新花园,精装
整租,距离地铁霍营448米,押1付3,6500,高楼层/28层,90,瑞旗家园,精装
整租,距离地铁回龙观722米,押2付3,6000,顶层/4层,70,南店新村,精装
整租,距离地铁育新784米,押2付3,5600,高楼层/6层,58,西三旗轮胎厂宿舍,精装
合租,距离地铁育新418米,押1付3,7300,中楼层/7层,90,育新花园,简装
整租,距离地铁育新418米,押2付3,7200,低楼层/6层,88,育新花园,中装
距离地铁霍营448米,距离地铁霍营448米,押1付3,2200,高楼层/28层,12,瑞旗家园,合租
距离地铁霍营448米,距离地铁霍营448米,押1付3,2300,高楼层/28层,11,瑞旗家园,合租
西三旗,距离地铁育新838米,押1付3,1600,高楼层/6层,13,龙乡小区,其他
西三旗,距离地铁育新418米,押1付3,4600,中楼层/6层,51.6,育新花园,其他
距离地铁育新838米,距离地铁育新838米,押1付3,2100,底层/6层,15,龙乡小区,合租
整租,距离地铁育新699米,押1付3,5800,中楼层/6层,63,建材城西二里,中装
整租,,押2付12,6500,高楼层/23层,89,富力桃园,精装
整租,距离地铁育新699米,押2付3,5200,高楼层/6层,60,建材城西二里,精装
合租,距离地铁霍营448米,押2付3,3000,低楼层/28层,30,瑞旗家园,精装
整租,距离地铁霍营1493米,押2付3,12000,中楼层/6层,134,硅谷先锋,精装
整租,距离地铁育新1338米,押2付3,16000,中楼层/9层,210,雪梨澳乡,精装
整租,,押2付3,6500,低楼层/21层,89,富力桃园,精装
整租,距离地铁育新1338米,押2付3,33000,底层/3层,330,雪梨澳乡,精装
整租,距离地铁回龙观722米,押1付3,6500,低楼层/6层,85,南店新村,精装
整租,距离地铁育新495米,押2付3,5000,中楼层/6层,60,建材城西一里,精装
整租,距离地铁霍营1343米,押2付3,4900,低楼层/6层,70,建材东一里,精装
整租,距离地铁育新262米,押2付3,4100,中楼层/6层,45,北新家园,中装
整租,距离地铁西小口1168米,押2付3,15000,高楼层/14层,180,育新嘉园,精装
整租,距离地铁育新495米,押2付3,5000,中楼层/6层,62,建材城西一里,精装
距离地铁霍营448米,距离地铁霍营448米,押1付3,2150,高楼层/28层,11,瑞旗家园,合租
距离地铁霍营448米,距离地铁霍营448米,押1付3,2600,高楼层/28层,15,瑞旗家园,合租
西三旗,距离地铁育新680米,押1付3,5150,中楼层/31层,67,新康园,其他
西三旗,距离地铁育新418米,押1付3,6000,低楼层/6层,76,育新花园,其他
西三旗,距离地铁霍营448米,押1付3,6500,中楼层/28层,90,瑞旗家园,其他
距离地铁回龙观1336米,距离地铁回龙观1336米,押1付3,2400,中楼层/6层,13,金榜园,合租
距离地铁育新838米,距离地铁育新838米,押1付3,2300,中楼层/6层,20,龙乡小区,合租
距离地铁育新1229米,距离地铁育新1229米,押1付3,2800,低楼层/15层,21,空军大院,合租
西三旗,距离地铁育新680米,押1付3,6200,高楼层/32层,73.72,新康园,其他
距离地铁育新680米,距离地铁育新680米,押1付3,2400,底层/13层,12,新康园,合租
距离地铁育新680米,距离地铁育新680米,押1付3,2700,底层/13层,18,新康园,合租
距离地铁育新680米,距离地铁育新680米,押1付3,2500,底层/13层,15,新康园,合租
距离地铁育新418米,距离地铁育新418米,押1付3,2500,高楼层/22层,15,育新花园,合租
距离地铁回龙观1336米,距离地铁回龙观1336米,押1付3,2600,高楼层/6层,23,金榜园,合租
距离地铁回龙观1336米,距离地铁回龙观1336米,押1付3,2500,高楼层/6层,18,金榜园,合租
距离地铁育新418米,距离地铁育新418米,押1付3,2500,高楼层/22层,18,育新花园,合租
西三旗,,押1付3,3000,顶层/6层,26.21,北辰机械厂职工宿舍,其他
距离地铁育新418米,距离地铁育新418米,押1付3,2800,高楼层/22层,20,育新花园,合租
距离地铁回龙观1336米,距离地铁回龙观1336米,押1付3,2300,高楼层/6层,15,金榜园,合租
整租,距离地铁霍营797米,押2付3,6000,高楼层/14层,75,知本时代,精装
距离地铁回龙观1336米,距离地铁回龙观1336米,押1付3,2600,中楼层/6层,25,金榜园,合租
西三旗,距离地铁育新418米,押1付3,4700,顶层/5层,47.3,育新花园,其他
合租,距离地铁回龙观722米,押2付3,2200,高楼层/6层,15,南店新村,中装
整租,距离地铁育新680米,押2付3,6800,中楼层/24层,75,新康园,中装
整租,,押1付3,9000,中楼层/6层,140,华鸿家园,精装
合租,距离地铁霍营1493米,押2付3,2800,底层/6层,15,硅谷先锋,简装
西三旗,距离地铁育新262米,押1付3,2650,底层/5层,64.4,北新家园,其他
西三旗,,押1付3,2900,高楼层/6层,28,北辰机械厂职工宿舍,其他
西三旗,,押1付3,2900,高楼层/6层,28,北辰机械厂职工宿舍,其他
西三旗,距离地铁育新699米,押1付3,6100,低楼层/6层,63.01,建材城西二里,其他
西三旗,,押1付3,2800,高楼层/17层,13,富力桃园,其他
西三旗,距离地铁育新262米,押1付3,3850,底层/5层,64.4,北新家园,其他
西三旗,距离地铁育新1086米,押1付3,2300,中楼层/21层,15,沁春家园,其他
西三旗,距离地铁育新495米,押1付3,4800,底层/6层,47,建材城西一里,其他
西三旗,,押1付3,2700,顶层/6层,26,北辰机械厂职工宿舍,其他
西三旗,距离地铁育新699米,押1付3,5200,中楼层/6层,46.3,建材城西二里,其他
距离地铁霍营1343米,距离地铁霍营1343米,押1付3,4500,顶层/6层,68,建材东一里,整租
西三旗,距离地铁育新680米,押1付3,6800,底层/4层,85.47,新康园,其他
距离地铁霍营1343米,距离地铁霍营1343米,押1付3,2000,高楼层/6层,12,建材东一里,合租
距离地铁霍营1343米,距离地铁霍营1343米,押1付3,1800,高楼层/6层,10,建材东一里,合租
距离地铁霍营1343米,距离地铁霍营1343米,押1付3,2200,高楼层/6层,15,建材东一里,合租
距离地铁育新418米,距离地铁育新418米,押1付3,2300,中楼层/6层,12,育新花园,合租
距离地铁育新418米,距离地铁育新418米,押1付3,2600,中楼层/6层,10,育新花园,合租
西三旗,,押1付3,3300,低楼层/6层,32,北辰机械厂职工宿舍,其他
合租,距离地铁育新699米,押2付3,2400,低楼层/6层,15,建材城西二里,精装
整租,,押2付3,6000,高楼层/23层,93,富力桃园,精装
西三旗,距离地铁育新1229米,押1付3,9100,中楼层/15层,132,空军大院,其他
整租,距离地铁霍营1493米,押2付3,5000,底层/6层,70,硅谷先锋,中装
整租,距离地铁霍营1493米,押1付3,4000,中楼层/6层,40,硅谷先锋,中装
整租,,押1付3,3200,低楼层/6层,30,北辰机械厂职工宿舍,中装
整租,距离地铁霍营1343米,押2付3,5200,顶层/6层,64,建材东一里,精装
整租,距离地铁霍营797米,押2付3,4500,中楼层/14层,42,知本时代,中装
合租,距离地铁霍营1102米,押2付3,1750,底层/5层,15,五机床厂宿舍,精装
整租,距离地铁育新838米,押2付3,5700,高楼层/6层,80,龙乡小区,精装
整租,,押2付3,5700,中楼层/21层,80,富力桃园,中装
