chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,7500,高楼层/16层,90,常青园北里,中装
整租,,押1付3,6000,低楼层/6层,90,门头馨村,中装
整租,,押2付3,5000,低楼层/9层,60,和泓四季,中装
整租,,押1付3,5000,低楼层/6层,61,门头馨园,精装
整租,,押1付3,5500,底层/4层,70,门头馨村,简装
整租,,押2付3,6500,中楼层/6层,120,双新园,精装
整租,距离地铁香山1209米,押2付3,5000,顶层/4层,54,煤厂街27号院东院,精装
整租,距离地铁火器营1366米,押2付3,10000,底层/3层,90,昆明湖南路11号,中装
整租,,押2付3,14000,中楼层/5层,144,天香颐北里,精装
整租,,押2付3,6000,高楼层/6层,83,门头馨园,精装
整租,,押2付3,6000,低楼层/6层,85,门头馨园,精装
整租,,押2付3,5500,中楼层/10层,60,常青园北里,中装
整租,,押2付3,60000,底层/4层,500,香山艺墅,豪装
整租,,押2付3,6000,中楼层/6层,60,京泉馨苑,精装
整租,,押2付3,4800,低楼层/9层,60,和泓四季,简装
整租,,押2付3,5500,顶层/11层,50,常青园北里,精装
整租,,押2付3,10000,中楼层/16层,100,常青园北里,精装
整租,,押2付3,7500,中楼层/15层,95,常青园北里,中装
整租,距离地铁火器营1366米,押2付3,6000,底层/10层,65,昆明湖南路11号,中装
西山,,押1付3,4800,中楼层/19层,54.69,和泓四季,其他
整租,,押2付3,6000,低楼层/6层,94,双新园,精装
整租,,押2付3,4500,高楼层/6层,64,巨山馨苑,精装
整租,,押2付3,6000,低楼层/15层,68,和泓四季,中装
整租,距离地铁植物园607米,押1付3,6800,顶层/3层,80,香山南辛村20号,精装
整租,距离地铁万安727米,押2付3,60000,高楼层/12层,465,自在香山公寓,毛坯
整租,,押1付12,5300,高楼层/7层,72,门头馨园,精装
