chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁大钟寺1045米,押2付3,10000,高楼层/21层,95,学院南路15号院,精装
整租,距离地铁大钟寺1197米,押2付3,8000,中楼层/26层,53,智慧大厦,精装
整租,距离地铁动物园633米,押2付3,8500,高楼层/7层,80,德宝新园,中装
整租,距离地铁西直门835米,押2付3,19000,高楼层/13层,165,远洋风景,毛坯
整租,距离地铁大钟寺1045米,押2付3,12000,高楼层/20层,128,学院南路15号院,精装
整租,距离地铁西直门606米,押2付3,7500,中楼层/6层,65,前桃园1号,精装
整租,距离地铁西直门686米,押2付3,15000,顶层/14层,133.27,金晖嘉园,中装
整租,距离地铁西直门768米,押2付3,30000,高楼层/6层,156.16,长河湾,精装
整租,距离地铁大钟寺1207米,押2付3,8000,低楼层/14层,70,铁科院宿舍,精装
整租,距离地铁西直门835米,押1付3,8500,中楼层/13层,76.29,远洋风景,精装
整租,距离地铁西直门1277米,押2付3,17000,高楼层/26层,170,天兆家园,精装
整租,距离地铁大钟寺1207米,押1付3,8000,低楼层/14层,70,铁科院宿舍,精装
整租,距离地铁西直门606米,押2付3,5500,顶层/6层,50,前桃园1号,中装
整租,距离地铁西直门1091米,押1付3,15000,高楼层/19层,138,交大嘉园,精装
整租,距离地铁大钟寺1207米,押2付3,7500,顶层/5层,60,铁科院宿舍,精装
整租,距离地铁大钟寺1197米,押2付3,6500,中楼层/26层,45,智慧大厦,精装
整租,距离地铁大钟寺1382米,押1付6,5700,中楼层/18层,43.7,明光村小区,精装
整租,距离地铁大钟寺1382米,押2付3,7000,低楼层/18层,60,明光村小区,精装
整租,距离地铁西直门672米,押2付3,7000,高楼层/7层,59.9,西直门北大街43号院,精装
整租,距离地铁新街口809米,押2付3,6800,高楼层/16层,59.2,城建宿舍,中装
整租,距离地铁西直门768米,押1付3,7000,中楼层/5层,50,长河湾,精装
整租,距离地铁新街口809米,押2付3,8000,中楼层/6层,59.2,城建宿舍,精装
整租,距离地铁新街口809米,押1付3,9000,高楼层/16层,76,城建宿舍,精装
整租,距离地铁西直门686米,押1付3,9000,低楼层/23层,68,金晖嘉园,精装
整租,距离地铁大钟寺1207米,押2付3,6300,中楼层/6层,35,铁科院宿舍,精装
整租,距离地铁西直门490米,押2付3,8200,中楼层/6层,60.4,玉桃园二区,中装
整租,距离地铁西直门768米,押1付3,32000,中楼层/6层,159.16,长河湾,精装
整租,距离地铁大钟寺1382米,押1付3,7000,顶层/6层,65,明光村小区,精装
整租,距离地铁西直门230米,押2付3,6800,低楼层/5层,54,玉芙胡同12号,中装
整租,距离地铁新街口809米,押2付3,6000,高楼层/18层,44.44,城建宿舍,精装
整租,距离地铁新街口277米,押1付3,30000,低楼层/10层,207,冠英园,中装
整租,距离地铁新街口277米,押2付3,6200,中楼层/10层,58,冠英园,精装
整租,距离地铁新街口595米,押1付3,25000,低楼层/13层,152,熙府桃园,中装
整租,距离地铁西直门900米,押2付12,93000,底层/19层,412.1,时代之光,中装
整租,距离地铁新街口277米,押1付3,7500,低楼层/6层,75,冠英园,中装
整租,距离地铁西直门900米,押2付12,13000,底层/19层,60.08,时代之光,中装
整租,距离地铁西直门900米,押2付3,48000,底层/19层,212.77,时代之光,中装
整租,距离地铁西直门835米,押1付3,22000,高楼层/14层,202.47,远洋风景,精装
整租,距离地铁西直门606米,押2付3,7800,底层/6层,65,前桃园1号,中装
合租,距离地铁大钟寺1382米,押2付3,2600,中楼层/18层,15,明光村小区,精装
整租,距离地铁西直门1277米,押2付3,15000,高楼层/26层,118,天兆家园,精装
整租,距离地铁西直门1277米,押2付3,20000,低楼层/22层,180,天兆家园,精装
整租,距离地铁西直门835米,押2付3,9000,高楼层/13层,80.54,远洋风景,中装
整租,距离地铁西直门1277米,押2付3,18500,中楼层/20层,156.64,天兆家园,简装
整租,距离地铁西直门835米,押1付3,25000,高楼层/13层,194.48,远洋风景,精装
西直门,距离地铁动物园633米,押1付3,2900,中楼层/7层,18,德宝新园,其他
西直门,距离地铁西直门768米,押1付3,6800,顶层/5层,47,长河湾,其他
西直门,距离地铁西直门414米,押1付3,8800,中楼层/30层,90,智地钻河公馆,其他
西直门,距离地铁西直门414米,押1付3,8865,高楼层/30层,88,智地钻河公馆,其他
整租,距离地铁新街口277米,押2付3,15000,中楼层/10层,118,冠英园,中装
西直门,距离地铁动物园633米,押1付3,5300,低楼层/6层,42.5,德宝新园,其他
西直门,距离地铁西直门768米,押1付3,8500,低楼层/16层,84,长河湾,其他
西直门,距离地铁动物园633米,押1付3,5350,高楼层/7层,45,德宝新园,其他
整租,距离地铁新街口277米,押1付3,11000,高楼层/10层,76,冠英园,精装
距离地铁西直门900米,距离地铁西直门900米,押1付3,10700,低楼层/16层,108,时代之光,整租
整租,距离地铁西直门768米,押2付3,45000,底层/5层,280,长河湾,精装
整租,距离地铁西直门532米,押2付3,6000,低楼层/7层,50,马相西巷,精装
整租,距离地铁西直门1277米,押2付3,23000,底层/11层,152,天兆家园,精装
整租,距离地铁新街口447米,押2付3,10800,低楼层/5层,75,玉桃园三区,简装
