chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁六道口1228米,押2付3,8000,底层/6层,80,城华园,精装
整租,距离地铁六道口1240米,押2付3,12300,高楼层/20层,149,学知轩,中装
整租,距离地铁六道口773米,押2付3,10000,低楼层/20层,106,文城杰座,中装
整租,,押2付3,5500,高楼层/31层,55,八家嘉苑,中装
整租,距离地铁六道口1089米,押2付3,6000,中楼层/15层,64.39,清枫华景园,精装
合租,,押2付3,3500,中楼层/30层,20,八家嘉苑,精装
合租,,押2付3,2500,低楼层/7层,15,建清园,精装
合租,,押2付3,2300,底层/6层,10,清华东路17号院,精装
整租,距离地铁六道口1228米,押2付3,7800,中楼层/27层,89,城华园,中装
整租,距离地铁六道口1228米,押1付3,6300,中楼层/27层,66,城华园,精装
合租,距离地铁六道口965米,押2付3,3500,底层/7层,15,林大北路9号院,中装
整租,,押2付3,6800,高楼层/30层,64,八家嘉苑,精装
整租,距离地铁六道口1240米,押2付3,12500,高楼层/20层,150,学知轩,精装
整租,,押2付3,7000,高楼层/6层,69.8,建清园,中装
合租,距离地铁六道口1228米,押2付3,3600,中楼层/27层,60,城华园,精装
合租,距离地铁清华东路西口618米,押1付3,2800,中楼层/6层,20,矿业大学家属院,中装
整租,距离地铁清华东路西口618米,押1付3,7000,顶层/5层,63,矿业大学家属院,中装
整租,距离地铁六道口690米,押2付3,6200,高楼层/6层,51,林大北路6号院,精装
整租,距离地铁清华东路西口618米,押2付3,7500,高楼层/6层,80,矿业大学家属院,精装
整租,,押2付3,7800,低楼层/31层,88,八家嘉苑,简装
整租,距离地铁清华东路西口618米,押2付3,7500,中楼层/12层,70,矿业大学家属院,中装
整租,距离地铁六道口1437米,押2付3,7500,低楼层/22层,80,逸成东苑,精装
整租,,押2付3,7500,高楼层/31层,94,八家嘉苑,精装
整租,距离地铁六道口965米,押1付3,6000,顶层/6层,48,林大北路9号院,精装
整租,距离地铁六道口1437米,押2付3,8500,低楼层/15层,105,逸成东苑,精装
整租,距离地铁清华东路西口1283米,押2付3,6000,中楼层/6层,62,双清路16号院,简装
整租,距离地铁六道口773米,押2付3,6500,低楼层/20层,50,文城杰座,中装
整租,距离地铁六道口1240米,押1付3,8000,中楼层/20层,89.8,学知轩,精装
整租,距离地铁六道口1240米,押2付3,13500,高楼层/20层,150,学知轩,精装
整租,距离地铁清华东路西口618米,押2付3,10000,高楼层/21层,100,矿业大学家属院,中装
整租,距离地铁六道口773米,押2付3,7500,顶层/20层,66.1,文城杰座,精装
整租,距离地铁清华东路西口348米,押2付3,3300,中楼层/6层,15,双清路85,中装
整租,距离地铁六道口1437米,押2付3,7500,高楼层/22层,76,逸成东苑,精装
整租,距离地铁六道口773米,押2付3,9000,中楼层/20层,65,文城杰座,精装
距离地铁六道口1089米,距离地铁六道口1089米,押2付3,7500,中楼层/15层,73.97,清枫华景园,电话预约
整租,距离地铁六道口1240米,押2付3,12000,高楼层/20层,150,学知轩,简装
整租,距离地铁六道口1089米,押1付3,6500,低楼层/18层,68.8,清枫华景园,精装
整租,距离地铁清华东路西口844米,押2付3,9000,低楼层/3层,85,双清路18号院,精装
整租,距离地铁六道口1437米,押2付3,6000,底层/22层,56,逸成东苑,精装
整租,距离地铁六道口773米,押2付3,10600,高楼层/20层,106,文城杰座,精装
整租,距离地铁六道口1437米,押1付3,6000,中楼层/22层,55,逸成东苑,精装
整租,距离地铁六道口1437米,押1付3,14000,低楼层/15层,156,逸成东苑,精装
整租,距离地铁六道口1228米,押1付3,5800,低楼层/27层,47,城华园,精装
整租,距离地铁六道口1240米,押1付3,12000,高楼层/20层,150,学知轩,中装
整租,距离地铁清华东路西口618米,押1付3,7000,低楼层/21层,70,矿业大学家属院,中装
距离地铁清华东路西口844米,距离地铁清华东路西口844米,押2付3,8500,低楼层/6层,60,双清路18号院,随时看房
整租,距离地铁清华东路西口618米,押2付3,6000,低楼层/21层,55,矿业大学家属院,精装
整租,距离地铁六道口1240米,押1付3,7000,顶层/20层,70.3,学知轩,中装
整租,距离地铁清华东路西口618米,押2付3,6800,低楼层/21层,55,矿业大学家属院,精装
整租,距离地铁六道口1240米,押2付3,13000,中楼层/20层,149,学知轩,中装
整租,,押2付3,8500,中楼层/29层,94,八家嘉苑,精装
整租,距离地铁六道口363米,押1付3,27000,顶层/2层,91.1,中铁置业翰庭,中装
整租,距离地铁六道口1261米,押1付3,6500,中楼层/18层,64.64,学知园,精装
整租,,押2付3,8000,低楼层/31层,70,八家嘉苑,精装
整租,距离地铁六道口1437米,押1付3,3500,低楼层/22层,58,逸成东苑,精装
整租,距离地铁六道口1437米,押2付3,5500,低楼层/22层,64,逸成东苑,精装
整租,距离地铁六道口1437米,押2付3,7000,高楼层/22层,76,逸成东苑,中装
合租,,押2付3,3000,底层/6层,70,建清园,精装
整租,距离地铁六道口1355米,押2付3,14000,顶层/18层,120,学清苑小区,精装
整租,距离地铁六道口1089米,押1付3,13000,中楼层/8层,128,清枫华景园,精装
整租,距离地铁六道口1228米,押2付3,8000,中楼层/16层,94,城华园,精装
整租,距离地铁六道口1261米,押2付3,6000,中楼层/18层,62,学知园,中装
合租,距离地铁六道口1261米,押1付3,2800,顶层/18层,103.8,学知园,简装
整租,距离地铁六道口1228米,押2付3,6500,低楼层/27层,60,城华园,精装
学院路,距离地铁六道口363米,押1付3,4800,高楼层/18层,33,中铁置业翰庭,其他
