chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
合租,距离地铁大钟寺1414米,押1付3,3000,顶层/5层,52.1,学院南路34号院,精装
学院南路,距离地铁积水潭982米,押1付3,5600,底层/16层,53.6,学院南路乙10号,其他
学院南路,距离地铁大钟寺1414米,押1付3,7500,顶层/14层,60,学院南路34号院,其他
学院南路,距离地铁积水潭982米,押1付3,4500,底层/5层,41.3,学院南路乙10号,其他
整租,,押2付3,9000,中楼层/5层,80,学院南路32号院,毛坯
学院南路,,押1付3,2500,高楼层/6层,15,学院南路32号院,其他
学院南路,距离地铁积水潭982米,押1付3,4100,底层/5层,37,学院南路乙10号,其他
整租,,押2付3,9300,底层/4层,95,学院南路32号院,精装
合租,,押2付3,3300,中楼层/6层,55,学院南路32号院,精装
合租,距离地铁积水潭1346米,押2付3,3800,顶层/6层,20,学院南路乙12号院,中装
整租,,押2付3,6500,高楼层/6层,53.2,学院南路32号院,中装
整租,,押2付3,4500,中楼层/5层,68,学院南路32号院,精装
整租,,押2付3,2700,底层/1层,14,学院南路32号院,中装
