chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁北宫门1050米,押1付3,8000,高楼层/6层,80,燕北园小区,中装
颐和园,距离地铁北宫门1050米,押1付3,6600,底层/6层,41.6,燕北园小区,其他
合租,距离地铁茶棚292米,押2付3,2300,中楼层/6层,15,北坞嘉园北里,精装
合租,距离地铁万安301米,押1付3,3300,顶层/4层,20,国际关系学院,精装
合租,距离地铁万安301米,押2付3,1800,中楼层/6层,10,国际关系学院,中装
整租,距离地铁茶棚387米,押2付3,6600,中楼层/6层,86,北坞嘉园西里,精装
颐和园,距离地铁农大南路1138米,押1付3,5500,底层/6层,58.33,小清河邮局宿舍,其他
整租,距离地铁茶棚387米,押2付3,6800,底层/6层,85,北坞嘉园西里,精装
整租,距离地铁茶棚361米,押2付3,10000,高楼层/6层,98,北坞嘉园南里,豪装
颐和园,距离地铁农大南路1138米,押1付3,5800,中楼层/6层,86,小清河邮局宿舍,其他
合租,距离地铁北宫门1050米,押1付3,2100,底层/6层,12,燕北园小区,精装
距离地铁北宫门771米,距离地铁北宫门771米,押1付3,2800,低楼层/6层,15,骚子营,合租
距离地铁北宫门771米,距离地铁北宫门771米,押1付3,2000,低楼层/6层,10,骚子营,合租
整租,距离地铁西苑826米,押2付3,8000,低楼层/4层,65,新建宫门21号院,精装
距离地铁北宫门771米,距离地铁北宫门771米,押1付3,2300,低楼层/6层,10,骚子营,合租
整租,距离地铁北宫门1050米,押2付3,8000,中楼层/6层,80,燕北园小区,精装
整租,距离地铁北宫门1050米,押2付3,5500,中楼层/6层,45,燕北园小区,精装
整租,距离地铁北宫门1050米,押2付3,6500,中楼层/6层,93,燕北园小区,中装
整租,距离地铁农大南路1138米,押1付3,6000,底层/6层,57,小清河邮局宿舍,精装
整租,距离地铁北宫门1050米,押1付12,7700,高楼层/6层,87,燕北园小区,中装
