chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁圆明园774米,押2付3,5500,顶层/5层,50,北大蔚秀园,精装
整租,距离地铁北京大学东门1271米,押1付3,5900,高楼层/14层,50,芙蓉里小区,中装
整租,距离地铁圆明园278米,押1付3,7000,中楼层/6层,65,北河沿小区,中装
整租,距离地铁圆明园278米,押2付3,12000,顶层/6层,100,北河沿小区,中装
圆明园,,押1付3,7000,顶层/6层,60,挂甲屯,其他
整租,距离地铁圆明园278米,押1付3,7000,顶层/6层,60,北河沿小区,中装
整租,距离地铁西苑903米,押2付3,16000,顶层/6层,100,北大畅春园,中装
合租,距离地铁圆明园444米,押2付3,3200,顶层/4层,20,红四楼,中装
圆明园,距离地铁中关村280米,押1付3,7800,中楼层/5层,65,海淀路小区,其他
整租,距离地铁圆明园278米,押2付3,6300,底层/6层,45,北河沿小区,精装
圆明园,距离地铁北京大学东门1271米,押1付3,6500,中楼层/14层,43.6,芙蓉里小区,其他
距离地铁北京大学东门1271米,距离地铁北京大学东门1271米,押1付3,6500,中楼层/14层,43.6,芙蓉里小区,整租
圆明园,距离地铁西苑753米,押1付3,6500,低楼层/3层,33.7,承泽园,其他
圆明园,距离地铁北京大学东门1271米,押1付3,7000,中楼层/14层,43.6,芙蓉里小区,其他
整租,距离地铁圆明园278米,押2付3,9500,中楼层/6层,57.1,北河沿小区,中装
整租,距离地铁圆明园278米,押2付3,6300,底层/6层,60,北河沿小区,精装
整租,距离地铁西苑903米,押1付3,9500,高楼层/6层,75,北大畅春园,精装
整租,距离地铁圆明园278米,押1付12,9000,中楼层/6层,65,北河沿小区,精装
