chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
合租,距离地铁人民大学486米,押2付3,3000,中楼层/4层,27.93,青云南区,精装
整租,距离地铁大钟寺1045米,押2付3,7200,低楼层/5层,58.5,皂君东里,精装
整租,距离地铁大钟寺596米,押2付3,8200,中楼层/6层,65,大钟寺甲133号院,精装
整租,距离地铁大钟寺1045米,押1付3,3800,低楼层/5层,25,皂君东里,中装
合租,距离地铁大钟寺690米,押2付3,2700,底层/6层,12,西土城路31号院,中装
合租,距离地铁人民大学893米,押2付3,3500,低楼层/24层,70.04,双榆树南里,精装
整租,距离地铁魏公村467米,押2付3,8000,中楼层/5层,60,农科院教师家属楼,中装
整租,距离地铁魏公村325米,押2付3,10000,中楼层/17层,97,天作国际,精装
整租,距离地铁魏公村467米,押1付3,5700,顶层/6层,50,农科院教师家属楼,中装
整租,距离地铁大钟寺549米,押1付3,7500,底层/6层,60,四道口9号院,精装
整租,距离地铁大钟寺623米,押1付3,7000,顶层/6层,63,学院南路39号院,精装
整租,距离地铁大钟寺623米,押1付3,5500,底层/6层,50,学院南路39号院,中装
整租,距离地铁魏公村511米,押2付3,12000,中楼层/14层,93,农影小区,中装
整租,距离地铁魏公村325米,押2付3,11000,高楼层/17层,120,天作国际,中装
整租,距离地铁魏公村511米,押2付3,7800,顶层/6层,52.73,农影小区,中装
整租,距离地铁魏公村986米,押2付3,7500,高楼层/6层,60,皂君西里,中装
整租,距离地铁魏公村511米,押2付3,12000,顶层/14层,120,农影小区,精装
整租,距离地铁大钟寺596米,押2付3,6800,顶层/6层,60,大钟寺甲133号院,中装
整租,距离地铁大钟寺690米,押2付3,7000,中楼层/5层,65,西土城路31号院,精装
合租,距离地铁人民大学893米,押2付3,4000,中楼层/5层,15,双榆树南里,精装
整租,距离地铁大钟寺690米,押2付3,7900,顶层/5层,56.3,西土城路31号院,中装
合租,距离地铁人民大学893米,押2付3,3000,中楼层/6层,20,双榆树南里,精装
整租,距离地铁魏公村986米,押1付3,9000,顶层/6层,78,皂君西里,中装
整租,距离地铁魏公村467米,押2付3,11500,低楼层/5层,96,农科院教师家属楼,中装
整租,距离地铁魏公村325米,押2付3,7000,中楼层/9层,40,天作国际,精装
整租,距离地铁魏公村467米,押2付3,7000,顶层/6层,41.4,农科院教师家属楼,精装
合租,距离地铁大钟寺1045米,押2付3,2800,底层/5层,58,皂君东里,精装
整租,距离地铁魏公村467米,押2付3,15000,高楼层/18层,80,农科院教师家属楼,中装
整租,距离地铁魏公村986米,押2付3,7500,中楼层/6层,60,皂君西里,中装
整租,距离地铁魏公村325米,押1付3,7400,中楼层/9层,45,天作国际,精装
整租,距离地铁大钟寺1045米,押1付3,8200,低楼层/7层,70.6,皂君东里,精装
距离地铁人民大学893米,距离地铁人民大学893米,押1付3,3880,中楼层/24层,15,双榆树南里,合租
皂君庙,距离地铁魏公村986米,押1付3,7000,顶层/6层,57.64,皂君西里,其他
皂君庙,距离地铁魏公村325米,押1付3,7520,底层/9层,38.79,天作国际,其他
皂君庙,距离地铁人民大学524米,押1付3,6600,中楼层/5层,40,中关村南大街乙8号,其他
整租,距离地铁魏公村325米,押1付3,7000,中楼层/17层,48,天作国际,中装
皂君庙,距离地铁魏公村325米,押1付3,9000,中楼层/9层,80,天作国际,其他
距离地铁人民大学486米,距离地铁人民大学486米,押1付3,3500,底层/6层,12,青云南区,合租
距离地铁人民大学486米,距离地铁人民大学486米,押1付3,4500,底层/6层,15,青云南区,合租
皂君庙,距离地铁大钟寺549米,押1付3,7700,中楼层/6层,68,四道口9号院,其他
皂君庙,距离地铁大钟寺484米,押1付3,6500,底层/12层,66.39,文林大厦,其他
皂君庙,距离地铁大钟寺1045米,押1付3,6600,顶层/6层,57,皂君东里,其他
皂君庙,距离地铁人民大学893米,押1付3,6000,高楼层/6层,41,双榆树南里,其他
皂君庙,距离地铁大钟寺749米,押1付3,14000,中楼层/20层,130,鑫雅苑,其他
