chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁知春路333米,押2付3,12000,高楼层/18层,109.45,罗庄西里,豪装
整租,距离地铁知春路279米,押2付3,14500,中楼层/28层,134,知春时代,中装
整租,距离地铁西土城491米,押1付3,10000,中楼层/9层,100,锦秋知春,中装
整租,距离地铁知春路279米,押2付3,16000,中楼层/30层,160,知春时代,中装
整租,距离地铁知春路439米,押1付3,7000,底层/6层,60,罗庄东里,精装
整租,距离地铁知春路279米,押1付3,16000,低楼层/30层,157,知春时代,精装
整租,距离地铁知春路590米,押2付3,7200,低楼层/6层,61,罗庄南里,中装
整租,距离地铁知春路311米,押2付3,7500,中楼层/6层,65,知春路56号院,中装
整租,距离地铁知春路434米,押2付3,8500,顶层/5层,70,学院路37号院,精装
整租,距离地铁知春路333米,押2付3,9000,顶层/9层,70,罗庄西里,精装
整租,距离地铁大钟寺552米,押2付3,7000,顶层/6层,65,首都体育学院,毛坯
合租,距离地铁西土城169米,押2付3,3200,低楼层/6层,12,知春路2号院,精装
整租,距离地铁知春路279米,押1付3,8500,中楼层/28层,81,知春时代,中装
整租,距离地铁西土城378米,押2付3,13000,中楼层/18层,110,知春路13号院,简装
整租,距离地铁西土城378米,押2付3,16000,高楼层/18层,128,知春路13号院,精装
整租,距离地铁知春路541米,押1付3,19000,高楼层/28层,201.09,太月园,中装
整租,距离地铁西土城430米,押2付3,6500,中楼层/6层,65,蓟门里北区,中装
整租,距离地铁知春路439米,押2付3,7300,中楼层/6层,65,罗庄东里,中装
整租,距离地铁大钟寺467米,押2付3,3600,中楼层/6层,15,蓟门里南区,中装
整租,距离地铁西土城491米,押2付3,40000,中楼层/11层,221,锦秋知春,豪装
整租,距离地铁西土城491米,押2付3,22000,高楼层/24层,164.24,锦秋知春,豪装
整租,距离地铁知春路434米,押2付3,6500,低楼层/6层,45,学院路37号院,中装
整租,距离地铁知春路434米,押1付3,13500,低楼层/18层,95,学院路37号院,豪装
整租,距离地铁知春路590米,押2付3,7600,中楼层/6层,75,罗庄南里,精装
距离地铁西土城430米,距离地铁西土城430米,押1付3,7000,中楼层/6层,63,蓟门里北区,整租
知春路,距离地铁知春路628米,押1付3,15000,高楼层/26层,137,太阳园,其他
知春路,距离地铁西土城491米,押1付3,9380,中楼层/25层,74.52,锦秋知春,其他
知春路,距离地铁知春路590米,押1付3,7000,顶层/6层,58,罗庄南里,其他
知春路,距离地铁知春路590米,押1付3,8300,底层/6层,54.57,罗庄南里,其他
知春路,距离地铁西土城517米,押1付3,5800,中楼层/16层,45,蓟门里东区,其他
知春路,距离地铁知春路333米,押1付3,10500,高楼层/18层,110,罗庄西里,其他
知春路,距离地铁知春路439米,押1付3,7550,中楼层/6层,60,罗庄东里,其他
知春路,距离地铁知春路434米,押1付3,8500,低楼层/6层,60,学院路37号院,其他
距离地铁西土城517米,距离地铁西土城517米,押1付3,3000,低楼层/15层,10,蓟门里东区,合租
知春路,距离地铁大钟寺467米,押1付3,7000,中楼层/6层,55,蓟门里南区,其他
整租,距离地铁大钟寺467米,押2付3,4300,中楼层/6层,15,蓟门里南区,精装
合租,距离地铁大钟寺467米,押2付3,3200,高楼层/6层,12,蓟门里南区,精装
整租,距离地铁知春路279米,押1付3,8000,高楼层/28层,70,知春时代,精装
合租,距离地铁知春路439米,押2付3,2900,中楼层/6层,12,罗庄东里,中装
整租,距离地铁知春路279米,押1付3,14000,中楼层/28层,110.5,知春时代,精装
整租,距离地铁大钟寺467米,押2付3,5600,低楼层/6层,31.89,蓟门里南区,精装
整租,距离地铁大钟寺467米,押2付3,7500,中楼层/6层,52.9,蓟门里南区,中装
整租,距离地铁西土城378米,押2付3,15000,高楼层/18层,110,知春路13号院,豪装
整租,距离地铁西土城169米,押2付3,9000,中楼层/6层,65,知春路2号院,精装
整租,距离地铁西土城169米,押1付3,9500,高楼层/16层,78,知春路2号院,精装
