chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁海淀黄庄591米,押2付3,8500,低楼层/6层,61.1,东南小区,精装
整租,距离地铁海淀黄庄345米,押1付3,6500,底层/6层,50,海淀黄庄小区,精装
整租,距离地铁苏州街385米,押1付3,11500,中楼层/21层,66,远中悦莱国际酒店公寓,豪装
整租,距离地铁苏州街385米,押1付3,13000,中楼层/21层,75,远中悦莱国际酒店公寓,精装
整租,距离地铁苏州街576米,押2付3,9000,低楼层/22层,85,西屋国际公寓,精装
合租,距离地铁知春里612米,押1付3,3800,顶层/6层,25,保福寺小区,中装
整租,距离地铁海淀黄庄345米,押2付3,12000,顶层/5层,80,海淀黄庄小区,精装
整租,距离地铁海淀黄庄345米,押2付3,13000,顶层/5层,80,海淀黄庄小区,精装
整租,距离地铁海淀黄庄345米,押2付3,8500,顶层/6层,65,海淀黄庄小区,精装
整租,距离地铁海淀黄庄591米,押2付3,6000,底层/14层,56,东南小区,中装
整租,距离地铁海淀黄庄345米,押2付3,8500,顶层/10层,60,海淀黄庄小区,精装
整租,距离地铁知春里612米,押1付3,6000,底层/6层,45,保福寺小区,中装
整租,距离地铁中关村479米,押2付3,8000,中楼层/5层,60,科育小区,中装
整租,距离地铁海淀黄庄591米,押2付3,8500,顶层/6层,65,东南小区,精装
整租,距离地铁海淀黄庄345米,押2付3,8000,低楼层/6层,60,海淀黄庄小区,精装
整租,距离地铁知春路389米,押1付3,6000,中楼层/21层,50,荣上居,精装
整租,距离地铁海淀黄庄345米,押2付3,9500,中楼层/6层,70,海淀黄庄小区,精装
合租,距离地铁海淀黄庄591米,押2付3,12000,中楼层/5层,72.2,东南小区,中装
整租,距离地铁中关村479米,押2付3,8000,低楼层/4层,60,科育小区,精装
合租,距离地铁知春里471米,押2付3,2200,中楼层/6层,10,大泥湾,中装
整租,距离地铁中关村479米,押2付3,8000,中楼层/4层,46.03,科育小区,精装
整租,距离地铁知春里471米,押2付3,6500,高楼层/6层,40,大泥湾,精装
合租,距离地铁中关村479米,押2付3,3500,底层/5层,40.9,科育小区,中装
整租,距离地铁海淀黄庄591米,押2付3,6500,底层/14层,45,东南小区,精装
整租,距离地铁中关村479米,押1付3,8000,中楼层/6层,54.3,科育小区,中装
整租,距离地铁海淀黄庄591米,押2付3,9999,底层/16层,67.6,东南小区,精装
整租,距离地铁知春路389米,押2付3,6500,中楼层/21层,45,荣上居,中装
整租,距离地铁海淀黄庄591米,押2付3,8300,顶层/6层,68,东南小区,精装
整租,距离地铁海淀黄庄591米,押1付3,6500,中楼层/15层,45,东南小区,中装
整租,距离地铁中关村479米,押2付3,9500,中楼层/4层,68.02,科育小区,精装
整租,距离地铁海淀黄庄345米,押2付3,14000,底层/10层,90,海淀黄庄小区,精装
整租,距离地铁知春路322米,押2付3,11000,高楼层/21层,95,希格玛公寓,精装
合租,距离地铁知春路322米,押2付3,4500,低楼层/21层,18,希格玛公寓,精装
整租,距离地铁海淀黄庄345米,押2付3,8200,中楼层/6层,66,海淀黄庄小区,精装
整租,距离地铁中关村479米,押2付3,9000,中楼层/4层,62,科育小区,中装
整租,距离地铁知春里767米,押2付3,18000,高楼层/25层,149,恒兴大厦,中装
整租,距离地铁海淀黄庄251米,押2付3,15000,高楼层/14层,90,人大北路1号院,精装
整租,距离地铁海淀黄庄351米,押1付3,10000,中楼层/18层,58,新中关大厦,中装
整租,距离地铁海淀黄庄345米,押2付3,8000,低楼层/10层,68,海淀黄庄小区,中装
