chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁车道沟844米,押2付3,8500,高楼层/21层,79.5,车道沟南里,精装
整租,距离地铁国家图书馆972米,押2付3,11000,中楼层/28层,111.81,人济山庄,中装
整租,距离地铁花园桥880米,押2付3,7000,高楼层/18层,56,北洼东里,豪装
整租,距离地铁慈寿寺1017米,押1付3,15500,底层/25层,147.8,世纪新景,精装
整租,距离地铁花园桥718米,押2付3,10000,高楼层/19层,115,万景公寓,精装
整租,距离地铁白石桥南187米,押1付3,32000,低楼层/11层,228,主语家园,精装
合租,距离地铁花园桥880米,押2付3,2500,中楼层/18层,10,北洼东里,中装
整租,距离地铁车道沟844米,押2付3,5500,低楼层/6层,46,车道沟南里,中装
整租,距离地铁花园桥880米,押2付3,8500,中楼层/18层,85.5,北洼东里,精装
整租,距离地铁花园桥718米,押1付3,11000,顶层/19层,129,万景公寓,精装
整租,距离地铁慈寿寺807米,押2付3,8000,高楼层/18层,80.4,北洼西里,中装
整租,距离地铁国家图书馆667米,押2付3,6800,顶层/5层,60,紫竹院14号院,简装
整租,距离地铁车道沟657米,押2付3,7000,中楼层/5层,70,车道沟10号,中装
合租,距离地铁慈寿寺807米,押2付3,3200,中楼层/18层,20,北洼西里,中装
整租,距离地铁车道沟657米,押2付3,8000,中楼层/18层,80,车道沟10号,精装
整租,距离地铁慈寿寺807米,押2付3,7000,高楼层/18层,71,北洼西里,中装
整租,距离地铁慈寿寺807米,押2付3,6500,低楼层/18层,64,北洼西里,精装
整租,距离地铁车道沟931米,押2付3,5500,高楼层/14层,50,财智会馆,简装
整租,距离地铁车道沟1210米,押2付3,18000,低楼层/28层,192,华澳中心,精装
整租,距离地铁花园桥964米,押2付3,7200,低楼层/16层,85,昌运宫,精装
整租,距离地铁慈寿寺794米,押2付3,8500,高楼层/18层,80,双紫园小区,精装
整租,距离地铁花园桥1158米,押1付6,6500,中楼层/5层,55,北京化工管理干部学院,精装
整租,距离地铁花园桥1158米,押2付3,8000,中楼层/6层,70,北京化工管理干部学院,精装
合租,距离地铁花园桥1237米,押2付3,3500,底层/5层,15,紫竹院小区,中装
整租,距离地铁车道沟844米,押2付3,7500,高楼层/18层,70.68,车道沟南里,中装
整租,距离地铁花园桥428米,押2付3,6500,中楼层/6层,59.68,车公庄西路27号院,精装
整租,距离地铁车道沟982米,押2付3,16000,中楼层/28层,179,紫竹花园,中装
整租,距离地铁白石桥南341米,押2付3,6600,低楼层/6层,50.93,机械科学研究院西区,中装
整租,距离地铁国家图书馆972米,押2付3,27000,顶层/26层,190.94,人济山庄,精装
整租,距离地铁慈寿寺794米,押2付3,7300,底层/7层,71.4,双紫园小区,中装
整租,距离地铁白石桥南552米,押2付3,5200,顶层/5层,45,外文印刷厂宿舍,中装
整租,距离地铁花园桥610米,押1付3,6200,顶层/5层,57.5,三虎桥南路9号院,简装
合租,距离地铁车道沟844米,押2付3,3500,低楼层/18层,76,车道沟南里,精装
整租,距离地铁慈寿寺377米,押2付3,9600,中楼层/16层,96,颐安嘉园,精装
整租,距离地铁花园桥790米,押2付3,13500,低楼层/21层,89,豪柏国际公寓,中装
整租,距离地铁国家图书馆972米,押2付3,58000,高楼层/28层,345.82,人济山庄,豪装
整租,距离地铁车道沟844米,押2付3,4800,中楼层/6层,47,车道沟南里,中装
整租,距离地铁白石桥南740米,押1付3,6200,低楼层/5层,60,紫竹院南路4号院,精装
合租,距离地铁国家图书馆667米,押2付3,3000,中楼层/13层,15,紫竹院14号院,中装
整租,距离地铁白石桥南187米,押2付3,70000,底层/3层,293.24,主语家园,中装
整租,距离地铁车道沟818米,押1付12,7500,顶层/6层,57.16,理工附中家属楼,精装
整租,距离地铁花园桥765米,押2付3,9000,中楼层/21层,105,北洼路28号院,精装
整租,距离地铁车道沟844米,押2付3,7500,低楼层/6层,60,车道沟南里,简装
整租,距离地铁慈寿寺1017米,押2付3,16000,低楼层/19层,157,世纪新景,精装
整租,距离地铁慈寿寺807米,押2付3,7500,中楼层/18层,66.5,北洼西里,中装
整租,距离地铁花园桥818米,押2付3,6900,中楼层/18层,67.42,北洼路财政部宿舍,中装
整租,距离地铁白石桥南187米,押1付3,130000,低楼层/3层,460,主语家园,中装
整租,距离地铁花园桥790米,押2付3,17000,高楼层/23层,178,豪柏国际公寓,中装
整租,距离地铁花园桥880米,押1付3,6800,中楼层/18层,70,北洼东里,中装
整租,距离地铁白石桥南723米,押1付3,5500,低楼层/6层,42.89,半截塔2号院,中装
整租,距离地铁花园桥1237米,押2付3,6300,中楼层/6层,57,紫竹院小区,中装
整租,距离地铁花园桥718米,押2付3,8500,低楼层/19层,115.5,万景公寓,简装
整租,距离地铁国家图书馆972米,押1付3,23000,高楼层/28层,183.22,人济山庄,精装
紫竹桥,距离地铁国家图书馆972米,押2付3,8000,高楼层/28层,70,人济山庄,中装
整租,距离地铁车道沟1151米,押2付3,15000,低楼层/29层,132,美林花园,精装
合租,距离地铁花园桥531米,押2付3,3000,中楼层/5层,14,三虎桥南路17号院,中装
整租,距离地铁国家图书馆972米,押2付3,8500,高楼层/28层,105,人济山庄,精装
整租,距离地铁国家图书馆1138米,押1付3,6600,高楼层/6层,55,广源闸,精装
整租,距离地铁北苑路北741米,押1付12,16000,高楼层/22层,157,水之郡,精装
整租,距离地铁车道沟596米,押2付3,6700,底层/5层,65,半壁街南路1号院,中装
整租,距离地铁国家图书馆972米,押2付3,30000,中楼层/26层,189.43,人济山庄,精装
整租,距离地铁车道沟314米,押2付3,25000,高楼层/20层,207,10号名邸,中装
整租,距离地铁车道沟314米,押2付3,23000,中楼层/20层,207,10号名邸,中装
整租,距离地铁花园桥518米,押1付3,11000,中楼层/6层,92,三虎桥南路8号院,精装
整租,距离地铁慈寿寺807米,押2付3,6000,中楼层/6层,58,北洼西里,精装
整租,距离地铁车道沟657米,押1付3,5500,低楼层/5层,50,车道沟10号,简装
整租,距离地铁慈寿寺807米,押2付3,7000,中楼层/18层,70,北洼西里,精装
紫竹桥,距离地铁花园桥805米,押1付3,5600,中楼层/6层,48,三虎桥小区,其他
紫竹桥,距离地铁花园桥436米,押1付3,7200,中楼层/5层,60,紫南社区,其他
距离地铁国家图书馆667米,距离地铁国家图书馆667米,押1付3,3700,底层/7层,25,紫竹院14号院,合租
紫竹桥,距离地铁花园桥805米,押1付3,3200,低楼层/6层,13,三虎桥小区,其他
紫竹桥,距离地铁花园桥1237米,押1付3,7000,低楼层/16层,61,紫竹院小区,其他
紫竹桥,距离地铁慈寿寺807米,押1付3,6900,中楼层/18层,62.2,北洼西里,其他
距离地铁花园桥501米,距离地铁花园桥501米,押1付3,3700,底层/1层,10,七贤村,合租
距离地铁花园桥436米,距离地铁花园桥436米,押1付3,3700,顶层/4层,16,紫南社区,合租
距离地铁花园桥501米,距离地铁花园桥501米,押1付3,4500,底层/1层,15,七贤村,合租
距离地铁花园桥436米,距离地铁花园桥436米,押1付3,2800,顶层/4层,12,紫南社区,合租
紫竹桥,距离地铁车道沟657米,押1付3,4800,高楼层/18层,40,车道沟10号,其他
