chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁八角游乐园1353米,押2付3,6000,中楼层/6层,70,建西苑,精装
整租,距离地铁八角游乐园1260米,押2付3,5000,中楼层/6层,60,八角北里,精装
八角,距离地铁八角游乐园1260米,押1付3,4300,顶层/6层,42.45,OLD八角北里,其他
整租,距离地铁八角游乐园1178米,押2付3,5000,高楼层/6层,64,八角北路,精装
距离地铁八角游乐园1353米,距离地铁八角游乐园1353米,押1付3,2500,高楼层/6层,23,建西苑,合租
八角,距离地铁八角游乐园666米,押1付3,4600,中楼层/16层,50.14,西引力,其他
八角,距离地铁八角游乐园1260米,押1付3,4300,中楼层/6层,60,OLD八角北里,其他
整租,距离地铁八角游乐园1260米,押1付3,4000,底层/6层,43,八角北里,简装
整租,距离地铁八角游乐园1260米,押2付3,4500,顶层/6层,60,八角北里,精装
整租,,押2付3,5300,低楼层/13层,75,石景嘉园,中装
整租,距离地铁八角游乐园922米,押2付3,5500,高楼层/6层,67,八角中里,精装
整租,距离地铁八角游乐园1353米,押2付3,5500,底层/6层,86,建西苑,精装
整租,距离地铁八角游乐园922米,押1付3,5500,低楼层/6层,58.6,八角中里,精装
整租,距离地铁八角游乐园1472米,押2付3,5000,低楼层/30层,90,融景城,精装
整租,距离地铁八角游乐园922米,押2付3,5000,中楼层/6层,58.6,八角中里,中装
整租,距离地铁八角游乐园922米,押2付3,5500,中楼层/6层,58.6,八角中里,精装
距离地铁古城372米,距离地铁古城372米,押1付3,2200,高楼层/5层,14,八角南路,合租
八角,距离地铁八角游乐园406米,押1付3,2000,中楼层/24层,17,OLD碣石坪小区,其他
整租,距离地铁八角游乐园966米,押2付3,4800,高楼层/6层,60,八角南里,精装
整租,距离地铁八角游乐园1353米,押1付3,5200,中楼层/6层,100,建西苑,中装
整租,,押2付3,5400,低楼层/20层,70,石景嘉园,中装
整租,距离地铁古城845米,押2付3,4300,低楼层/4层,58,八角路小区,精装
合租,距离地铁八角游乐园1178米,押1付3,2500,高楼层/6层,25,八角北路,精装
整租,距离地铁八角游乐园1178米,押2付3,3800,中楼层/6层,45,八角北路,精装
整租,距离地铁八角游乐园1260米,押2付3,1700,底层/6层,15,八角北里,精装
整租,距离地铁八角游乐园666米,押2付3,4500,中楼层/18层,62,西引力,精装
八角,距离地铁八角游乐园966米,押1付3,5700,低楼层/20层,85,八角南里,其他
整租,距离地铁八角游乐园1260米,押2付3,4700,中楼层/6层,60,八角北里,中装
整租,距离地铁八角游乐园1260米,押1付3,3600,中楼层/18层,50,八角北里,简装
距离地铁八角游乐园922米,距离地铁八角游乐园922米,押1付3,2100,顶层/6层,18,八角中里,合租
整租,距离地铁八角游乐园1353米,押2付3,7000,高楼层/6层,96,建西苑,精装
整租,距离地铁八角游乐园1178米,押2付3,4000,低楼层/6层,45,八角北路,中装
八角,距离地铁八角游乐园1353米,押1付3,4600,低楼层/6层,57.07,建西苑,其他
整租,距离地铁八角游乐园1260米,押1付3,4500,高楼层/6层,60,八角北里,中装
整租,,押1付3,4500,低楼层/21层,60,石景嘉园,中装
整租,距离地铁古城372米,押1付3,5400,高楼层/6层,56,八角南路,精装
合租,距离地铁八角游乐园922米,押1付3,2300,中楼层/6层,19,八角中里,精装
合租,距离地铁八角游乐园966米,押1付3,1800,高楼层/6层,16,八角南里,简装
整租,距离地铁八角游乐园966米,押1付3,5000,顶层/5层,60,八角南里,精装
合租,距离地铁八角游乐园922米,押2付3,2000,高楼层/6层,14,八角中里,中装
整租,距离地铁八角游乐园1260米,押2付3,5000,底层/6层,50,八角北里,精装
整租,距离地铁八角游乐园1178米,押1付3,4500,中楼层/6层,52,八角北路,精装
八角,距离地铁八角游乐园1353米,押1付3,5000,低楼层/6层,70,建西苑,其他
八角,距离地铁古城845米,押1付3,2900,底层/5层,23.93,八角路小区,其他
距离地铁八角游乐园1472米,距离地铁八角游乐园1472米,押1付3,2500,中楼层/29层,25,融景城,合租
距离地铁八角游乐园1472米,距离地铁八角游乐园1472米,押1付3,2600,中楼层/29层,15,融景城,合租
距离地铁八角游乐园1472米,距离地铁八角游乐园1472米,押1付3,5500,高楼层/30层,89,融景城,整租
八角,距离地铁八角游乐园1260米,押1付3,3500,顶层/6层,77,OLD八角北里,其他
八角,距离地铁古城845米,押1付3,2800,顶层/4层,32.18,八角路小区,其他
距离地铁古城845米,距离地铁古城845米,押1付3,2700,中楼层/5层,50,八角路小区,整租
距离地铁八角游乐园1472米,距离地铁八角游乐园1472米,押1付3,2500,中楼层/29层,13,融景城,合租
八角,距离地铁八角游乐园1260米,押1付3,5000,顶层/6层,57.2,OLD八角北里,其他
八角,距离地铁八角游乐园1178米,押1付3,2800,中楼层/6层,36.29,八角北路,其他
八角,距离地铁八角游乐园922米,押1付3,2200,中楼层/18层,15,八角中里,其他
