chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁古城199米,押1付3,4500,低楼层/4层,52,古城南路小区,中装
古城,,押1付3,4500,顶层/6层,49.32,古城特钢楼,其他
整租,,押2付3,4500,高楼层/32层,60.5,燕堤西街6号院,精装
古城,距离地铁古城199米,押1付3,4200,顶层/5层,47.76,古城南路小区,其他
整租,距离地铁古城420米,押2付3,4500,高楼层/6层,95.86,古城路,中装
整租,,押1付3,4500,高楼层/28层,76,金隅滨河园,精装
整租,距离地铁古城199米,押2付3,5600,中楼层/5层,78,古城南路小区,精装
整租,距离地铁古城1276米,押2付3,6800,中楼层/21层,85,古城现代嘉园,精装
整租,距离地铁古城199米,押1付12,5300,底层/5层,65,古城南路小区,简装
整租,距离地铁古城199米,押1付3,5000,底层/5层,55,古城南路小区,精装
整租,距离地铁古城1349米,押2付3,6600,低楼层/21层,89,拾景名苑,精装
整租,距离地铁苹果园1264米,押1付12,7300,高楼层/24层,116,古城地铁家园,中装
整租,,押2付3,4400,顶层/6层,55,古城特钢楼,精装
整租,距离地铁古城853米,押2付3,5500,中楼层/6层,85,古城西路,精装
整租,距离地铁古城824米,押2付3,4600,顶层/5层,54,老古城,中装
整租,距离地铁古城1349米,押2付3,6500,高楼层/21层,87,拾景名苑,精装
整租,距离地铁古城606米,押1付3,4000,高楼层/6层,50,古城副食楼,精装
整租,距离地铁古城199米,押2付3,5000,顶层/5层,50,古城南路小区,简装
整租,距离地铁古城199米,押1付3,3800,低楼层/6层,45,古城南路小区,中装
整租,,押2付3,3900,中楼层/6层,60,京原路68号院,精装
整租,距离地铁古城853米,押2付3,4800,中楼层/6层,61.2,古城西路,中装
整租,距离地铁古城199米,押1付3,5000,底层/5层,50.4,古城南路小区,精装
整租,距离地铁古城853米,押2付3,4500,低楼层/5层,45,古城西路,中装
距离地铁古城824米,距离地铁古城824米,押1付3,2000,顶层/5层,12,老古城,合租
距离地铁古城1276米,距离地铁古城1276米,押1付3,5000,高楼层/22层,85,古城现代嘉园,整租
距离地铁古城853米,距离地铁古城853米,押1付3,2000,中楼层/16层,13,古城西路,合租
距离地铁古城853米,距离地铁古城853米,押1付3,2200,中楼层/16层,10,古城西路,合租
古城,距离地铁古城824米,押1付3,4200,顶层/5层,44.03,老古城,其他
古城,距离地铁苹果园1264米,押1付3,2100,高楼层/26层,20,古城地铁家园,其他
古城,距离地铁古城1118米,押1付3,2600,低楼层/20层,25,中海金玺公馆,其他
古城,距离地铁古城1349米,押1付3,5500,中楼层/21层,69.27,拾景名苑,其他
古城,距离地铁古城199米,押1付3,5100,顶层/6层,58.92,古城南路小区,其他
古城,距离地铁古城199米,押1付3,4500,顶层/5层,46.97,古城南路小区,其他
距离地铁苹果园1264米,距离地铁苹果园1264米,押1付3,2700,顶层/25层,10,古城地铁家园,合租
距离地铁苹果园1264米,距离地铁苹果园1264米,押1付3,2500,顶层/25层,10,古城地铁家园,合租
古城,距离地铁古城420米,押1付3,4200,底层/5层,60,古城路,其他
古城,距离地铁古城420米,押1付3,3800,顶层/6层,35,古城路,其他
古城,距离地铁古城824米,押1付3,4500,中楼层/5层,44.03,老古城,其他
,,押1付3,2400,底层/21层,25,中海金石,合租
距离地铁苹果园1264米,距离地铁苹果园1264米,押1付3,2300,顶层/25层,10,古城地铁家园,合租
古城,,押1付3,4200,中楼层/20层,66.04,金隅滨河园,其他
距离地铁古城199米,距离地铁古城199米,押1付3,4200,中楼层/5层,52.26,古城南路小区,整租
古城,距离地铁古城1276米,押1付3,3600,高楼层/22层,50,古城现代嘉园,其他
古城,距离地铁古城199米,押1付3,5000,顶层/5层,44.34,古城南路小区,其他
古城,距离地铁苹果园1264米,押1付3,4600,中楼层/24层,85,古城地铁家园,其他
整租,距离地铁古城664米,押2付3,20000,底层/18层,96,中海金鑫阁,毛坯
整租,距离地铁古城664米,押2付3,16000,中楼层/18层,77,中海金鑫阁,毛坯
古城,距离地铁古城1276米,押1付3,6500,底层/21层,85,古城现代嘉园,其他
整租,,押2付3,4950,低楼层/6层,60,古城特钢楼,精装
整租,,押2付3,150000,中楼层/15层,92.16,金融街长安中心,毛坯
整租,,押2付3,13000,低楼层/31层,155,金融街长安中心,精装
整租,,押2付3,5000,高楼层/18层,80,金隅滨河园,中装
合租,距离地铁苹果园1264米,押2付3,2000,低楼层/24层,15,古城地铁家园,精装
整租,距离地铁古城664米,押2付3,4500,低楼层/18层,37.57,中海金鑫阁,中装
整租,距离地铁古城1276米,押2付3,4000,中楼层/21层,50,古城现代嘉园,精装
整租,距离地铁古城824米,押2付3,4300,中楼层/5层,50,老古城,简装
整租,距离地铁古城1276米,押2付3,5000,中楼层/21层,75,古城现代嘉园,精装
整租,距离地铁苹果园1264米,押2付3,5200,顶层/25层,90,古城地铁家园,精装
整租,距离地铁古城1276米,押1付3,5500,低楼层/21层,75,古城现代嘉园,精装
整租,距离地铁古城1195米,押2付3,5800,低楼层/22层,75,中海长安雅苑,精装
