chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁八角游乐园727米,押1付3,6500,底层/6层,70,老山西里,简装
老山,距离地铁八角游乐园992米,押1付3,5500,底层/6层,73.21,老山东里,其他
整租,距离地铁八角游乐园727米,押2付3,5000,低楼层/16层,60,老山西里,中装
整租,距离地铁八角游乐园992米,押1付3,6000,顶层/6层,59.56,老山东里,豪装
整租,距离地铁八角游乐园992米,押2付3,4600,高楼层/16层,60,老山东里,简装
整租,距离地铁八角游乐园121米,押1付3,5800,高楼层/13层,77,中础大厦,中装
合租,距离地铁八角游乐园727米,押3付3,2200,中楼层/6层,15,老山西里,中装
整租,距离地铁八角游乐园992米,押1付3,5000,中楼层/6层,54,老山东里,中装
整租,距离地铁八角游乐园992米,押2付3,8500,顶层/6层,120,老山东里,精装
整租,距离地铁八角游乐园727米,押2付3,6000,中楼层/6层,73,老山西里,精装
整租,距离地铁八角游乐园727米,押2付3,4600,顶层/5层,51,老山西里,精装
整租,距离地铁八角游乐园727米,押1付3,5000,顶层/6层,73,老山西里,精装
整租,距离地铁八角游乐园992米,押2付3,5500,低楼层/18层,82.39,老山东里,精装
整租,距离地铁八角游乐园992米,押2付3,5500,高楼层/16层,64,老山东里,精装
