chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁八宝山693米,押2付3,8500,高楼层/26层,106,远洋山水,精装
整租,距离地铁八宝山842米,押2付3,4200,高楼层/6层,45,永乐小区,中装
合租,,押2付3,2100,低楼层/6层,15,重聚园,中装
整租,距离地铁八宝山1001米,押1付3,4000,底层/6层,50,永乐西区,精装
整租,距离地铁八宝山842米,押1付3,4500,中楼层/6层,60,永乐小区,精装
整租,距离地铁八宝山1001米,押2付3,4700,中楼层/6层,60,永乐西区,中装
整租,距离地铁八宝山693米,押1付3,5300,低楼层/26层,56.76,远洋山水,精装
整租,距离地铁玉泉路808米,押2付3,7500,底层/6层,80,玉泉路65号院,中装
整租,距离地铁八宝山693米,押2付3,5700,高楼层/26层,58,远洋山水,精装
整租,距离地铁八角游乐园939米,押2付3,4700,顶层/6层,63.96,七星园,中装
整租,距离地铁八角游乐园1128米,押1付3,5500,中楼层/6层,72,六合园,精装
整租,,押2付3,4800,中楼层/23层,59.53,京汉旭城家园,精装
整租,距离地铁八宝山789米,押1付3,7500,顶层/6层,145,鲁谷村小区,精装
整租,距离地铁八宝山1245米,押1付3,6500,中楼层/6层,89,五芳园,中装
整租,距离地铁八角游乐园648米,押2付3,4000,高楼层/6层,45,鲁谷六场宿舍,精装
整租,距离地铁玉泉路730米,押1付3,6500,中楼层/6层,80,鲁谷路74号院,精装
整租,距离地铁八角游乐园939米,押1付3,4000,顶层/6层,65,七星园,精装
整租,距离地铁八角游乐园803米,押2付3,7000,中楼层/6层,93,依翠园,简装
整租,,押2付3,4500,底层/24层,62.65,重聚园,精装
整租,距离地铁八角游乐园1128米,押2付3,4800,高楼层/6层,68.5,六合园,精装
整租,距离地铁八宝山1001米,押2付3,4800,顶层/6层,60,永乐西区,精装
整租,距离地铁八宝山842米,押2付3,5200,低楼层/6层,60,永乐小区,精装
整租,距离地铁八宝山1001米,押2付3,4400,高楼层/18层,43.91,永乐西区,中装
整租,距离地铁八宝山842米,押2付3,6000,低楼层/18层,67,永乐小区,精装
整租,距离地铁八宝山842米,押2付3,4200,高楼层/20层,47.17,永乐小区,简装
