chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押1付3,7500,中楼层/23层,114,雍景四季,精装
整租,,押2付3,3800,顶层/6层,72,模式口北里,中装
整租,距离地铁苹果园727米,押1付3,5000,高楼层/16层,80,苹果园三区,中装
整租,,押2付3,7200,高楼层/21层,114,雍景四季,精装
整租,距离地铁苹果园1162米,押1付3,4800,低楼层/18层,70,海特花园,中装
整租,,押2付3,10000,低楼层/9层,160,雍景天成,精装
整租,距离地铁苹果园717米,押2付3,4500,顶层/6层,65,苹果园小区一区,精装
整租,距离地铁苹果园717米,押1付3,4500,低楼层/14层,59.64,苹果园小区一区,中装
整租,距离地铁苹果园1162米,押2付3,5000,中楼层/7层,75,海特花园,精装
整租,距离地铁苹果园444米,押2付3,6000,顶层/14层,107,苹果园四区,精装
整租,距离地铁金安桥506米,押2付3,6500,低楼层/18层,90,金顶阳光,精装
合租,距离地铁苹果园444米,押2付3,1500,低楼层/6层,9,苹果园四区,中装
整租,距离地铁苹果园857米,押2付3,4500,低楼层/16层,60,苹果园二区,精装
整租,,押2付3,5500,顶层/6层,74,西山枫林四期,精装
整租,距离地铁苹果园857米,押1付3,5000,低楼层/16层,75,苹果园二区,中装
整租,距离地铁苹果园717米,押2付3,4200,低楼层/6层,59.17,苹果园小区一区,中装
整租,距离地铁苹果园925米,押2付3,3900,中楼层/7层,50,金福苑,精装
整租,距离地铁苹果园1145米,押2付3,5000,低楼层/16层,75,西山奥园,中装
整租,距离地铁金安桥1300米,押1付3,3800,高楼层/15层,65,模式口西里,精装
整租,,押2付3,6700,高楼层/17层,90,雍景山岚,精装
整租,距离地铁苹果园577米,押2付3,5000,低楼层/24层,90,金顶街三区,精装
整租,距离地铁金安桥1300米,押2付3,3200,中楼层/8层,63,模式口西里,中装
整租,距离地铁金安桥729米,押1付3,4000,中楼层/6层,60,模式口南里,中装
整租,,押2付3,5200,顶层/6层,82,西山枫林四期,中装
整租,,押2付3,5000,高楼层/14层,80,西山麓园,精装
整租,距离地铁金安桥729米,押2付3,4000,高楼层/6层,62,模式口南里,中装
整租,距离地铁苹果园717米,押2付3,4300,高楼层/6层,50,苹果园小区一区,精装
整租,距离地铁苹果园1087米,押1付3,3800,顶层/6层,59,模式口东里,中装
整租,,押2付3,6000,低楼层/23层,84,雍景四季,精装
整租,距离地铁金安桥506米,押2付3,5200,低楼层/21层,95,金顶阳光,精装
整租,距离地铁金安桥1067米,押2付3,4700,顶层/6层,85,模式口中里,中装
整租,距离地铁苹果园717米,押2付3,4000,中楼层/14层,60,苹果园小区一区,中装
整租,距离地铁苹果园1162米,押2付3,4800,高楼层/6层,78,海特花园,中装
整租,距离地铁苹果园444米,押2付3,5500,底层/6层,60,苹果园四区,中装
整租,距离地铁金安桥1300米,押2付3,3800,顶层/6层,60,模式口西里,中装
整租,,押1付12,9000,底层/9层,133,雍景天成,精装
整租,,押1付3,5800,高楼层/23层,85,西黄新村北里,精装
整租,,押1付3,4200,中楼层/6层,50,西黄新村北里,精装
整租,距离地铁苹果园1162米,押1付3,4800,底层/18层,65,海特花园,中装
整租,距离地铁金安桥1300米,押2付3,4300,顶层/6层,80,模式口西里,精装
整租,距离地铁苹果园727米,押2付3,4300,高楼层/16层,74.45,苹果园三区,简装
