chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,,押2付3,3000,低楼层/18层,50,京西景园,中装
整租,,押1付3,3600,低楼层/18层,65,京西景园,中装
整租,,押2付3,3500,低楼层/27层,56,京西景园,精装
整租,,押3付3,3100,低楼层/24层,50,南宫嘉园,精装
整租,,押2付3,3200,低楼层/27层,55,京西景园,精装
整租,,押1付3,3300,中楼层/16层,50,南宫嘉园,精装
整租,,押2付3,2900,高楼层/22层,50,京西景园,简装
整租,,押2付3,6500,低楼层/6层,106,金谷香郡,精装
整租,,押2付3,3000,中楼层/28层,46,京西景园,中装
石景山其它,,押1付3,2600,底层/6层,37,高井电厂宿舍,其他
,,押1付3,1600,底层/6层,10,高井电厂宿舍,合租
石景山其它,,押1付3,3050,高楼层/27层,50.28,京西景园,其他
,,押1付3,1700,底层/6层,15,高井电厂宿舍,合租
石景山其它,,押1付3,3000,中楼层/18层,49.13,京西景园,其他
石景山其它,,押1付3,3700,中楼层/23层,56.36,京西景园,其他
石景山其它,,押1付3,3400,低楼层/18层,53.92,京西景园,其他
石景山其它,,押1付3,3400,底层/6层,61.62,西山峻景,其他
石景山其它,,押1付3,3200,低楼层/28层,41.28,京西景园,其他
整租,,押1付3,3200,高楼层/22层,50,京西景园,精装
整租,,押2付3,10000,低楼层/6层,130,金谷香郡,豪装
石景山其它,,押1付3,3500,底层/6层,56.34,高井电厂宿舍,其他
石景山其它,,押1付3,3500,中楼层/6层,85,炮厂小区,其他
石景山其它,,押1付3,4800,中楼层/6层,107.54,金谷香郡,其他
