chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁苹果园1044米,押1付3,6000,高楼层/18层,75,西现代城,精装
杨庄,,押1付3,1600,高楼层/24层,14,黄南苑小区,其他
杨庄,,押1付3,5100,中楼层/6层,57,OLD石景山杨庄小区,其他
,,押1付3,2200,低楼层/16层,17,OLD石景山杨庄小区,合租
整租,距离地铁苹果园1490米,押2付3,4200,中楼层/6层,53,杨庄北区,中装
,,押1付3,1700,低楼层/16层,13,OLD石景山杨庄小区,合租
杨庄,,押1付3,5000,低楼层/16层,86,杨庄中区,其他
,,押1付3,2500,低楼层/16层,23,OLD石景山杨庄小区,合租
杨庄,距离地铁苹果园1490米,押1付3,6000,中楼层/6层,100,杨庄北区,其他
杨庄,,押1付3,1600,高楼层/24层,14,黄南苑小区,其他
杨庄,,押1付3,4450,底层/6层,58.95,OLD石景山杨庄小区,其他
杨庄,,押1付3,4800,中楼层/6层,75,OLD石景山杨庄小区,其他
杨庄,,押1付3,5000,底层/14层,80,OLD石景山杨庄小区,其他
整租,距离地铁古城1394米,押2付3,4000,底层/7层,45,华信大厦,中装
整租,距离地铁苹果园971米,押2付3,5800,高楼层/16层,90,龙德嘉园,精装
整租,,押1付12,4800,低楼层/18层,89,杨庄中区,精装
整租,距离地铁八角游乐园1481米,押2付3,13000,中楼层/9层,145,茂华璟公阁,豪装
整租,距离地铁八宝山694米,押2付3,4300,低楼层/6层,45,四0二医院家属楼,中装
整租,距离地铁苹果园1044米,押2付3,5000,低楼层/22层,75,西现代城,精装
整租,,押2付3,4500,低楼层/6层,55,首钢杨庄小区,中装
整租,距离地铁苹果园1044米,押1付3,6300,高楼层/18层,110,西现代城,精装
整租,距离地铁苹果园935米,押1付3,5000,中楼层/6层,60,地铁楼,中装
整租,距离地铁苹果园1473米,押2付3,6000,高楼层/22层,106,金鼎佳苑,中装
杨庄,,押1付3,3700,高楼层/6层,36.31,OLD石景山杨庄小区,其他
整租,,押2付3,7000,低楼层/16层,100,首钢杨庄小区,精装
合租,,押2付3,2000,低楼层/6层,10,首钢杨庄小区,中装
整租,距离地铁苹果园971米,押2付3,5500,低楼层/20层,105,龙德嘉园,精装
整租,,押2付3,4500,低楼层/16层,54,首钢杨庄小区,中装
合租,距离地铁八宝山694米,押2付3,2300,顶层/7层,20,四0二医院家属楼,中装
整租,距离地铁八角游乐园1404米,押1付3,5000,中楼层/7层,72,八角北路11号院,简装
整租,距离地铁苹果园1044米,押1付3,4300,底层/22层,60,西现代城,精装
整租,距离地铁八角游乐园1404米,押2付3,4000,低楼层/7层,68,八角北路11号院,精装
整租,,押2付3,4800,低楼层/6层,60,首钢杨庄小区,中装
整租,,押1付3,4500,中楼层/6层,68,杨庄中区,中装
合租,,押2付3,1800,低楼层/6层,13,首钢杨庄小区,中装
整租,距离地铁苹果园1044米,押1付3,4000,低楼层/22层,42,西现代城,精装
