chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁广安门内1116米,押2付3,6000,低楼层/6层,62,建功北里三区,精装
整租,距离地铁广安门内1027米,押2付3,6200,顶层/5层,80,南樱桃二条8号院,精装
整租,距离地铁广安门内1302米,押2付3,5000,低楼层/6层,47,建功北里四区,精装
整租,距离地铁广安门内1218米,押2付3,5000,中楼层/18层,57,恬心家园,精装
整租,距离地铁广安门内1011米,押2付3,6000,顶层/18层,58.97,南运巷,简装
整租,距离地铁广安门内1116米,押2付3,12000,低楼层/16层,129.48,建功北里一区,简装
整租,,押2付3,30000,底层/12层,250,中华家园,精装
整租,,押2付3,25000,中楼层/12层,244.55,中华家园,精装
整租,,押2付3,7500,中楼层/30层,97,政泰家园,简装
整租,距离地铁广安门内898米,押2付3,7200,中楼层/5层,75,白广路西里,精装
整租,,押2付3,6500,顶层/6层,60,南菜园1号院,精装
整租,,押2付3,5000,中楼层/5层,60,南菜园19号,中装
整租,,押2付3,5000,中楼层/21层,58,考拉社区,精装
整租,距离地铁陶然亭867米,押2付3,7000,高楼层/7层,75.95,半步桥街13号院,精装
整租,,押2付3,5500,中楼层/30层,62.2,政泰家园,精装
整租,距离地铁广安门内1218米,押1付3,8700,中楼层/18层,85,恬心家园,精装
整租,距离地铁广安门内1011米,押2付3,6000,中楼层/18层,60,南运巷,中装
整租,,押2付3,6000,高楼层/6层,61.25,鸭子桥南里,精装
整租,距离地铁广安门内1218米,押2付3,6300,高楼层/18层,66,恬心家园,精装
整租,距离地铁广安门内1302米,押2付3,5500,低楼层/6层,80,建功北里四区,精装
整租,距离地铁广安门内1218米,押1付6,10000,顶层/18层,105.37,恬心家园,精装
整租,距离地铁陶然亭867米,押1付3,4800,高楼层/7层,35,半步桥街13号院,中装
整租,距离地铁广安门内898米,押2付3,7500,底层/5层,80,白广路西里,精装
整租,距离地铁广安门内806米,押2付3,6800,顶层/4层,80,白广路27号院电管局宿舍,简装
整租,距离地铁广安门内857米,押2付3,5500,高楼层/6层,51.42,樱桃头条甲2号院,简装
整租,距离地铁广安门内1011米,押2付3,6000,高楼层/18层,64.43,南运巷,简装
整租,,押2付3,4500,中楼层/6层,39.12,鸭子桥路,精装
整租,距离地铁广安门内763米,押2付3,7200,顶层/7层,75,白广路东里1号院,精装
合租,距离地铁广安门内857米,押2付3,2700,中楼层/5层,15,樱桃头条甲2号院,精装
合租,距离地铁广安门内806米,押1付3,2500,底层/4层,20,白广路27号院电管局宿舍,简装
整租,,押1付6,10000,低楼层/25层,114.81,中加大厦,精装
白纸坊,,押1付3,5750,低楼层/6层,60,鸭子桥路,其他
距离地铁广安门内857米,距离地铁广安门内857米,押1付3,2900,顶层/6层,25,樱桃头条甲2号院,合租
整租,距离地铁广安门内957米,押2付3,5000,中楼层/6层,30,樱桃二条,中装
整租,,押2付3,14500,中楼层/28层,187.16,天缘公寓,精装
整租,,押1付3,14000,中楼层/22层,143.69,荣宁园小区,精装
整租,距离地铁广安门内1060米,押2付3,5500,中楼层/6层,50,白纸坊北里,精装
整租,距离地铁广安门内1326米,押2付3,4500,低楼层/6层,60,建功北里五区,精装
合租,,押2付3,2500,中楼层/30层,20,政泰家园,精装
整租,距离地铁广安门内911米,押1付3,7600,底层/14层,80,北樱桃园17号院,精装
整租,距离地铁陶然亭867米,押2付3,6200,低楼层/7层,56,半步桥街13号院,精装
合租,,押1付3,2300,高楼层/7层,12,鸭子桥路18号院,精装
整租,,押1付3,13000,中楼层/12层,164,信德园,精装
整租,距离地铁广安门内1218米,押1付3,7850,中楼层/18层,87,恬心家园,精装
整租,距离地铁广安门内1218米,押2付3,4200,底层/18层,89,恬心家园,中装
白纸坊,距离地铁广安门内1468米,押1付3,4800,底层/18层,57.62,建功南里,其他
白纸坊,距离地铁广安门内1011米,押1付3,4800,高楼层/18层,52,南运巷,其他
白纸坊,,押1付3,3800,高楼层/6层,52,鸭子桥南里,其他
,,押1付3,2900,中楼层/24层,17,中加大厦,合租
,,押1付3,2600,中楼层/24层,17,中加大厦,合租
距离地铁广安门内857米,距离地铁广安门内857米,押1付3,2700,顶层/6层,18,樱桃头条甲2号院,合租
距离地铁广安门内1070米,距离地铁广安门内1070米,押1付3,2700,中楼层/6层,15,建功北里二区,合租
白纸坊,距离地铁广安门内1060米,押1付3,6300,底层/6层,32.2,白纸坊北里,其他
白纸坊,距离地铁陶然亭158米,押1付3,5700,高楼层/6层,60,白纸坊东街,其他
白纸坊,,押1付3,5300,中楼层/21层,53.27,考拉社区,其他
整租,距离地铁广安门内1468米,押2付3,9000,中楼层/18层,82.82,建功南里,精装
整租,,押2付3,17000,高楼层/14层,148.64,荣宁园小区,简装
整租,,押1付3,5500,中楼层/30层,60,政泰家园,中装
整租,距离地铁陶然亭1017米,押1付3,7000,顶层/6层,71,新安北里,精装
整租,距离地铁陶然亭867米,押2付3,3200,底层/7层,35,半步桥街13号院,简装
整租,距离地铁广安门内1302米,押2付3,5500,高楼层/6层,62,建功北里四区,中装
