chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁长椿街430米,押2付3,12000,低楼层/16层,100,相来家园,精装
整租,距离地铁长椿街242米,押2付3,6000,顶层/5层,55,长椿街西里,简装
合租,距离地铁广安门内603米,押1付3,3400,低楼层/5层,16,长椿里,中装
整租,距离地铁长椿街680米,押2付3,6000,底层/6层,77.44,广义街,简装
整租,距离地铁广安门内667米,押1付3,8500,低楼层/19层,103,锦上国际公寓,精装
整租,距离地铁长椿街831米,押2付3,4800,高楼层/6层,50,槐柏树街北里,中装
整租,距离地铁长椿街545米,押2付3,22000,低楼层/16层,138,康乐里小区,精装
整租,距离地铁广安门内487米,押2付3,5500,中楼层/6层,50,下斜街,精装
整租,距离地铁广安门内671米,押2付3,8000,低楼层/14层,82,广安门北街,精装
整租,距离地铁广安门内603米,押1付3,5500,顶层/5层,45,长椿里,中装
整租,距离地铁长椿街831米,押1付3,5500,低楼层/6层,48,槐柏树街北里,中装
整租,距离地铁广安门内734米,押1付3,7000,中楼层/6层,60,槐柏树南里,精装
整租,距离地铁广安门内734米,押1付3,7000,中楼层/6层,65,槐柏树南里,中装
整租,距离地铁长椿街212米,押2付3,7500,低楼层/6层,50,三庙街,精装
整租,距离地铁广安门内734米,押1付3,6200,高楼层/6层,48,槐柏树南里,精装
整租,距离地铁长椿街208米,押2付3,7500,低楼层/6层,60,三庙大院,精装
整租,距离地铁长椿街831米,押2付3,5500,顶层/6层,45,槐柏树街北里,精装
整租,距离地铁广安门内667米,押1付3,6500,中楼层/19层,65,锦上国际公寓,精装
整租,距离地铁菜市口660米,押2付3,11000,高楼层/6层,77.11,老墙根街38号院,精装
整租,距离地铁菜市口660米,押2付3,10000,中楼层/5层,80,老墙根街38号院,精装
整租,距离地铁长椿街430米,押2付3,12000,低楼层/14层,99.26,相来家园,精装
整租,距离地铁广安门内734米,押1付3,5600,底层/6层,45.1,槐柏树南里,精装
整租,距离地铁长椿街430米,押1付12,12000,底层/16层,90,相来家园,中装
整租,距离地铁长椿街208米,押2付3,6500,低楼层/6层,65,三庙大院,中装
整租,距离地铁广安门内431米,押2付3,13000,高楼层/25层,130,广信嘉园,简装
整租,距离地铁长椿街680米,押2付3,7300,高楼层/6层,56.78,广义街,精装
整租,距离地铁广安门内431米,押1付3,10000,中楼层/25层,120,广信嘉园,中装
整租,距离地铁广安门内667米,押1付3,6800,顶层/19层,70,锦上国际公寓,精装
整租,距离地铁长椿街545米,押1付3,14000,低楼层/16层,106,康乐里小区,精装
整租,距离地铁长椿街545米,押2付3,19900,顶层/16层,137.88,康乐里小区,精装
整租,距离地铁长椿街831米,押1付3,6000,高楼层/6层,70,槐柏树街北里,中装
合租,距离地铁广安门内734米,押1付3,3000,中楼层/4层,13,槐柏树南里,中装
整租,距离地铁长椿街667米,押1付3,7000,中楼层/6层,55,老墙根街129号院,中装
整租,距离地铁广安门内667米,押1付3,7000,低楼层/19层,72,锦上国际公寓,精装
整租,距离地铁广安门内487米,押2付3,6500,低楼层/4层,65,下斜街,简装
整租,距离地铁广安门内560米,押2付3,20000,顶层/6层,230,天泽园,精装
整租,距离地铁广安门内431米,押1付3,15000,低楼层/25层,143.05,广信嘉园,中装
整租,距离地铁广安门内871米,押1付3,6700,中楼层/4层,60,西便门内大街79号院,中装
整租,距离地铁广安门内431米,押1付3,11000,低楼层/25层,130,广信嘉园,精装
整租,距离地铁长椿街212米,押2付3,8000,底层/5层,70,三庙街,精装
整租,距离地铁长椿街144米,押1付3,3500,顶层/5层,35,长椿街东里,中装
长椿街,距离地铁广安门内671米,押1付3,7200,顶层/14层,78,广安门北街,中装
整租,距离地铁长椿街481米,押1付3,6500,中楼层/6层,65,感化胡同3号院,中装
整租,距离地铁长椿街545米,押1付3,15000,中楼层/16层,105,康乐里小区,中装
