chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁西直门484米,押2付3,8600,中楼层/6层,58.2,团结大院,豪装
车公庄,距离地铁车公庄西337米,押1付3,3800,低楼层/7层,40,车公庄北里,其他
车公庄,距离地铁车公庄西337米,押1付3,5600,低楼层/5层,31,车公庄北里,其他
车公庄,距离地铁车公庄西553米,押1付3,10800,顶层/6层,73.6,榆树馆西里,其他
车公庄,距离地铁西直门484米,押1付3,7300,中楼层/6层,65,团结大院,其他
车公庄,距离地铁车公庄196米,押1付3,9200,底层/13层,64.8,北礼士路60号,其他
车公庄,距离地铁车公庄西232米,押1付3,7500,低楼层/5层,65,车公庄中里,其他
车公庄,距离地铁车公庄360米,押1付3,9200,顶层/13层,62.3,车公庄大街甲5号楼,其他
车公庄,距离地铁车公庄360米,押1付3,6500,顶层/13层,48.1,车公庄大街甲5号楼,其他
车公庄,距离地铁车公庄196米,押1付3,7200,底层/13层,47.6,北礼士路60号,其他
车公庄,距离地铁车公庄196米,押1付3,6000,低楼层/13层,47,北礼士路60号,其他
车公庄,距离地铁西直门560米,押1付3,7800,底层/5层,62.1,进步巷小区,其他
车公庄,距离地铁车公庄西337米,押1付3,2800,低楼层/6层,12,车公庄北里,其他
车公庄,距离地铁动物园448米,押1付3,8500,底层/6层,52.3,西城区三里河路4号院,其他
车公庄,距离地铁车公庄196米,押1付3,7900,低楼层/12层,54.3,北礼士路60号,其他
整租,距离地铁车公庄196米,押2付3,7000,中楼层/12层,65,北礼士路60号,精装
整租,距离地铁车公庄西400米,押2付3,6000,中楼层/4层,51.9,文兴东街,中装
整租,距离地铁车公庄西337米,押2付3,6000,低楼层/6层,45,车公庄北里,中装
整租,距离地铁动物园507米,押2付3,6200,高楼层/6层,55,文兴街,中装
整租,距离地铁车公庄411米,押1付3,22000,中楼层/16层,116,京桥国际公寓,精装
整租,距离地铁阜成门454米,押2付3,6000,底层/6层,45,北礼士路68号,精装
整租,距离地铁车公庄西643米,押2付3,6000,低楼层/6层,58,铁路巷,简装
整租,距离地铁车公庄西553米,押2付3,6500,高楼层/18层,50,榆树馆西里,精装
整租,距离地铁车公庄西268米,押1付3,28000,高楼层/13层,178,五栋大楼,中装
整租,距离地铁车公庄269米,押2付3,28000,中楼层/18层,178.81,观缘,精装
整租,距离地铁车公庄西538米,押2付3,15000,中楼层/5层,130,榆苑新居,精装
整租,距离地铁车公庄269米,押2付3,30000,高楼层/19层,176.29,观缘,中装
整租,距离地铁车公庄269米,押2付3,42000,中楼层/19层,223.62,观缘,豪装
整租,距离地铁车公庄西232米,押1付3,16000,高楼层/18层,119.8,车公庄中里,精装
整租,距离地铁车公庄西643米,押2付3,6500,中楼层/6层,65,铁路巷,中装
整租,距离地铁车公庄西337米,押1付3,10000,中楼层/22层,85.5,车公庄北里,精装
整租,距离地铁车公庄西268米,押2付3,22000,高楼层/16层,135,五栋大楼,中装
