chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁安德里北街959米,押1付3,6500,高楼层/6层,50.8,人定湖西里,中装
整租,距离地铁鼓楼大街889米,押2付3,6000,高楼层/6层,40,大井胡同,豪装
整租,距离地铁安华桥441米,押2付3,7500,顶层/6层,60.5,裕中东里小区,精装
整租,距离地铁安德里北街1152米,押1付3,2800,底层/1层,20,五路通北街,中装
整租,距离地铁积水潭1291米,押1付3,7500,顶层/6层,65,新明胡同,精装
整租,距离地铁积水潭993米,押2付3,7200,中楼层/5层,54,德胜里一区,精装
整租,距离地铁积水潭1291米,押1付3,5500,中楼层/16层,45,新明胡同,简装
整租,距离地铁安华桥592米,押1付3,12000,高楼层/20层,94.46,文联宿舍,中装
整租,距离地铁积水潭1291米,押2付3,7500,低楼层/18层,60.7,新明胡同,精装
整租,距离地铁安德里北街1119米,押1付12,23000,高楼层/15层,157.48,盛辉嘉园,精装
整租,距离地铁健德门1151米,押2付3,8900,高楼层/16层,60,马甸南村,精装
整租,距离地铁安德里北街1473米,押2付3,9600,中楼层/20层,80,新风街1号院,中装
整租,距离地铁积水潭404米,押2付3,18000,高楼层/7层,150.17,观河锦苑,中装
整租,距离地铁安德里北街1473米,押2付3,8500,顶层/21层,72,新风街1号院,中装
整租,距离地铁安德里北街775米,押2付3,6500,顶层/7层,65,黄寺大街24号院,中装
整租,,押2付3,7000,顶层/6层,65,新街口外大街甲8号院,精装
整租,距离地铁积水潭1390米,押2付3,4800,低楼层/6层,47,新风南里,精装
整租,距离地铁积水潭993米,押1付3,6200,低楼层/5层,57.2,德胜里一区,中装
整租,距离地铁积水潭993米,押1付3,7500,低楼层/5层,57.8,德胜里一区,豪装
整租,距离地铁安德里北街1060米,押2付3,13000,高楼层/17层,88.25,德胜置业,精装
整租,距离地铁安德里北街1124米,押2付3,13000,低楼层/19层,98.54,德胜君玺,精装
整租,距离地铁安华桥441米,押2付3,7900,底层/6层,60,裕中东里小区,精装
整租,距离地铁鼓楼大街889米,押1付3,6000,顶层/6层,40,大井胡同,精装
整租,距离地铁积水潭993米,押2付3,6700,顶层/6层,45,德胜里一区,豪装
合租,距离地铁积水潭993米,押2付3,2800,中楼层/5层,10,德胜里一区,简装
整租,距离地铁健德门1151米,押2付3,9000,高楼层/20层,85,马甸南村,精装
整租,距离地铁安华桥765米,押1付3,12500,低楼层/19层,98.05,阳光丽景,精装
整租,距离地铁积水潭1436米,押2付3,4500,中楼层/5层,35,新风街,中装
整租,距离地铁积水潭993米,押1付3,6800,低楼层/18层,48.3,德胜里一区,中装
整租,距离地铁安德里北街1473米,押2付3,8800,低楼层/21层,80,新风街1号院,精装
整租,距离地铁健德门1151米,押2付3,6700,中楼层/20层,60,马甸南村,中装
整租,距离地铁积水潭993米,押2付3,7500,中楼层/6层,60,德胜里一区,精装
整租,距离地铁健德门719米,押1付3,6200,中楼层/24层,52,裕中西里,精装
整租,距离地铁安德里北街775米,押2付3,9500,底层/5层,75,黄寺大街24号院,中装
整租,距离地铁积水潭707米,押1付3,7800,中楼层/18层,70,新街口外大街18号,精装
整租,距离地铁积水潭404米,押1付3,15000,底层/8层,140,观河锦苑,豪装
整租,距离地铁健德门549米,押2付3,23000,低楼层/21层,159.98,华尊大厦,精装
整租,距离地铁健德门719米,押1付3,6500,中楼层/6层,58.3,裕中西里,精装
整租,距离地铁积水潭777米,押2付3,7200,高楼层/7层,65,新德街,中装
整租,距离地铁安华桥765米,押2付3,25000,中楼层/20层,148,阳光丽景,精装
整租,距离地铁积水潭275米,押2付3,7000,高楼层/6层,65,冰窖口胡同79号,中装
随时看房,距离地铁积水潭1291米,,12000,高楼层/18层,96.3,新明胡同,中装
整租,距离地铁健德门719米,押1付3,12000,中楼层/24层,88,裕中西里,精装
