chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁车公庄西641米,押2付3,7000,顶层/6层,56.8,扣钟北里,精装
整租,距离地铁车公庄75米,押2付3,7500,高楼层/12层,47.1,文华园,精装
合租,距离地铁阜成门875米,押2付3,4300,中楼层/5层,35,阜外北四巷,中装
整租,距离地铁车公庄西641米,押1付3,6300,底层/16层,45,扣钟北里,中装
整租,距离地铁车公庄西772米,押2付3,6100,底层/6层,43.9,南露园,精装
整租,距离地铁车公庄156米,押2付3,18000,高楼层/24层,118,物华大厦,精装
整租,距离地铁阜成门374米,押1付3,6500,高楼层/13层,39.7,阜成门北大街15号,精装
整租,距离地铁车公庄156米,押2付3,60000,中楼层/24层,400,物华大厦,精装
整租,距离地铁阜成门763米,押2付3,9000,高楼层/18层,65,阜外北街,精装
整租,距离地铁车公庄75米,押2付3,7500,低楼层/12层,54.5,文华园,精装
整租,距离地铁车公庄西641米,押1付3,7800,低楼层/4层,58.7,扣钟北里,精装
整租,距离地铁车公庄380米,押1付3,7300,顶层/6层,65,百万庄大街1号院,精装
整租,距离地铁阜成门763米,押1付3,9000,底层/5层,54,阜外北街,精装
整租,,押1付3,9000,中楼层/10层,70,北营房中街,精装
整租,距离地铁车公庄西772米,押2付3,7000,底层/6层,75,南露园,精装
整租,距离地铁车公庄156米,押2付3,21000,底层/24层,158,物华大厦,中装
整租,距离地铁阜成门763米,押2付3,11000,高楼层/18层,59.4,阜外北街,精装
整租,距离地铁车公庄479米,押2付3,7000,顶层/5层,50.3,百万庄大街7号院,简装
整租,距离地铁车公庄西772米,押2付3,8000,底层/6层,65,南露园,精装
整租,距离地铁车公庄380米,押2付3,8000,高楼层/6层,70.4,百万庄大街1号院,精装
整租,距离地铁车公庄531米,押2付3,18500,高楼层/14层,113.53,融城,精装
整租,距离地铁车公庄西641米,押2付3,9500,高楼层/16层,81,扣钟北里,精装
整租,距离地铁车公庄575米,押2付3,9000,高楼层/10层,78.6,百万庄大街13号院,中装
整租,距离地铁车公庄531米,押2付3,11000,低楼层/14层,70.97,融城,精装
整租,,押2付3,9000,低楼层/26层,50,万通新世界,中装
整租,距离地铁车公庄156米,押2付3,33900,中楼层/24层,226,物华大厦,精装
整租,距离地铁车公庄156米,押2付3,13200,底层/24层,80,物华大厦,中装
整租,距离地铁车公庄156米,押1付3,7500,底层/24层,50,物华大厦,精装
整租,距离地铁阜成门374米,押2付3,6400,中楼层/14层,40.7,阜成门北大街15号,精装
整租,距离地铁阜成门763米,押2付3,6800,顶层/5层,65,阜外北街,简装
整租,距离地铁白堆子853米,押2付3,5300,底层/6层,32,三里河路42号楼,精装
整租,距离地铁车公庄531米,押1付12,23000,底层/21层,84.15,融城,精装
整租,距离地铁车公庄西641米,押1付3,3000,顶层/6层,75,扣钟北里,中装
整租,距离地铁车公庄西300米,押1付3,6500,中楼层/18层,44,车公庄大街6号院,中装
整租,距离地铁车公庄西641米,押2付3,7000,中楼层/6层,59,扣钟北里,中装
整租,距离地铁车公庄156米,押2付3,7500,高楼层/24层,50,物华大厦,简装
整租,距离地铁车公庄西641米,押2付3,9500,中楼层/6层,71,扣钟北里,精装
整租,距离地铁车公庄156米,押2付3,13000,中楼层/24层,79.99,物华大厦,中装
阜成门,距离地铁车公庄380米,押1付3,6500,顶层/6层,48,百万庄大街1号院,其他
整租,距离地铁阜成门374米,押2付3,5500,中楼层/15层,45,阜成门北大街15号,中装
整租,距离地铁车公庄575米,押2付3,7800,顶层/6层,60,百万庄大街13号院,豪装
阜成门,距离地铁车公庄360米,押1付3,5800,中楼层/12层,42.2,北礼士路62号院,其他
阜成门,距离地铁车公庄380米,押1付3,3000,低楼层/6层,12,百万庄大街1号院,其他
阜成门,距离地铁白堆子853米,押1付3,5900,底层/6层,46,三里河路42号楼,其他
阜成门,距离地铁白堆子853米,押1付3,12000,底层/6层,81.6,三里河路42号楼,其他
阜成门,距离地铁阜成门537米,押1付3,6600,高楼层/6层,39.73,百万庄大街2号院,其他
阜成门,距离地铁车公庄西773米,押1付3,7000,中楼层/6层,70,北露园,其他
阜成门,距离地铁车公庄西641米,押1付3,5200,低楼层/6层,56.4,扣钟北里,其他
整租,距离地铁阜成门763米,押2付3,7200,中楼层/5层,65,阜外北街,中装
阜成门,距离地铁车公庄西773米,押1付3,6000,低楼层/6层,39,北露园,其他
整租,距离地铁车公庄380米,押2付3,7500,低楼层/6层,65,百万庄大街1号院,中装
阜成门,距离地铁车公庄75米,押1付3,10800,低楼层/12层,87,文华园,其他
整租,距离地铁车公庄156米,押1付3,15000,中楼层/26层,187.53,物华大厦,中装
整租,距离地铁车公庄西773米,押2付12,6800,低楼层/6层,45,北露园,精装
整租,距离地铁阜成门875米,押2付3,9500,顶层/4层,85,阜外北四巷,精装
整租,距离地铁阜成门676米,押2付3,8700,中楼层/6层,70,北营房西里,中装
整租,距离地铁车公庄西772米,押2付3,8000,底层/6层,72,南露园,精装
整租,距离地铁阜成门455米,押2付3,6800,中楼层/16层,54,北礼士路139、149号,中装
整租,距离地铁车公庄75米,押2付3,7000,中楼层/12层,45,文华园,中装
