chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁达官营684米,押2付3,5000,低楼层/6层,42,手帕口北街,简装
整租,距离地铁达官营487米,押1付3,4800,低楼层/25层,50,远见名苑,精装
整租,距离地铁达官营487米,押2付3,15000,高楼层/23层,135,远见名苑,精装
整租,距离地铁达官营487米,押2付3,5600,高楼层/25层,55,远见名苑,精装
合租,距离地铁达官营739米,押2付3,2500,底层/6层,54,小红庙,中装
整租,距离地铁达官营530米,押2付3,5500,中楼层/10层,33,荣丰2008,中装
整租,距离地铁达官营373米,押2付3,7500,中楼层/18层,70.49,红居街10号院,精装
合租,距离地铁达官营739米,押2付3,2600,高楼层/6层,15,小红庙,精装
整租,距离地铁达官营393米,押2付3,8600,中楼层/24层,110,广华轩,精装
整租,距离地铁达官营487米,押1付3,10000,低楼层/26层,100,远见名苑,精装
整租,距离地铁广安门内338米,押1付3,7000,中楼层/6层,56.62,善果胡同,中装
整租,距离地铁达官营608米,押1付3,7200,中楼层/28层,72,西豪逸景,豪装
整租,距离地铁达官营648米,押1付3,7800,低楼层/14层,70,北滨河55号楼,精装
整租,距离地铁达官营393米,押2付3,8800,低楼层/24层,115,广华轩,精装
整租,距离地铁达官营476米,押1付3,10500,低楼层/32层,92,红山世家,精装
整租,距离地铁达官营835米,押2付3,5200,中楼层/6层,60,红居南街,中装
整租,,押1付3,4500,中楼层/24层,45,乐城,精装
整租,距离地铁达官营530米,押2付3,4500,高楼层/31层,38,荣丰2008,中装
整租,,押1付3,5500,中楼层/6层,59.9,车站西街,中装
整租,,押2付3,4500,低楼层/24层,45,乐城,简装
整租,距离地铁达官营487米,押1付3,8500,中楼层/26层,106.8,远见名苑,精装
整租,距离地铁达官营989米,押1付3,8500,高楼层/29层,91,京铁和园,精装
整租,距离地铁达官营530米,押2付3,3700,高楼层/26层,24.03,荣丰2008,精装
整租,距离地铁达官营684米,押2付3,5800,中楼层/6层,42,手帕口北街,精装
整租,距离地铁达官营605米,押1付3,5500,中楼层/29层,48,朗琴园,精装
整租,距离地铁达官营608米,押2付3,6000,中楼层/28层,56,西豪逸景,简装
整租,距离地铁达官营890米,押2付3,5500,中楼层/8层,54,书舍,中装
整租,距离地铁达官营195米,押2付3,8200,中楼层/26层,80,远见国际公寓,精装
整租,距离地铁达官营530米,押1付3,5600,中楼层/16层,31,荣丰2008,精装
整租,距离地铁达官营739米,押1付3,5200,顶层/6层,56,小红庙,中装
合租,距离地铁达官营989米,押2付3,2500,高楼层/29层,15,京铁和园,精装
整租,距离地铁达官营608米,押1付3,6500,中楼层/28层,72,西豪逸景,精装
整租,距离地铁达官营605米,押1付3,12000,低楼层/17层,110,朗琴园,精装
整租,,押2付3,5000,低楼层/18层,55,车站西街,精装
整租,,押2付3,5800,顶层/6层,55,车站西街,精装
整租,距离地铁达官营476米,押1付6,18000,中楼层/26层,142,红山世家,豪装
整租,距离地铁达官营684米,押2付3,4500,底层/6层,45,手帕口北街,毛坯
整租,距离地铁达官营605米,押2付3,18000,低楼层/29层,184,朗琴园,中装
整租,距离地铁湾子528米,押1付12,12000,高楼层/27层,95,玺源台,精装
整租,距离地铁达官营530米,押1付3,3600,低楼层/31层,25.71,荣丰2008,精装
整租,距离地铁达官营530米,押2付3,3700,低楼层/20层,25,荣丰2008,精装
整租,距离地铁达官营989米,押2付3,10000,中楼层/25层,95,京铁和园,中装
整租,距离地铁达官营530米,押1付3,4000,低楼层/16层,51,荣丰2008,精装
整租,,押2付3,2750,低楼层/24层,25,乐城,精装
整租,距离地铁湾子528米,押1付3,8000,高楼层/26层,64,玺源台,精装
整租,距离地铁达官营772米,押2付3,6800,中楼层/18层,69.42,广外大街,精装
整租,距离地铁达官营530米,押1付3,4500,中楼层/31层,38.38,荣丰2008,精装
整租,距离地铁达官营835米,押2付3,5500,顶层/6层,62.17,红居南街,中装
整租,距离地铁达官营605米,押2付3,15500,低楼层/27层,143,朗琴园,精装
整租,距离地铁达官营835米,押1付3,9000,中楼层/6层,90,红居南街,精装
整租,距离地铁达官营530米,押1付3,14500,高楼层/16层,168,荣丰2008,中装
随时看房,距离地铁达官营608米,,5800,高楼层/28层,60,西豪逸景,精装
整租,距离地铁达官营393米,押2付3,6800,低楼层/24层,78,广华轩,中装
整租,距离地铁达官营452米,押1付3,6000,低楼层/6层,62,广安门外大街197号,精装
整租,距离地铁达官营393米,押2付3,20000,中楼层/24层,118,广华轩,精装
整租,距离地铁达官营569米,押2付3,6500,中楼层/6层,68,小马厂南里,中装
整租,距离地铁达官营530米,押1付3,3500,中楼层/31层,26,荣丰2008,精装
整租,距离地铁达官营530米,押2付3,5000,高楼层/12层,70,荣丰2008,精装
整租,距离地铁达官营530米,押2付3,4000,低楼层/20层,27,荣丰2008,中装
合租,距离地铁达官营684米,押2付3,2800,中楼层/6层,20,手帕口北街,精装
整租,距离地铁达官营530米,押1付3,5400,中楼层/10层,30,荣丰2008,中装
整租,距离地铁达官营393米,押1付3,8500,底层/24层,29.84,广华轩,精装
