chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁车公庄545米,押2付3,7500,高楼层/16层,39,官苑八号,精装
整租,距离地铁车公庄577米,押1付3,8500,低楼层/6层,65,官园胡同,中装
整租,距离地铁西四237米,押2付3,5500,底层/1层,60,阜成门内大街,中装
整租,距离地铁西直门369米,押2付3,9000,中楼层/9层,70,葱店胡同2号院,中装
整租,距离地铁车公庄242米,押1付3,7500,低楼层/16层,60,北礼士路,中装
整租,距离地铁车公庄545米,押2付3,28000,低楼层/16层,175.98,官苑八号,精装
整租,距离地铁西直门437米,押2付3,3800,中楼层/7层,20,前半壁街,精装
整租,距离地铁车公庄242米,押2付3,6500,底层/14层,45,北礼士路,精装
整租,距离地铁西直门369米,押2付3,9300,中楼层/6层,65,葱店胡同2号院,中装
整租,距离地铁车公庄545米,押2付3,27000,低楼层/16层,168.18,官苑八号,精装
整租,距离地铁车公庄545米,押1付6,12000,中楼层/16层,65,官苑八号,精装
整租,距离地铁车公庄545米,押1付12,42000,低楼层/16层,192,官苑八号,精装
整租,距离地铁车公庄545米,押2付3,26000,中楼层/16层,161,官苑八号,精装
整租,距离地铁平安里696米,押1付3,18000,底层/4层,97.4,官园公寓,中装
整租,距离地铁车公庄545米,押2付3,12000,低楼层/16层,72.53,官苑八号,精装
整租,距离地铁车公庄408米,押2付3,23000,中楼层/17层,143,西派国际公寓,豪装
整租,距离地铁车公庄345米,押1付3,13000,中楼层/11层,80,官园南里三区,精装
整租,距离地铁平安里696米,押2付3,25000,中楼层/4层,142,官园公寓,精装
整租,距离地铁西直门369米,押2付3,10800,中楼层/9层,70,葱店胡同2号院,精装
整租,距离地铁车公庄443米,押2付3,8800,低楼层/4层,75,西廊下胡同,中装
整租,距离地铁车公庄545米,押2付3,12000,高楼层/16层,72,官苑八号,精装
整租,距离地铁车公庄577米,押2付3,10000,低楼层/16层,68.5,官园胡同,精装
