chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁长椿街504米,押2付3,9000,中楼层/18层,68,新文化街,中装
整租,距离地铁长椿街504米,押2付3,9000,低楼层/12层,65,新文化街,中装
整租,距离地铁长椿街504米,押2付3,10000,高楼层/12层,65,新文化街,中装
整租,距离地铁复兴门424米,押1付6,15000,中楼层/14层,76,长安兴融中心,精装
整租,距离地铁复兴门424米,押2付3,15000,顶层/14层,79.08,长安兴融中心,精装
整租,距离地铁西单659米,押1付3,7000,中楼层/6层,50,京畿道,中装
整租,距离地铁西单659米,押2付3,7000,低楼层/6层,39.1,京畿道,中装
随时看房,距离地铁复兴门424米,,9500,高楼层/14层,54.04,长安兴融中心,精装
整租,距离地铁复兴门673米,押1付3,28000,低楼层/13层,134.79,金宸公寓,精装
整租,距离地铁复兴门424米,押2付3,30000,中楼层/14层,122,长安兴融中心,精装
整租,距离地铁西四745米,押1付3,16000,中楼层/11层,89.34,西城晶华,精装
整租,距离地铁长椿街504米,押2付3,9000,中楼层/16层,56.7,新文化街,精装
整租,距离地铁长椿街504米,押2付3,13000,中楼层/13层,85,新文化街,精装
整租,距离地铁灵境胡同585米,押1付3,8000,高楼层/12层,50,丰汇园小区,精装
整租,距离地铁灵境胡同585米,押2付3,6800,中楼层/12层,50,丰汇园小区,中装
整租,距离地铁西四727米,押2付3,10000,底层/6层,84,羊肉胡同,中装
整租,距离地铁西单659米,押2付3,7500,底层/14层,45,中京畿道17号,中装
整租,距离地铁长椿街504米,押2付3,9000,底层/16层,69.6,新文化街,中装
整租,距离地铁长椿街504米,押2付3,6500,底层/16层,50,新文化街,中装
整租,距离地铁长椿街504米,押2付3,8800,中楼层/16层,60,新文化街,精装
整租,距离地铁灵境胡同491米,押2付3,10000,底层/6层,59.8,大木仓胡同,精装
整租,距离地铁西四745米,押1付3,13500,底层/11层,88,西城晶华,精装
整租,距离地铁长椿街479米,押2付3,8000,高楼层/16层,49.9,佟麟阁路62号院,精装
整租,距离地铁长椿街479米,押2付3,13000,中楼层/18层,76,佟麟阁路62号院,中装
整租,距离地铁长椿街504米,押2付3,10000,低楼层/16层,60,新文化街,精装
整租,距离地铁灵境胡同585米,押2付3,11000,高楼层/12层,65,丰汇园小区,精装
