chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁鼓楼大街290米,押1付3,6500,中楼层/6层,56,安德路,中装
整租,距离地铁鼓楼大街290米,押2付3,6800,顶层/6层,56,安德路,中装
整租,距离地铁鼓楼大街198米,押2付3,6000,顶层/5层,40.2,小石桥胡同3号院,精装
整租,距离地铁安德里北街177米,押1付3,5300,顶层/5层,40,安德东里,精装
整租,距离地铁鼓楼大街290米,押1付3,25000,中楼层/6层,151.59,安德路,精装
合租,距离地铁鼓楼大街290米,押2付3,3300,高楼层/6层,18,安德路,中装
整租,距离地铁鼓楼大街290米,押2付3,6500,顶层/6层,56,安德路,精装
整租,距离地铁安德里北街177米,押1付3,10000,中楼层/5层,83.8,安德东里,精装
六铺炕,距离地铁安德里北街274米,押1付3,5300,中楼层/6层,50,六铺炕一区,其他
整租,距离地铁鼓楼大街290米,押2付3,16000,中楼层/6层,118,安德路,中装
整租,距离地铁鼓楼大街290米,押2付3,30000,底层/6层,246,安德路,精装
六铺炕,距离地铁鼓楼大街290米,押1付3,6700,底层/6层,40.1,安德路,其他
