chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁湾子1036米,押1付3,9300,中楼层/13层,98.84,信和嘉园,精装
整租,,押2付3,5000,低楼层/25层,44.32,欧园,精装
整租,,押1付12,7600,中楼层/28层,104,欧园,精装
整租,,押2付3,6500,低楼层/24层,72,建茗园,中装
合租,距离地铁达官营349米,押2付3,2800,中楼层/18层,15,马连道中里二区,简装
整租,距离地铁六里桥东1038米,押2付3,12000,底层/26层,140,中新佳园,中装
整租,,押2付3,4500,中楼层/28层,44.32,欧园,精装
整租,距离地铁达官营808米,押2付3,7000,高楼层/16层,75,红莲中里,中装
整租,距离地铁湾子233米,押1付3,5500,高楼层/6层,65,三义里,中装
整租,距离地铁湾子1036米,押2付3,7900,高楼层/9层,69,信和嘉园,精装
整租,距离地铁达官营1225米,押1付3,5000,中楼层/6层,50,红莲南里,中装
整租,距离地铁湾子427米,押2付3,10500,中楼层/16层,100,格调,精装
合租,距离地铁湾子268米,押2付3,2000,高楼层/6层,15,马连道北里,中装
整租,距离地铁湾子233米,押1付3,5700,高楼层/6层,50,三义里,精装
整租,,押3付3,7500,中楼层/28层,73.58,欧园,中装
整租,距离地铁达官营484米,押1付3,8500,底层/6层,80,红莲北里,精装
整租,距离地铁湾子233米,押1付6,5700,高楼层/6层,60,三义里,精装
整租,距离地铁湾子687米,押2付3,6800,低楼层/25层,70,馨莲茗园,中装
整租,,押2付3,6800,顶层/6层,90,三路居,中装
整租,距离地铁达官营1130米,押1付3,4500,底层/19层,45,常青藤嘉园,中装
整租,距离地铁达官营1225米,押1付3,6500,中楼层/6层,92,红莲南里,精装
整租,距离地铁湾子562米,押2付3,4500,底层/6层,50.29,马连道西里,中装
整租,距离地铁湾子415米,押2付3,4600,高楼层/18层,45,马连道中里一区,精装
整租,距离地铁六里桥东1038米,押2付3,9000,中楼层/28层,105,中新佳园,精装
整租,距离地铁湾子702米,押1付3,3800,低楼层/6层,40,湾子街,毛坯
整租,距离地铁达官营808米,押2付3,6200,中楼层/6层,60,红莲中里,中装
整租,,押2付3,8500,高楼层/27层,125,丽泽雅园,精装
整租,,押2付3,4500,高楼层/28层,43.54,欧园,精装
整租,距离地铁六里桥东1335米,押1付3,8300,高楼层/27层,106.06,茗筑,精装
整租,距离地铁达官营484米,押1付3,4700,高楼层/6层,45,红莲北里,中装
整租,距离地铁湾子427米,押1付12,15000,中楼层/26层,145,格调,精装
整租,,押2付3,4500,高楼层/6层,44.61,欣园铁路小区,精装
整租,,押2付3,4500,高楼层/25层,44.32,欧园,中装
整租,距离地铁达官营1130米,押1付3,7500,低楼层/22层,83.66,常青藤嘉园,中装
整租,距离地铁湾子596米,押2付3,7600,高楼层/28层,93,依莲轩,中装
合租,距离地铁达官营737米,押2付3,2800,中楼层/22层,15,红莲晴园,简装
整租,,押2付3,5600,中楼层/24层,62,丽泽雅园,精装
马连道,,押1付3,7000,顶层/6层,91,三路居,其他
马连道,距离地铁湾子596米,押1付3,7700,高楼层/28层,98,依莲轩,其他
马连道,,押1付3,4200,底层/6层,44.95,欣园铁路小区,其他
马连道,距离地铁六里桥东1335米,押1付3,7500,低楼层/31层,109,茗筑,其他
马连道,,押1付3,6300,底层/27层,84.56,丽泽雅园,其他
整租,距离地铁达官营349米,押2付3,7000,低楼层/18层,90,马连道中里二区,精装
整租,,押2付3,8000,中楼层/28层,102.84,欧园,精装
马连道,距离地铁湾子415米,押1付3,5200,低楼层/12层,60,马连道中里一区,其他
整租,,押2付3,11000,中楼层/27层,120,丽泽雅园,精装
整租,,押2付3,9000,顶层/25层,115.21,欧园,毛坯
