chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁南礼士路702米,押1付3,8700,低楼层/20层,60,广电总局西便门小区,精装
整租,距离地铁南礼士路360米,押1付12,5000,底层/6层,40,真武庙头条,简装
整租,距离地铁南礼士路840米,押1付3,7500,中楼层/6层,65,西便门东里,中装
整租,距离地铁木樨地906米,押1付3,11000,低楼层/22层,110,木樨地南里,中装
整租,距离地铁南礼士路702米,押1付3,10000,高楼层/8层,113.8,广电总局西便门小区,简装
整租,距离地铁南礼士路546米,押1付3,6500,中楼层/6层,60,铁四区,中装
整租,距离地铁木樨地777米,押2付3,8500,高楼层/14层,70,汽南小区,精装
整租,距离地铁长椿街731米,押1付3,7500,低楼层/14层,61,西便门外东大街,精装
整租,距离地铁南礼士路902米,押1付3,6500,中楼层/6层,60,西便门西里,中装
整租,距离地铁木樨地906米,押2付3,7200,高楼层/18层,61,木樨地南里,精装
整租,距离地铁南礼士路388米,押1付3,10000,中楼层/18层,72,新302,中装
整租,距离地铁南礼士路902米,押2付3,9000,低楼层/20层,77,西便门西里,精装
整租,距离地铁南礼士路360米,押1付3,7200,底层/6层,60,真武庙头条,中装
整租,距离地铁南礼士路630米,押2付3,5900,底层/19层,50,真武庙六里,精装
整租,距离地铁木樨地481米,押2付3,6800,中楼层/5层,75,木樨地北里,中装
合租,距离地铁南礼士路630米,押1付3,2700,顶层/4层,25,真武庙六里,简装
整租,距离地铁南礼士路630米,押2付3,6500,高楼层/19层,54,真武庙六里,精装
合租,距离地铁木樨地777米,押2付3,3500,顶层/5层,10,汽南小区,精装
整租,距离地铁南礼士路840米,押2付3,6800,顶层/16层,62.17,西便门东里,中装
整租,距离地铁南礼士路374米,押1付3,12000,高楼层/16层,65,真武家园,精装
整租,距离地铁南礼士路271米,押1付3,8000,中楼层/6层,59.8,铁一区,精装
整租,距离地铁南礼士路650米,押2付3,10000,底层/4层,79,真武庙四里,精装
整租,距离地铁南礼士路840米,押1付3,7000,高楼层/16层,65,西便门东里,中装
整租,距离地铁木樨地777米,押1付3,8500,高楼层/6层,72,汽南小区,中装
整租,距离地铁南礼士路902米,押2付3,6300,底层/20层,65,西便门西里,中装
整租,距离地铁南礼士路546米,押1付3,12000,低楼层/6层,90,铁四区,中装
整租,距离地铁南礼士路271米,押1付3,6800,底层/4层,49.9,铁一区,精装
整租,距离地铁南礼士路546米,押1付3,10000,底层/6层,75,铁四区,简装
整租,距离地铁南礼士路485米,押2付3,6000,中楼层/6层,41.7,真武庙三条,精装
整租,距离地铁南礼士路271米,押1付3,5500,底层/4层,51.4,铁一区,中装
整租,距离地铁南礼士路684米,押1付3,50000,中楼层/10层,245,融泽府,精装
整租,距离地铁南礼士路630米,押1付3,7500,高楼层/19层,75,真武庙六里,中装
整租,距离地铁长椿街731米,押2付3,5500,中楼层/7层,50,西便门外东大街,简装
整租,距离地铁木樨地549米,押1付3,6000,顶层/6层,62,汽北小区,中装
整租,距离地铁木樨地777米,押1付3,5300,低楼层/6层,48.2,汽南小区,精装
整租,距离地铁南礼士路586米,押1付3,10000,底层/4层,83,国务院宿舍,简装
整租,距离地铁南礼士路684米,押2付3,36000,底层/10层,275,融泽府,精装
整租,距离地铁南礼士路271米,押1付3,7800,中楼层/6层,65,铁一区,精装
整租,距离地铁南礼士路271米,押1付3,7600,底层/6层,60.8,铁一区,精装
整租,距离地铁木樨地481米,押2付3,9500,中楼层/18层,78,木樨地北里,精装
整租,距离地铁长椿街731米,押1付3,7000,中楼层/14层,60,西便门外东大街,简装
整租,距离地铁木樨地481米,押2付3,14000,高楼层/18层,93,木樨地北里,精装
整租,距离地铁南礼士路374米,押1付3,20000,高楼层/16层,100,真武家园,精装
整租,距离地铁南礼士路840米,押1付3,7000,高楼层/16层,60,西便门东里,中装
整租,距离地铁南礼士路902米,押1付3,3000,低楼层/6层,20,西便门西里,简装
整租,距离地铁南礼士路603米,押2付3,7500,底层/6层,60,真武庙五里,精装
合租,距离地铁木樨地777米,押2付3,3200,顶层/5层,15,汽南小区,精装
整租,距离地铁南礼士路388米,押1付3,6700,中楼层/7层,55,新302,中装
整租,距离地铁南礼士路840米,押1付3,5500,底层/6层,45,西便门东里,精装
整租,距离地铁复兴门275米,押1付3,3600,高楼层/12层,25,复兴门南大街,精装
整租,距离地铁木樨地906米,押2付3,7500,高楼层/18层,65,木樨地南里,精装
整租,距离地铁南礼士路388米,押1付3,6500,中楼层/7层,50,新302,精装
整租,距离地铁木樨地752米,押1付3,6300,低楼层/5层,60,真武庙三里,简装
木樨地,距离地铁南礼士路947米,押1付3,6300,中楼层/12层,58,白云观北里,其他
整租,距离地铁木樨地906米,押2付3,14500,中楼层/22层,113,木樨地南里,中装
木樨地,距离地铁南礼士路271米,押1付3,5200,高楼层/6层,50.5,铁一区,其他
距离地铁木樨地777米,距离地铁木樨地777米,押1付3,4100,中楼层/5层,20,汽南小区,合租
距离地铁木樨地777米,距离地铁木樨地777米,押1付3,3500,中楼层/5层,10,汽南小区,合租
整租,距离地铁南礼士路902米,押1付3,7500,低楼层/6层,65,西便门西里,中装
整租,距离地铁南礼士路485米,押2付3,8500,低楼层/6层,60,真武庙三条,精装
整租,距离地铁木樨地906米,押2付3,12000,中楼层/22层,90,木樨地南里,中装
整租,距离地铁南礼士路586米,押1付3,18000,底层/4层,90.2,国务院宿舍,精装
整租,距离地铁复兴门275米,押1付3,9600,高楼层/16层,74,复兴门南大街,中装
整租,距离地铁南礼士路374米,押2付3,7000,高楼层/16层,45,真武家园,精装
