chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁广安门内377米,押2付3,6500,底层/6层,60,白广路二条,中装
整租,距离地铁陶然亭384米,押2付3,15000,低楼层/20层,125,平原里20号,精装
整租,距离地铁陶然亭357米,押2付3,6700,中楼层/12层,65,平原里小区,精装
整租,距离地铁广安门内658米,押2付3,7000,顶层/21层,80,东华金座,中装
整租,距离地铁广安门内611米,押2付3,7000,顶层/22层,78,南线里,简装
整租,距离地铁广安门内658米,押1付3,19000,高楼层/27层,246,东华金座,精装
整租,距离地铁广安门内377米,押2付3,8500,低楼层/22层,98,白广路二条,中装
整租,距离地铁广安门内415米,押1付3,6600,低楼层/14层,58,白广路6号院,精装
整租,距离地铁广安门内415米,押2付3,8000,低楼层/4层,68.39,白广路6号院,精装
整租,距离地铁广安门内414米,押1付3,15000,中楼层/29层,136,似海怡家,精装
整租,距离地铁陶然亭357米,押2付3,5500,低楼层/6层,50,平原里小区,精装
整租,距离地铁陶然亭146米,押2付3,6000,中楼层/9层,55,白纸坊东街1、3号,精装
整租,距离地铁陶然亭357米,押2付3,9800,顶层/9层,95,平原里小区,精装
整租,距离地铁陶然亭357米,押2付3,4800,中楼层/6层,46.79,平原里小区,精装
整租,距离地铁陶然亭357米,押2付3,4500,中楼层/6层,50.12,平原里小区,简装
整租,距离地铁菜市口489米,押1付6,7000,低楼层/5层,50.53,南半截胡同,精装
整租,距离地铁广安门内694米,押2付3,8500,中楼层/6层,85,牛街东里一区,精装
合租,距离地铁陶然亭357米,押1付3,2600,中楼层/9层,25,平原里小区,中装
整租,距离地铁陶然亭384米,押2付3,4500,顶层/4层,26.04,平原里20号,简装
整租,距离地铁广安门内694米,押2付3,6000,高楼层/19层,54.25,牛街东里一区,中装
整租,距离地铁陶然亭884米,押1付3,15000,高楼层/8层,150,万和世家,精装
整租,距离地铁菜市口774米,押2付3,6300,低楼层/6层,60,教子胡同,精装
整租,距离地铁陶然亭379米,押2付3,5800,中楼层/6层,69.01,白纸坊东街25号院,中装
整租,距离地铁菜市口489米,押2付3,4200,中楼层/5层,45,南半截胡同,中装
整租,距离地铁陶然亭808米,押2付3,6500,中楼层/14层,50,凯迪尚府,精装
整租,距离地铁广安门内415米,押1付3,5000,中楼层/14层,48,白广路6号院,毛坯
整租,距离地铁广安门内720米,押1付3,5200,低楼层/24层,53,青春无限,精装
合租,距离地铁菜市口489米,押2付3,2800,中楼层/5层,15,南半截胡同,精装
整租,距离地铁陶然亭357米,押2付3,7000,底层/5层,65,平原里小区,精装
整租,距离地铁陶然亭357米,押2付3,7000,低楼层/12层,70,平原里小区,简装
整租,距离地铁广安门内860米,押1付3,7000,中楼层/10层,67,春风胡同,精装
牛街,距离地铁广安门内725米,押1付3,5200,中楼层/25层,54.79,泰和嘉苑,其他
牛街,距离地铁广安门内658米,押1付3,6500,顶层/27层,70,东华金座,其他
牛街,距离地铁广安门内435米,押1付3,7000,顶层/19层,55.15,牛街西里,其他
牛街,距离地铁广安门内472米,押1付3,5600,中楼层/6层,43.61,南线阁5号院,其他
牛街,距离地铁广安门内859米,押1付3,4100,中楼层/6层,36.33,小寺街61号,其他
牛街,距离地铁广安门内720米,押1付3,5100,中楼层/24层,53,青春无限,其他
牛街,距离地铁陶然亭357米,押1付3,7000,中楼层/6层,61.44,平原里小区,其他
牛街,距离地铁广安门内415米,押1付3,4300,顶层/6层,55,白广路6号院,其他
牛街,距离地铁广安门内435米,押1付3,7100,高楼层/19层,73.14,牛街西里,其他
牛街,距离地铁广安门内415米,押1付3,6000,底层/6层,44.02,白广路6号院,其他
牛街,距离地铁陶然亭379米,押1付3,2100,顶层/6层,15,白纸坊东街25号院,其他
牛街,距离地铁广安门内694米,押1付3,7600,高楼层/19层,96,牛街东里一区,其他
整租,距离地铁广安门内611米,押2付3,11000,中楼层/22层,120,南线里,中装
整租,距离地铁陶然亭212米,押1付3,13000,中楼层/20层,119.23,平原里21号,中装
整租,距离地铁广安门内472米,押2付3,2600,中楼层/5层,20,南线阁5号院,精装
整租,距离地铁陶然亭384米,押2付3,3000,低楼层/20层,20,平原里20号,精装
整租,距离地铁陶然亭212米,押1付12,8500,中楼层/19层,79.2,平原里21号,精装
整租,距离地铁陶然亭384米,押2付3,15000,低楼层/20层,120,平原里20号,中装
整租,距离地铁陶然亭384米,押2付3,5500,顶层/4层,70,平原里20号,中装
整租,距离地铁广安门内658米,押1付3,5500,低楼层/22层,53,东华金座,中装
整租,距离地铁菜市口576米,押2付3,18000,低楼层/22层,222.84,凌云居,精装
整租,距离地铁陶然亭884米,押2付3,19000,低楼层/9层,137,万和世家,精装
整租,距离地铁菜市口509米,押2付3,4500,底层/1层,45,牛街平房区,精装
整租,距离地铁广安门内839米,押2付3,6000,顶层/24层,105,牛街18,精装
整租,距离地铁广安门内611米,押2付3,5000,低楼层/22层,57,南线里,简装
合租,距离地铁广安门内377米,押1付3,2400,中楼层/6层,15,白广路二条,精装
整租,距离地铁陶然亭884米,押2付3,20000,低楼层/9层,137.76,万和世家,精装
牛街,距离地铁陶然亭357米,押1付3,4500,低楼层/6层,55,平原里小区,其他
牛街,距离地铁广安门内435米,押1付3,2200,中楼层/19层,15,牛街西里,其他
整租,距离地铁菜市口445米,押1付3,7500,顶层/6层,71.47,门楼巷,精装
整租,距离地铁菜市口489米,押2付3,2600,底层/1层,20,南半截胡同,简装
整租,距离地铁广安门内414米,押1付3,9000,高楼层/29层,80.48,似海怡家,精装
合租,距离地铁广安门内415米,押2付3,2500,顶层/5层,15,白广路6号院,中装
整租,距离地铁陶然亭384米,押2付3,4500,低楼层/20层,40,平原里20号,中装
整租,距离地铁广安门内658米,押2付3,11000,低楼层/27层,140,东华金座,简装
整租,距离地铁广安门内658米,押2付3,9500,中楼层/20层,120,东华金座,中装
牛街,距离地铁广安门内377米,押1付3,6800,中楼层/6层,57,白广路二条,其他
整租,距离地铁广安门内779米,押2付3,9000,中楼层/14层,80,南线阁41号院,精装
合租,距离地铁陶然亭506米,押2付3,2000,低楼层/7层,9,双槐里,中装
牛街,距离地铁陶然亭379米,押1付3,2500,顶层/6层,16,白纸坊东街25号院,其他
