chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁虎坊桥436米,押1付3,4600,中楼层/4层,41.15,虎坊路小区,精装
整租,距离地铁虎坊桥436米,押1付3,6000,中楼层/6层,44.07,虎坊路小区,中装
整租,距离地铁菜市口589米,押1付3,11600,低楼层/21层,97.41,中信锦园,精装
整租,距离地铁菜市口589米,押1付3,11500,低楼层/21层,88.48,中信锦园,精装
整租,距离地铁菜市口589米,押1付3,10800,低楼层/21层,97,中信锦园,豪装
整租,距离地铁虎坊桥436米,押1付3,4500,底层/4层,50,虎坊路小区,精装
整租,距离地铁菜市口474米,押1付6,13000,高楼层/22层,90.95,中信禧园,中装
整租,距离地铁珠市口684米,押2付3,7300,中楼层/6层,76,天桥北里,精装
整租,距离地铁菜市口589米,押2付3,10500,高楼层/21层,88.5,中信锦园,精装
整租,距离地铁菜市口419米,押1付6,8800,低楼层/21层,66,中信沁园,精装
整租,距离地铁陶然亭857米,押2付3,5300,高楼层/14层,55.34,畅柳园,精装
整租,距离地铁陶然亭857米,押2付3,5500,低楼层/14层,54,畅柳园,精装
整租,距离地铁菜市口474米,押1付6,20000,高楼层/20层,136.84,中信禧园,中装
整租,距离地铁永定门外1237米,押2付3,10000,高楼层/6层,98,三四零一小区,精装
整租,距离地铁菜市口474米,押2付3,11000,高楼层/20层,86,中信禧园,精装
整租,距离地铁陶然亭857米,押1付3,6000,高楼层/16层,54,畅柳园,中装
整租,距离地铁菜市口419米,押2付3,8500,低楼层/21层,58,中信沁园,精装
整租,距离地铁虎坊桥1057米,押1付3,6500,顶层/6层,53,南纬路,精装
整租,距离地铁虎坊桥611米,押2付3,7000,中楼层/15层,61.91,陶然北岸,精装
整租,距离地铁陶然亭857米,押2付3,5500,低楼层/16层,59.06,畅柳园,简装
整租,距离地铁虎坊桥902米,押2付3,6000,高楼层/7层,55.24,禄长街头条、二条,精装
合租,距离地铁虎坊桥436米,押2付3,2700,中楼层/4层,20,虎坊路小区,精装
整租,距离地铁陶然亭1028米,押2付3,4500,高楼层/6层,36.8,太平街小区,中装
整租,距离地铁陶然亭857米,押1付3,7500,中楼层/14层,72.19,畅柳园,精装
整租,距离地铁陶然亭857米,押2付3,6700,高楼层/14层,64.7,畅柳园,精装
整租,距离地铁虎坊桥436米,押1付3,4000,底层/1层,40,虎坊路小区,中装
