chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁达官营803米,押2付3,5800,高楼层/6层,60,天宁寺西里,精装
天宁寺,,押1付3,5500,中楼层/6层,55,鸭子桥北里,其他
天宁寺,距离地铁广安门内1216米,押1付3,5400,高楼层/22层,64.73,金仕苑,其他
天宁寺,距离地铁广安门内1216米,押1付3,5350,中楼层/22层,65,金仕苑,其他
天宁寺,距离地铁达官营832米,押1付3,4500,底层/5层,39.45,天宁寺前街南里,其他
距离地铁广安门内1044米,距离地铁广安门内1044米,押1付3,2300,高楼层/6层,20,白菜湾四巷17号院,合租
天宁寺,距离地铁达官营995米,押1付3,6500,底层/6层,54.21,椿树馆街40、42号楼,其他
天宁寺,距离地铁达官营995米,押1付3,4300,顶层/6层,40,椿树馆街40、42号楼,其他
天宁寺,距离地铁达官营995米,押1付3,5850,底层/6层,42,椿树馆街40、42号楼,其他
整租,距离地铁广安门内1216米,押2付3,6200,高楼层/22层,70,金仕苑,中装
整租,距离地铁广安门内1338米,押1付3,10000,中楼层/6层,110,源屋曲,精装
天宁寺,距离地铁广安门内1338米,押1付3,5900,中楼层/21层,55.52,源屋曲,其他
距离地铁广安门内1044米,距离地铁广安门内1044米,押1付3,2800,顶层/6层,25,白菜湾四巷17号院,合租
整租,距离地铁广安门内1071米,押2付3,13000,中楼层/24层,145.79,立恒名苑,中装
整租,距离地铁广安门内1071米,押2付3,25000,底层/24层,182,立恒名苑,精装
整租,距离地铁广安门内1216米,押1付3,5000,底层/22层,72,金仕苑,中装
天宁寺,距离地铁广安门内1044米,押1付3,1599,顶层/6层,12,白菜湾四巷17号院,其他
整租,距离地铁达官营886米,押1付12,5000,底层/6层,36.18,永居东里,精装
整租,距离地铁达官营860米,押2付3,6000,高楼层/6层,60,天宁寺前街北里,中装
整租,距离地铁广安门内965米,押1付3,6500,高楼层/6层,59.16,白菜湾社区,精装
整租,距离地铁广安门内1071米,押2付3,25500,低楼层/24层,282,立恒名苑,精装
天宁寺,距离地铁广安门内1044米,押1付3,1700,顶层/6层,12,白菜湾四巷17号院,其他
整租,距离地铁广安门内1100米,押2付3,5500,顶层/6层,60,天宁寺东里,中装
天宁寺,距离地铁广安门内1100米,押1付3,4900,顶层/5层,36.31,天宁寺东里,其他
天宁寺,距离地铁达官营1093米,押1付3,6000,中楼层/6层,44.3,车站东街,其他
整租,距离地铁达官营1199米,押2付3,14000,底层/1层,150,车站东街15号院,精装
整租,距离地铁广安门内1338米,押2付3,10000,高楼层/21层,110,源屋曲,精装
整租,距离地铁广安门内1100米,押1付3,4600,低楼层/6层,55,天宁寺东里,简装
整租,距离地铁达官营1199米,押2付3,6200,中楼层/6层,66,车站东街15号院,精装
整租,距离地铁达官营913米,押2付3,5500,低楼层/4层,75,新居西里,精装
整租,距离地铁达官营886米,押1付3,4500,底层/5层,35.58,永居东里,中装
