chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁西单416米,押1付3,8500,低楼层/6层,60,西单北安里,精装
整租,距离地铁宣武门375米,押1付3,6500,底层/6层,52,新壁街,精装
整租,距离地铁宣武门377米,押2付3,16000,中楼层/19层,90,佳慧雅园,精装
整租,距离地铁灵境胡同440米,押1付3,15000,底层/6层,102,太仆寺街,中装
整租,距离地铁灵境胡同375米,押2付3,9000,中楼层/6层,65,灵境胡同,简装
整租,距离地铁宣武门377米,押1付3,12000,中楼层/19层,69.98,佳慧雅园,精装
整租,距离地铁灵境胡同440米,押2付3,12000,中楼层/6层,80,太仆寺街,精装
整租,距离地铁灵境胡同375米,押2付3,8000,底层/6层,60,灵境胡同,中装
整租,距离地铁宣武门375米,押1付3,6500,中楼层/6层,52,新壁街,精装
整租,距离地铁西单402米,押1付3,45000,中楼层/17层,197.71,天安国汇,豪装
合租,距离地铁灵境胡同375米,押2付3,8000,低楼层/6层,55,灵境胡同,精装
整租,距离地铁灵境胡同375米,押2付3,7000,高楼层/6层,45,灵境胡同,精装
整租,距离地铁西单613米,押2付3,11000,底层/6层,75,力学胡同,精装
整租,距离地铁宣武门375米,押1付12,11000,高楼层/6层,84.72,新壁街,精装
整租,距离地铁和平门582米,押1付3,7500,中楼层/6层,60,西交民巷27号院,中装
整租,距离地铁宣武门355米,押2付3,20000,高楼层/11层,165,英嘉公寓,中装
整租,距离地铁灵境胡同375米,押2付3,6800,底层/6层,50,灵境胡同,精装
整租,距离地铁灵境胡同375米,押2付3,6500,中楼层/6层,45,灵境胡同,精装
整租,距离地铁前门146米,押2付3,8000,高楼层/12层,52,前门西大街,精装
整租,距离地铁灵境胡同114米,押2付3,11000,中楼层/6层,78,西单东斜街,精装
整租,距离地铁灵境胡同375米,押2付3,6500,中楼层/6层,45,灵境胡同,中装
整租,距离地铁灵境胡同440米,押1付3,15000,中楼层/6层,97.3,太仆寺街,中装
整租,距离地铁西单73米,押2付3,8000,高楼层/6层,65,钟声胡同,精装
整租,距离地铁西单416米,押2付3,7500,中楼层/6层,65,西单北安里,精装
整租,距离地铁宣武门355米,押2付3,18000,中楼层/11层,165,英嘉公寓,精装
整租,距离地铁宣武门375米,押2付3,6500,高楼层/6层,51,新壁街,精装
整租,距离地铁和平门582米,押2付3,7000,中楼层/6层,60,西交民巷27号院,精装
整租,距离地铁西单73米,押2付3,6600,顶层/6层,46,钟声胡同,中装
整租,距离地铁和平门582米,押2付3,7500,中楼层/6层,60,西交民巷27号院,精装
整租,距离地铁灵境胡同328米,押2付3,9300,低楼层/6层,63.5,西黄城根南街小区,精装
整租,距离地铁宣武门377米,押1付3,17000,中楼层/19层,95.72,佳慧雅园,精装
整租,距离地铁宣武门375米,押2付3,6000,低楼层/6层,51,新壁街,精装
整租,距离地铁宣武门377米,押2付3,17000,高楼层/19层,90,佳慧雅园,精装
整租,距离地铁灵境胡同375米,押2付3,12000,高楼层/6层,80,灵境胡同,中装
整租,距离地铁西单476米,押2付3,6000,低楼层/6层,50,西单六步口,中装
整租,距离地铁西单476米,押1付3,7600,中楼层/6层,65,西单六步口,中装
整租,距离地铁灵境胡同328米,押2付3,13000,中楼层/6层,80,西黄城根南街小区,精装
整租,距离地铁灵境胡同440米,押2付3,6500,顶层/6层,50,太仆寺街,中装
整租,距离地铁灵境胡同375米,押1付3,11000,低楼层/6层,65,灵境胡同,精装
整租,距离地铁灵境胡同375米,押2付3,6800,高楼层/6层,50,灵境胡同,精装
整租,距离地铁灵境胡同328米,押2付3,8000,底层/6层,65,西黄城根南街小区,精装
整租,距离地铁灵境胡同328米,押1付3,8000,中楼层/6层,60,西黄城根南街小区,中装
整租,距离地铁灵境胡同328米,押1付3,6000,高楼层/6层,50,西黄城根南街小区,精装
整租,距离地铁灵境胡同375米,押2付3,8000,高楼层/6层,60,灵境胡同,精装
