chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁平安里287米,押2付3,3000,底层/1层,25,育德胡同,中装
整租,距离地铁北海北655米,押2付3,8500,高楼层/6层,65,爱民里小区,精装
整租,距离地铁平安里808米,押1付3,5500,顶层/6层,40,三不老胡同,中装
整租,距离地铁北海北655米,押1付3,9500,中楼层/6层,57.5,爱民里小区,精装
整租,距离地铁北海北655米,押2付3,6500,中楼层/6层,45,爱民里小区,中装
整租,距离地铁北海北655米,押1付12,9500,低楼层/6层,58,爱民里小区,精装
整租,距离地铁平安里467米,押2付3,8000,低楼层/6层,50,护国寺西巷,精装
整租,距离地铁平安里254米,押2付3,8500,高楼层/6层,60,太平仓胡同,中装
整租,距离地铁平安里254米,押2付3,8500,底层/6层,65,太平仓胡同,精装
整租,距离地铁平安里808米,押2付3,6000,中楼层/6层,45,三不老胡同,毛坯
整租,距离地铁北海北655米,押1付6,6500,顶层/6层,41,爱民里小区,中装
整租,距离地铁北海北655米,押2付3,8500,中楼层/6层,60,爱民里小区,中装
西四,距离地铁西四532米,押1付3,8200,低楼层/6层,52.4,西什库小区,其他
整租,距离地铁北海北655米,押2付3,6800,低楼层/6层,45,爱民里小区,中装
整租,距离地铁北海北655米,押2付3,7800,顶层/6层,60,爱民里小区,精装
整租,距离地铁平安里254米,押2付3,7800,底层/6层,60,太平仓胡同,简装
整租,距离地铁平安里124米,押2付3,9500,低楼层/16层,71,西四北大街,中装
整租,距离地铁新街口554米,押1付3,8000,高楼层/6层,65,航空胡同,中装
整租,距离地铁平安里287米,押1付3,3000,底层/1层,22,育德胡同,简装
整租,距离地铁北海北655米,押2付3,7000,低楼层/6层,60,爱民里小区,精装
整租,距离地铁平安里254米,押2付3,14800,低楼层/6层,80,太平仓胡同,精装
整租,距离地铁平安里607米,押2付3,9000,中楼层/6层,80,前毛家湾,精装
整租,距离地铁平安里254米,押2付3,12000,顶层/6层,75,太平仓胡同,精装
整租,距离地铁北海北655米,押2付3,8000,高楼层/6层,70,爱民里小区,精装
整租,距离地铁平安里287米,押2付3,50000,底层/1层,254,育德胡同,精装
整租,距离地铁新街口554米,押2付3,7000,低楼层/6层,41.3,航空胡同,精装
整租,距离地铁北海北655米,押2付3,14000,高楼层/6层,98,爱民里小区,中装
整租,距离地铁平安里350米,押2付3,21000,中楼层/7层,130,宝产胡同,精装
