chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁和平门25米,押1付3,7200,中楼层/12层,43.9,宣武门东大街,精装
整租,距离地铁菜市口589米,押2付3,14900,中楼层/13层,127.29,椿树园小区,精装
整租,距离地铁和平门25米,押1付3,7500,中楼层/11层,52.5,宣武门东大街,中装
整租,距离地铁菜市口589米,押2付3,8800,高楼层/18层,68,椿树园小区,精装
整租,距离地铁和平门441米,押1付3,9000,低楼层/6层,61.29,和平门厂甸,中装
整租,距离地铁和平门25米,押2付3,6200,高楼层/11层,50,宣武门东大街,中装
整租,距离地铁和平门441米,押2付3,9000,低楼层/6层,64,和平门厂甸,精装
整租,距离地铁前门615米,押3付12,60000,底层/1层,42.2,前门大街,精装
整租,距离地铁菜市口589米,押1付3,13500,顶层/13层,115,椿树园小区,精装
整租,距离地铁和平门25米,押2付3,7500,中楼层/12层,66.48,宣武门东大街,精装
整租,距离地铁虎坊桥614米,押1付3,6900,底层/4层,33.46,东南园小区,豪装
整租,距离地铁和平门445米,押2付3,17000,中楼层/12层,117.78,庄胜二期,中装
宣武门,距离地铁菜市口537米,押1付3,28600,高楼层/18层,152.4,富卓花园广场,整租
整租,距离地铁菜市口589米,押1付12,7600,低楼层/13层,67.01,椿树园小区,精装
整租,距离地铁和平门441米,押1付3,7300,底层/6层,65,和平门厂甸,精装
整租,距离地铁菜市口508米,押1付3,6800,底层/6层,60,建学胡同,中装
整租,距离地铁菜市口358米,押2付3,32000,低楼层/17层,218.5,四合上院,中装
整租,距离地铁和平门441米,押1付3,7300,底层/6层,65,和平门厂甸,精装
整租,距离地铁菜市口589米,押1付3,17000,高楼层/14层,135.11,椿树园小区,中装
整租,距离地铁和平门445米,押2付3,11000,中楼层/12层,81,庄胜二期,精装
整租,距离地铁菜市口589米,押2付3,25000,中楼层/18层,171,椿树园小区,精装
整租,距离地铁菜市口280米,押1付3,9000,中楼层/14层,67.25,枫桦豪景,豪装
整租,距离地铁菜市口358米,押1付12,17000,中楼层/20层,95,四合上院,精装
整租,距离地铁和平门441米,押1付3,7500,高楼层/6层,65,和平门厂甸,精装
整租,距离地铁菜市口358米,押2付3,17000,低楼层/20层,98.07,四合上院,豪装
整租,距离地铁和平门445米,押2付3,15000,中楼层/12层,104.64,庄胜二期,精装
合租,距离地铁宣武门660米,押2付3,2800,顶层/6层,18,权盛里,中装
整租,距离地铁菜市口589米,押1付3,10000,高楼层/18层,90,椿树园小区,精装
整租,距离地铁前门615米,押2付3,35000,底层/1层,130,前门大街,精装
整租,距离地铁宣武门540米,押2付3,7800,中楼层/19层,65,海格国际大厦,精装
整租,距离地铁菜市口589米,押2付3,6200,中楼层/18层,48,椿树园小区,中装
整租,距离地铁菜市口589米,押2付3,9000,中楼层/18层,83,椿树园小区,精装
整租,距离地铁宣武门269米,押2付3,7000,顶层/5层,58,宣武门外西里,精装
整租,距离地铁宣武门540米,押2付3,7000,高楼层/19层,64,海格国际大厦,精装
电话预约,距离地铁菜市口537米,押1付3,24200,中楼层/21层,157,富卓花园广场,豪装
整租,距离地铁菜市口358米,押2付3,32000,中楼层/18层,210,四合上院,豪装
整租,距离地铁菜市口589米,押2付3,12000,高楼层/18层,89.18,椿树园小区,精装
整租,距离地铁菜市口589米,押2付3,5600,高楼层/13层,48,椿树园小区,中装
