chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁陶然亭638米,押2付3,8000,中楼层/24层,102,未来花园,精装
整租,距离地铁陶然亭515米,押2付3,8500,高楼层/6层,79.9,信建里,中装
整租,距离地铁陶然亭1317米,押2付3,8500,低楼层/6层,75,右安门西街,精装
整租,距离地铁陶然亭1466米,押2付3,7000,中楼层/6层,65,右内西街甲10号院,精装
整租,距离地铁陶然亭501米,押1付3,5300,底层/6层,60,里仁街6号院,中装
右安门内,距离地铁陶然亭1466米,押1付3,4600,低楼层/6层,63.06,右内西街甲10号院,其他
整租,距离地铁陶然亭812米,押2付3,7000,低楼层/6层,75,育人里小区,中装
整租,距离地铁陶然亭1112米,押2付3,9000,中楼层/24层,110.4,万博苑,精装
右安门内,距离地铁陶然亭1257米,押1付12,1100,底层/6层,18,新安中里,其他
右安门内,距离地铁陶然亭1293米,押1付3,6000,底层/6层,65.55,右内西街甲2号院,其他
右安门内,距离地铁陶然亭267米,押1付3,10500,低楼层/14层,108.25,泰然居,其他
右安门内,距离地铁陶然亭1197米,押1付3,6300,底层/16层,63.25,白纸坊西街,其他
合租,距离地铁陶然亭638米,押2付3,3100,顶层/22层,160,未来花园,精装
整租,距离地铁广安门内1366米,押2付3,18000,中楼层/15层,184.75,都市晴园,中装
整租,距离地铁陶然亭559米,押1付3,13000,中楼层/18层,140,清芷园,精装
整租,距离地铁陶然亭1257米,押2付3,11600,高楼层/16层,120,新安中里,精装
整租,距离地铁陶然亭638米,押2付3,15000,低楼层/24层,144,未来花园,精装
整租,距离地铁陶然亭442米,押1付3,1700,底层/1层,21,育新街,简装
整租,距离地铁陶然亭901米,押2付3,6500,低楼层/6层,57,右内大街,简装
整租,距离地铁陶然亭559米,押2付3,15000,顶层/18层,155,清芷园,精装
整租,距离地铁陶然亭559米,押1付6,33000,底层/15层,284.43,清芷园,豪装
整租,距离地铁陶然亭1112米,押2付3,10000,高楼层/24层,105,万博苑,精装
整租,距离地铁陶然亭1197米,押2付3,7000,高楼层/6层,70,白纸坊西街,中装
合租,距离地铁陶然亭1466米,押2付3,2300,顶层/6层,25,右内西街甲10号院,精装
右安门内,距离地铁陶然亭267米,押1付3,11000,低楼层/14层,120.65,泰然居,其他
合租,距离地铁陶然亭1466米,押2付3,2500,顶层/6层,20,右内西街甲10号院,精装
整租,距离地铁广安门内1366米,押2付3,2800,低楼层/18层,20,都市晴园,精装
整租,距离地铁陶然亭1317米,押1付3,9000,底层/6层,70,右安门西街,精装
整租,距离地铁陶然亭638米,押1付3,8000,高楼层/22层,90,未来花园,精装
整租,距离地铁陶然亭1112米,押2付3,14000,底层/24层,165,万博苑,精装
整租,距离地铁陶然亭993米,押2付3,5000,顶层/4层,65,右安西里,精装
整租,距离地铁陶然亭638米,押1付3,12000,中楼层/24层,145,未来花园,中装
整租,距离地铁宣武门179米,押2付3,10000,中楼层/13层,85,富饶家园,精装
整租,距离地铁陶然亭515米,押2付3,5800,顶层/5层,57.97,信建里,中装
整租,距离地铁陶然亭812米,押2付3,7000,顶层/6层,78,育人里小区,精装
整租,距离地铁陶然亭1406米,押2付3,6000,中楼层/6层,59.43,右内西街1号院,精装
整租,距离地铁陶然亭1257米,押2付3,5600,低楼层/6层,55,新安中里,精装
整租,距离地铁陶然亭1317米,押2付3,6500,高楼层/6层,60,右安门西街,精装
整租,距离地铁陶然亭638米,押1付3,8000,高楼层/22层,90,未来花园,精装
右安门内,距离地铁广安门内1427米,押1付3,6500,低楼层/6层,70,建功东里,其他
距离地铁广安门内1427米,距离地铁广安门内1427米,押1付3,6500,低楼层/15层,52.77,建功东里,整租
距离地铁陶然亭1293米,距离地铁陶然亭1293米,押1付3,2850,底层/6层,16,右内西街甲2号院,合租
右安门内,距离地铁陶然亭1317米,押1付3,7500,顶层/6层,69.6,右安门西街,其他
右安门内,距离地铁陶然亭501米,押1付3,5200,中楼层/6层,45.26,里仁街6号院,其他
距离地铁陶然亭294米,距离地铁陶然亭294米,押1付3,2900,低楼层/6层,80,盆儿胡同,合租
距离地铁陶然亭901米,距离地铁陶然亭901米,押1付3,2700,顶层/5层,10,右内大街,合租
距离地铁陶然亭1293米,距离地铁陶然亭1293米,押1付3,3050,底层/6层,18,右内西街甲2号院,合租
距离地铁陶然亭1293米,距离地铁陶然亭1293米,押1付3,2550,底层/6层,14,右内西街甲2号院,合租
右安门内,距离地铁广安门内1427米,押1付3,5500,低楼层/6层,60,建功东里,其他
右安门内,距离地铁陶然亭978米,押1付3,5000,低楼层/12层,50,华龙美钰,其他
右安门内,距离地铁陶然亭1466米,押1付3,6500,高楼层/6层,58.92,右内西街甲10号院,其他
整租,距离地铁广安门内1427米,押2付3,5800,顶层/6层,57,建功东里,精装
整租,距离地铁陶然亭638米,押1付3,7200,中楼层/24层,90,未来花园,中装
整租,距离地铁陶然亭1317米,押2付3,4300,高楼层/6层,40,右安门西街,中装
整租,距离地铁陶然亭515米,押1付3,6500,中楼层/6层,69,信建里,精装
合租,距离地铁陶然亭1466米,押1付3,2200,高楼层/6层,25,右内西街甲10号院,简装
整租,距离地铁宣武门179米,押2付3,10000,中楼层/13层,82.17,富饶家园,精装
