chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁阜成门919米,押2付3,18000,中楼层/31层,108.48,南礼士路46号院,精装
整租,距离地铁南礼士路747米,押2付3,5500,中楼层/23层,45,二七剧场路19号楼,精装
整租,距离地铁木樨地535米,押2付3,6500,中楼层/18层,65,三里河二区,简装
整租,距离地铁复兴门303米,押1付12,10000,高楼层/16层,65.3,复兴门北大街,精装
整租,距离地铁南礼士路656米,押1付3,6000,高楼层/6层,55,二七剧场路13号院,中装
整租,距离地铁白堆子914米,押2付3,6000,高楼层/6层,50,物资部大院,中装
合租,距离地铁木樨地479米,押2付3,3400,低楼层/6层,15,三里河三区,中装
整租,距离地铁南礼士路863米,押1付3,8500,低楼层/13层,70,月坛南街19号院,中装
整租,距离地铁木樨地535米,押2付3,9500,高楼层/20层,56.5,三里河二区,精装
合租,距离地铁阜成门869米,押2付3,3400,中楼层/14层,15,月坛北小街1号院,精装
整租,距离地铁复兴门303米,押1付3,7500,中楼层/16层,62,复兴门北大街,中装
整租,距离地铁复兴门303米,押2付3,12000,中楼层/21层,75,复兴门北大街,精装
整租,距离地铁阜成门1014米,押1付3,9500,顶层/3层,80,月坛西街西里,中装
整租,距离地铁南礼士路402米,押2付3,10000,顶层/11层,56,建邦礼仕阁,精装
整租,距离地铁复兴门303米,押1付3,7500,高楼层/16层,71.3,复兴门北大街,中装
整租,距离地铁白堆子914米,押1付3,6300,低楼层/6层,45,物资部大院,精装
整租,距离地铁阜成门1014米,押2付3,8500,中楼层/6层,58,月坛西街西里,精装
整租,距离地铁南礼士路747米,押1付6,5800,高楼层/23层,45,二七剧场路19号楼,精装
随时看房,距离地铁木樨地1038米,押2付3,20000,高楼层/19层,115.68,三里河一区5号院,自供暖
整租,距离地铁阜成门581米,押2付3,7300,中楼层/5层,58,月坛北街,精装
整租,距离地铁南礼士路402米,押1付3,27000,中楼层/11层,152,建邦礼仕阁,精装
整租,距离地铁阜成门936米,押2付3,7300,顶层/6层,70,月坛北小街,精装
合租,距离地铁木樨地934米,押1付3,2200,顶层/5层,12,三里河居民区,简装
随时看房,距离地铁木樨地934米,,14000,顶层/6层,96.3,三里河居民区,精装
整租,距离地铁木樨地1038米,押1付3,15500,低楼层/19层,90,三里河一区5号院,豪装
整租,距离地铁木樨地765米,押2付3,13500,顶层/5层,76.7,南沙沟小区,精装
整租,距离地铁阜成门1163米,押2付3,6800,底层/7层,50,三里河东路7号院,精装
整租,距离地铁木樨地934米,押2付3,8000,中楼层/5层,60,三里河居民区,豪装
整租,距离地铁南礼士路1035米,押1付12,7500,高楼层/16层,70,月坛南街北里,精装
整租,距离地铁南礼士路476米,押2付3,13000,底层/4层,75.2,地藏庵,精装
